year,regtyp,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,Owner,Yes,0.13744,225,1397,0.11937,0.15550
1996,Urban regions,Owner,No,0.86256,1172,1397,0.84450,0.88063
1996,Urban regions,Tenant,Yes,0.10037,283,3011,0.08964,0.11111
1996,Urban regions,Tenant,No,0.89963,2728,3011,0.88889,0.91036
1996,Rural regions,Owner,Yes,0.21764,287,998,0.19203,0.24325
1996,Rural regions,Owner,No,0.78236,711,998,0.75675,0.80797
1996,Rural regions,Tenant,Yes,0.12609,150,1225,0.10749,0.14468
1996,Rural regions,Tenant,No,0.87391,1075,1225,0.85532,0.89251
2001,Urban regions,Owner,Yes,0.14875,519,3142,0.13630,0.16119
2001,Urban regions,Owner,No,0.85125,2623,3142,0.83881,0.86370
2001,Urban regions,Tenant,Yes,0.11050,528,4641,0.10148,0.11952
2001,Urban regions,Tenant,No,0.88950,4113,4641,0.88048,0.89852
2001,Rural regions,Owner,Yes,0.27176,648,2125,0.25284,0.29068
2001,Rural regions,Owner,No,0.72824,1477,2125,0.70932,0.74716
2001,Rural regions,Tenant,Yes,0.13732,265,1772,0.12129,0.15335
2001,Rural regions,Tenant,No,0.86268,1507,1772,0.84665,0.87871
2006,Urban regions,Owner,Yes,0.13215,562,3709,0.12125,0.14305
2006,Urban regions,Owner,No,0.86785,3147,3709,0.85695,0.87875
2006,Urban regions,Tenant,Yes,0.11786,579,4458,0.10839,0.12732
2006,Urban regions,Tenant,No,0.88214,3879,4458,0.87268,0.89161
2006,Rural regions,Owner,Yes,0.25875,642,2294,0.24082,0.27667
2006,Rural regions,Owner,No,0.74125,1652,2294,0.72333,0.75918
2006,Rural regions,Tenant,Yes,0.16406,311,1802,0.14696,0.18116
2006,Rural regions,Tenant,No,0.83594,1491,1802,0.81884,0.85304
2011,Urban regions,Owner,Yes,0.13588,577,3595,0.12467,0.14708
2011,Urban regions,Owner,No,0.80664,3018,3595,0.79372,0.81955
2011,Urban regions,Tenant,Yes,0.11147,610,4278,0.10204,0.12090
2011,Urban regions,Tenant,No,0.80021,3668,4278,0.78822,0.81219
2011,Rural regions,Owner,Yes,0.22535,620,2349,0.20845,0.24225
2011,Rural regions,Owner,No,0.70748,1729,2349,0.68908,0.72588
2011,Rural regions,Tenant,Yes,0.13278,301,1862,0.11736,0.14820
2011,Rural regions,Tenant,No,0.77426,1561,1862,0.75527,0.79326
2016,Urban regions,Owner,Yes,0.13927,614,3771,0.12822,0.15032
2016,Urban regions,Owner,No,0.86073,3157,3771,0.84968,0.87178
2016,Urban regions,Tenant,Yes,0.12380,795,5605,0.11517,0.13242
2016,Urban regions,Tenant,No,0.87620,4810,5605,0.86758,0.88483
2016,Rural regions,Owner,Yes,0.24578,715,2531,0.22901,0.26256
2016,Rural regions,Owner,No,0.75422,1816,2531,0.73744,0.77099
2016,Rural regions,Tenant,Yes,0.17383,475,2394,0.15864,0.18901
2016,Rural regions,Tenant,No,0.82617,1919,2394,0.81099,0.84136
2021,Urban regions,Owner,Yes,0.14876,539,3126,0.13628,0.16124
2021,Urban regions,Owner,No,0.85112,2587,3126,0.83863,0.86360
2021,Urban regions,Tenant,Yes,0.13405,634,4279,0.12384,0.14426
2021,Urban regions,Tenant,No,0.84319,3645,4279,0.83229,0.85408
2021,Rural regions,Owner,Yes,0.24719,563,1954,0.22805,0.26632
2021,Rural regions,Owner,No,0.75024,1391,1954,0.73104,0.76944
2021,Rural regions,Tenant,Yes,0.17391,364,1691,0.15584,0.19198
2021,Rural regions,Tenant,No,0.81193,1327,1691,0.79330,0.83056
