year,hhtyp,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Urban regions,Yes,0.07657,87,1011,0.06017,0.09297
1996,Single-person household,Urban regions,No,0.92343,924,1011,0.90703,0.93983
1996,Single-person household,Rural regions,Yes,0.09855,49,422,0.07007,0.12702
1996,Single-person household,Rural regions,No,0.90145,373,422,0.87298,0.92993
1996,Couple without children,Urban regions,Yes,0.13090,147,1234,0.11208,0.14973
1996,Couple without children,Urban regions,No,0.86910,1087,1234,0.85027,0.88792
1996,Couple without children,Rural regions,Yes,0.16798,112,607,0.13822,0.19775
1996,Couple without children,Rural regions,No,0.83202,495,607,0.80225,0.86178
1996,Single parent,Urban regions,Yes,0.15139,39,260,0.10774,0.19505
1996,Single parent,Urban regions,No,0.84861,221,260,0.80495,0.89226
1996,Single parent,Rural regions,No,0.74890,99,99,0.66304,0.83476
1996,Couple with children,Urban regions,Yes,0.12802,205,1732,0.11228,0.14376
1996,Couple with children,Urban regions,No,0.87198,1527,1732,0.85624,0.88772
1996,Couple with children,Rural regions,Yes,0.21859,219,954,0.19235,0.24483
1996,Couple with children,Rural regions,No,0.78141,735,954,0.75517,0.80765
1996,Multi-generational household,Urban regions,No,0.85727,69,69,0.77412,0.94041
1996,Multi-generational household,Rural regions,No,0.72753,31,31,0.56820,0.88685
1996,Other Combinations,Urban regions,No,0.69949,72,72,0.59285,0.80614
1996,Other Combinations,Rural regions,No,0.77081,53,53,0.65657,0.88505
2001,Single-person household,Urban regions,Yes,0.09172,198,2062,0.07926,0.10418
2001,Single-person household,Urban regions,No,0.90828,1864,2062,0.89582,0.92074
2001,Single-person household,Rural regions,Yes,0.15478,144,864,0.13064,0.17891
2001,Single-person household,Rural regions,No,0.84522,720,864,0.82109,0.86936
2001,Couple without children,Urban regions,Yes,0.12378,301,2377,0.11054,0.13703
2001,Couple without children,Urban regions,No,0.87622,2076,2377,0.86297,0.88946
2001,Couple without children,Rural regions,Yes,0.18898,249,1212,0.16693,0.21103
2001,Couple without children,Rural regions,No,0.81102,963,1212,0.78897,0.83307
2001,Single parent,Urban regions,Yes,0.13821,69,467,0.10687,0.16955
2001,Single parent,Urban regions,No,0.86179,398,467,0.83045,0.89313
2001,Single parent,Rural regions,Yes,0.24853,64,239,0.19362,0.30343
2001,Single parent,Rural regions,No,0.75147,175,239,0.69657,0.80638
2001,Couple with children,Urban regions,Yes,0.16648,442,2689,0.15239,0.18056
2001,Couple with children,Urban regions,No,0.83352,2247,2689,0.81944,0.84761
2001,Couple with children,Rural regions,Yes,0.26357,420,1486,0.24116,0.28598
2001,Couple with children,Rural regions,No,0.73643,1066,1486,0.71402,0.75884
2001,Multi-generational household,Urban regions,No,0.79336,85,85,0.70678,0.87995
