year,quintil_oecd_hh,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,5th Quintile,Urban regions,No,0.82650,1729,2064,0.81016,0.84284
2011,5th Quintile,Rural regions,Yes,0.22442,171,712,0.19375,0.25508
2011,5th Quintile,Rural regions,No,0.74489,541,712,0.71285,0.77694
2016,1st Quintile,Urban regions,Yes,0.10851,273,1987,0.09483,0.12219
2016,1st Quintile,Urban regions,No,0.86372,1714,1987,0.84863,0.87881
2016,1st Quintile,Rural regions,Yes,0.19804,263,1109,0.17457,0.22150
2016,1st Quintile,Rural regions,No,0.77861,846,1109,0.75417,0.80306
2016,2nd Quintile,Urban regions,Yes,0.14428,312,1849,0.12826,0.16030
2016,2nd Quintile,Urban regions,No,0.85572,1537,1849,0.83970,0.87174
2016,2nd Quintile,Rural regions,Yes,0.20603,292,1192,0.18306,0.22900
2016,2nd Quintile,Rural regions,No,0.79397,900,1192,0.77100,0.81694
2016,3rd Quintile,Urban regions,Yes,0.12840,260,1725,0.11261,0.14419
2016,3rd Quintile,Urban regions,No,0.87160,1465,1725,0.85581,0.88739
2016,3rd Quintile,Rural regions,Yes,0.24675,267,1018,0.22025,0.27324
2016,3rd Quintile,Rural regions,No,0.75325,751,1018,0.72676,0.77975
2016,4th Quintile,Urban regions,Yes,0.13749,277,1761,0.12140,0.15358
2016,4th Quintile,Urban regions,No,0.86251,1484,1761,0.84642,0.87860
2016,4th Quintile,Rural regions,Yes,0.18769,203,901,0.16218,0.21320
2016,4th Quintile,Rural regions,No,0.81231,698,901,0.78680,0.83782
2016,5th Quintile,Urban regions,Yes,0.13075,287,2050,0.11615,0.14535
2016,5th Quintile,Urban regions,No,0.86925,1763,2050,0.85465,0.88385
2016,5th Quintile,Rural regions,Yes,0.21179,165,705,0.18161,0.24197
2016,5th Quintile,Rural regions,No,0.78821,540,705,0.75803,0.81839
2021,1st Quintile,Urban regions,Yes,0.11225,179,1350,0.09541,0.12910
2021,1st Quintile,Urban regions,No,0.84000,1171,1350,0.82043,0.85956
2021,1st Quintile,Rural regions,Yes,0.22264,176,691,0.19160,0.25368
2021,1st Quintile,Rural regions,No,0.75032,515,691,0.71802,0.78261
2021,2nd Quintile,Urban regions,Yes,0.16553,241,1332,0.14556,0.18550
2021,2nd Quintile,Urban regions,No,0.82572,1091,1332,0.80534,0.84610
2021,2nd Quintile,Rural regions,Yes,0.17812,210,852,0.15241,0.20382
2021,2nd Quintile,Rural regions,No,0.81863,642,852,0.79274,0.84452
2021,3rd Quintile,Urban regions,Yes,0.14762,222,1299,0.12833,0.16692
2021,3rd Quintile,Urban regions,No,0.85036,1077,1299,0.83095,0.86976
2021,3rd Quintile,Rural regions,Yes,0.22076,197,725,0.19055,0.25097
2021,3rd Quintile,Rural regions,No,0.77811,528,725,0.74785,0.80838
2021,4th Quintile,Urban regions,Yes,0.14632,218,1396,0.12777,0.16486
2021,4th Quintile,Urban regions,No,0.85258,1178,1396,0.83398,0.87119
2021,4th Quintile,Rural regions,Yes,0.23281,176,682,0.20107,0.26455
2021,4th Quintile,Rural regions,No,0.76678,506,682,0.73502,0.79854
2021,5th Quintile,Urban regions,Yes,0.13365,311,2018,0.11880,0.14850
2021,5th Quintile,Urban regions,No,0.86355,1707,2018,0.84857,0.87853
2021,5th Quintile,Rural regions,Yes,0.21543,168,691,0.18476,0.24611
2021,5th Quintile,Rural regions,No,0.77614,523,691,0.74504,0.80724
