year,regtyp,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.11490,430,3770,0.10472,0.12508
1996,Urban regions,West,No,0.88510,3340,3770,0.87492,0.89528
1996,Urban regions,East,Yes,0.10554,78,638,0.08168,0.12941
1996,Urban regions,East,No,0.89446,560,638,0.87059,0.91832
1996,Rural regions,West,Yes,0.13854,162,1023,0.11736,0.15972
1996,Rural regions,West,No,0.86146,861,1023,0.84028,0.88264
1996,Rural regions,East,Yes,0.21911,275,1200,0.19570,0.24253
1996,Rural regions,East,No,0.78089,925,1200,0.75747,0.80430
2001,Urban regions,West,Yes,0.12273,893,6828,0.11495,0.13051
2001,Urban regions,West,No,0.87727,5935,6828,0.86949,0.88505
2001,Urban regions,East,Yes,0.14846,154,955,0.12590,0.17102
2001,Urban regions,East,No,0.85154,801,955,0.82898,0.87410
2001,Rural regions,West,Yes,0.17880,403,2009,0.16204,0.19556
2001,Rural regions,West,No,0.82120,1606,2009,0.80444,0.83796
2001,Rural regions,East,Yes,0.24692,510,1888,0.22746,0.26638
2001,Rural regions,East,No,0.75308,1378,1888,0.73362,0.77254
2006,Urban regions,West,Yes,0.12192,974,7176,0.11435,0.12949
2006,Urban regions,West,No,0.87808,6202,7176,0.87051,0.88565
2006,Urban regions,East,Yes,0.13547,167,992,0.11416,0.15678
2006,Urban regions,East,No,0.86453,825,992,0.84322,0.88584
2006,Rural regions,West,Yes,0.20083,466,2161,0.18393,0.21772
2006,Rural regions,West,No,0.79917,1695,2161,0.78228,0.81607
2006,Rural regions,East,Yes,0.22819,487,1936,0.20949,0.24689
2006,Rural regions,East,No,0.77181,1449,1936,0.75311,0.79051
2011,Urban regions,West,Yes,0.12158,1023,6851,0.11385,0.12932
2011,Urban regions,West,No,0.80342,5828,6851,0.79401,0.81283
2011,Urban regions,East,Yes,0.12382,164,1022,0.10362,0.14403
2011,Urban regions,East,No,0.79833,858,1022,0.77372,0.82295
2011,Rural regions,West,Yes,0.16597,466,2341,0.15090,0.18105
2011,Rural regions,West,No,0.74794,1875,2341,0.73034,0.76553
2011,Rural regions,East,Yes,0.20832,455,1870,0.18991,0.22673
2011,Rural regions,East,No,0.72384,1415,1870,0.70357,0.74411
2016,Urban regions,West,Yes,0.12793,1215,8255,0.12073,0.13514
2016,Urban regions,West,No,0.86666,7040,8255,0.85933,0.87399
2016,Urban regions,East,Yes,0.14707,194,1122,0.12634,0.16781
2016,Urban regions,East,No,0.84676,928,1122,0.82567,0.86785
2016,Rural regions,West,Yes,0.18936,662,2973,0.17527,0.20344
2016,Rural regions,West,No,0.80580,2311,2973,0.79158,0.82003
2016,Rural regions,East,Yes,0.24815,528,1952,0.22898,0.26732
2016,Rural regions,East,No,0.74681,1424,1952,0.72751,0.76610
2021,Urban regions,West,Yes,0.14258,1032,6511,0.13409,0.15108
2021,Urban regions,West,No,0.84525,5479,6511,0.83647,0.85404
2021,Urban regions,East,Yes,0.11733,141,898,0.09627,0.13839
2021,Urban regions,East,No,0.86369,757,898,0.84123,0.88614
2021,Rural regions,West,Yes,0.19474,510,2153,0.17801,0.21147
2021,Rural regions,West,No,0.79515,1643,2153,0.77810,0.81220
2021,Rural regions,East,Yes,0.24296,417,1493,0.22120,0.26472
2021,Rural regions,East,No,0.75247,1076,1493,0.73057,0.77437
