year,age_gr,pgisced97,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Pre-primary Level,Sometimes,0.06322,76,421,0.03995,0.08650
2013,17-29 y.,Pre-primary Level,Seldom,0.22014,225,421,0.18051,0.25977
2013,17-29 y.,Pre-primary Level,Never,0.12073,120,421,0.08957,0.15190
2013,17-29 y.,Lower Secondary Level,Often,0.05316,41,679,0.03627,0.07005
2013,17-29 y.,Lower Secondary Level,Sometimes,0.13698,154,679,0.11110,0.16286
2013,17-29 y.,Lower Secondary Level,Seldom,0.30595,285,679,0.27126,0.34063
2013,17-29 y.,Lower Secondary Level,Never,0.16673,199,679,0.13868,0.19479
2013,17-29 y.,Upper Secondary Level,Often,0.03316,72,1418,0.02384,0.04249
2013,17-29 y.,Upper Secondary Level,Sometimes,0.17699,318,1418,0.15712,0.19687
2013,17-29 y.,Upper Secondary Level,Seldom,0.38445,675,1418,0.35912,0.40978
2013,17-29 y.,Upper Secondary Level,Never,0.21778,353,1418,0.19629,0.23927
2013,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.19996,38,180,0.14136,0.25855
2013,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.44114,103,180,0.36840,0.51387
2013,17-29 y.,Post-secondary Non-tertiary Level,Never,0.15957,39,180,0.10592,0.21322
2013,17-29 y.,Second Stage of Tertiary Education,Sometimes,0.22852,75,302,0.18109,0.27596
2013,17-29 y.,Second Stage of Tertiary Education,Seldom,0.39807,151,302,0.34277,0.45337
2013,17-29 y.,Second Stage of Tertiary Education,Never,0.15676,76,302,0.11568,0.19783
2013,30-45 y.,Primary Level,Sometimes,0.19317,41,82,0.10720,0.27915
2013,30-45 y.,Primary Level,Seldom,0.17446,41,82,0.09181,0.25711
2013,30-45 y.,Lower Secondary Level,Often,0.04726,45,580,0.02998,0.06455
2013,30-45 y.,Lower Secondary Level,Sometimes,0.18631,146,580,0.15459,0.21802
2013,30-45 y.,Lower Secondary Level,Seldom,0.24499,223,580,0.20995,0.28002
2013,30-45 y.,Lower Secondary Level,Never,0.17838,166,580,0.14720,0.20956
2013,30-45 y.,Upper Secondary Level,Very often,0.00740,49,3817,0.00468,0.01011
2013,30-45 y.,Upper Secondary Level,Often,0.05545,204,3817,0.04819,0.06272
2013,30-45 y.,Upper Secondary Level,Sometimes,0.18459,808,3817,0.17228,0.19690
2013,30-45 y.,Upper Secondary Level,Seldom,0.39048,1719,3817,0.37500,0.40596
2013,30-45 y.,Upper Secondary Level,Never,0.22661,1037,3817,0.21333,0.23990
2013,30-45 y.,Post-secondary Non-tertiary Level,Often,0.05442,52,862,0.03927,0.06957
2013,30-45 y.,Post-secondary Non-tertiary Level,Sometimes,0.16511,176,862,0.14031,0.18991
2013,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.37030,394,862,0.33804,0.40255
2013,30-45 y.,Post-secondary Non-tertiary Level,Never,0.20240,240,862,0.17556,0.22924
2013,30-45 y.,First Stage of Tertiary Education,Sometimes,0.20362,97,471,0.16721,0.24003
2013,30-45 y.,First Stage of Tertiary Education,Seldom,0.47540,253,471,0.43025,0.52055
2013,30-45 y.,First Stage of Tertiary Education,Never,0.24550,121,471,0.20659,0.28441
2013,30-45 y.,Second Stage of Tertiary Education,Often,0.02777,61,2015,0.02059,0.03495
2013,30-45 y.,Second Stage of Tertiary Education,Sometimes,0.14712,370,2015,0.13165,0.16259
2013,30-45 y.,Second Stage of Tertiary Education,Seldom,0.46090,1022,2015,0.43913,0.48267
2013,30-45 y.,Second Stage of Tertiary Education,Never,0.20639,562,2015,0.18871,0.22406
2013,46-65 y.,Lower Secondary Level,Often,0.09214,51,559,0.06814,0.11614
2013,46-65 y.,Lower Secondary Level,Sometimes,0.17782,129,559,0.14609,0.20954
2013,46-65 y.,Lower Secondary Level,Seldom,0.29186,200,559,0.25414,0.32958
2013,46-65 y.,Lower Secondary Level,Never,0.25886,179,559,0.22252,0.29520
2013,46-65 y.,Upper Secondary Level,Very often,0.01285,59,4586,0.00959,0.01611
2013,46-65 y.,Upper Secondary Level,Often,0.05419,260,4586,0.04764,0.06075
2013,46-65 y.,Upper Secondary Level,Sometimes,0.21346,951,4586,0.20160,0.22532
2013,46-65 y.,Upper Secondary Level,Seldom,0.41800,1980,4586,0.40373,0.43228
2013,46-65 y.,Upper Secondary Level,Never,0.26397,1336,4586,0.25121,0.27673
