"plj0588","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Hamburg","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Niedersachsen","1","","",""
"Sehr oft","2013","(noch) kein Abschluss","Bremen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Nordrhein-Westfalen","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","Hessen","3","","",""
"Sehr oft","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","1","","",""
"Sehr oft","2013","(noch) kein Abschluss","Baden-Wuerttemberg","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","Bayern","1","","",""
"Sehr oft","2013","(noch) kein Abschluss","Saarland","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Berlin","1","","",""
"Sehr oft","2013","(noch) kein Abschluss","Brandenburg","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Sachsen","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Sehr oft","2013","(noch) kein Abschluss","Thueringen","","","",""
"Sehr oft","2013","Hauptschule","Schleswig-Holstein","3","","",""
"Sehr oft","2013","Hauptschule","Hamburg","1","","",""
"Sehr oft","2013","Hauptschule","Niedersachsen","21","","",""
"Sehr oft","2013","Hauptschule","Bremen","1","","",""
"Sehr oft","2013","Hauptschule","Nordrhein-Westfalen","25","","",""
"Sehr oft","2013","Hauptschule","Hessen","9","","",""
"Sehr oft","2013","Hauptschule","Rheinland-Pfalz,Saarland","8","","",""
"Sehr oft","2013","Hauptschule","Baden-Wuerttemberg","8","","",""
"Sehr oft","2013","Hauptschule","Bayern","16","","",""
"Sehr oft","2013","Hauptschule","Saarland","","","",""
"Sehr oft","2013","Hauptschule","Berlin","4","","",""
"Sehr oft","2013","Hauptschule","Brandenburg","4","","",""
"Sehr oft","2013","Hauptschule","Mecklenburg-Vorpommern","3","","",""
"Sehr oft","2013","Hauptschule","Sachsen","10","","",""
"Sehr oft","2013","Hauptschule","Sachsen-Anhalt","3","","",""
"Sehr oft","2013","Hauptschule","Thueringen","8","","",""
"Sehr oft","2013","Realschule","Schleswig-Holstein","1","","",""
"Sehr oft","2013","Realschule","Hamburg","","","",""
"Sehr oft","2013","Realschule","Niedersachsen","11","","",""
"Sehr oft","2013","Realschule","Bremen","2","","",""
"Sehr oft","2013","Realschule","Nordrhein-Westfalen","11","","",""
"Sehr oft","2013","Realschule","Hessen","3","","",""
"Sehr oft","2013","Realschule","Rheinland-Pfalz,Saarland","5","","",""
"Sehr oft","2013","Realschule","Baden-Wuerttemberg","9","","",""
"Sehr oft","2013","Realschule","Bayern","7","","",""
"Sehr oft","2013","Realschule","Saarland","","","",""
"Sehr oft","2013","Realschule","Berlin","","","",""
"Sehr oft","2013","Realschule","Brandenburg","3","","",""
"Sehr oft","2013","Realschule","Mecklenburg-Vorpommern","3","","",""
"Sehr oft","2013","Realschule","Sachsen","5","","",""
"Sehr oft","2013","Realschule","Sachsen-Anhalt","5","","",""
"Sehr oft","2013","Realschule","Thueringen","3","","",""
"Sehr oft","2013","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Sehr oft","2013","(Fach-)Abitur","Hamburg","","","",""
"Sehr oft","2013","(Fach-)Abitur","Niedersachsen","2","","",""
"Sehr oft","2013","(Fach-)Abitur","Bremen","","","",""
"Sehr oft","2013","(Fach-)Abitur","Nordrhein-Westfalen","6","","",""
"Sehr oft","2013","(Fach-)Abitur","Hessen","3","","",""
"Sehr oft","2013","(Fach-)Abitur","Rheinland-Pfalz,Saarland","1","","",""
"Sehr oft","2013","(Fach-)Abitur","Baden-Wuerttemberg","2","","",""
"Sehr oft","2013","(Fach-)Abitur","Bayern","8","","",""
"Sehr oft","2013","(Fach-)Abitur","Saarland","","","",""
"Sehr oft","2013","(Fach-)Abitur","Berlin","2","","",""
"Sehr oft","2013","(Fach-)Abitur","Brandenburg","","","",""
