year,migback,sex,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,male,Very often,0.00708,63,9771,0.00542,0.00875
2013,No migration background,male,Often,0.04891,407,9771,0.04464,0.05319
2013,No migration background,male,Sometimes,0.18566,1679,9771,0.17795,0.19337
2013,No migration background,male,Seldom,0.47168,4653,9771,0.46178,0.48158
2013,No migration background,male,Never,0.28667,2969,9771,0.27770,0.29563
2013,No migration background,female,Very often,0.01128,143,11720,0.00937,0.01319
2013,No migration background,female,Often,0.06055,672,11720,0.05623,0.06487
2013,No migration background,female,Sometimes,0.22174,2492,11720,0.21422,0.22926
2013,No migration background,female,Seldom,0.42620,5086,11720,0.41725,0.43515
2013,No migration background,female,Never,0.28023,3327,11720,0.27210,0.28836
2013,Direct migration background,male,Often,0.06136,71,1191,0.04773,0.07500
2013,Direct migration background,male,Sometimes,0.25680,291,1191,0.23198,0.28162
2013,Direct migration background,male,Seldom,0.31953,430,1191,0.29304,0.34603
2013,Direct migration background,male,Never,0.35117,399,1191,0.32405,0.37829
2013,Direct migration background,female,Very often,0.02413,36,1579,0.01656,0.03170
2013,Direct migration background,female,Often,0.07142,120,1579,0.05871,0.08412
2013,Direct migration background,female,Sometimes,0.23592,387,1579,0.21497,0.25687
2013,Direct migration background,female,Seldom,0.35263,586,1579,0.32906,0.37621
2013,Direct migration background,female,Never,0.31590,450,1579,0.29296,0.33884
2013,Indirect migration background,male,Sometimes,0.21802,91,492,0.18150,0.25454
2013,Indirect migration background,male,Seldom,0.45372,233,492,0.40968,0.49775
2013,Indirect migration background,male,Never,0.30281,168,492,0.26217,0.34345
2013,Indirect migration background,female,Often,0.05626,33,593,0.03770,0.07482
2013,Indirect migration background,female,Sometimes,0.21540,134,593,0.18228,0.24852
2013,Indirect migration background,female,Seldom,0.44341,253,593,0.40339,0.48343
2013,Indirect migration background,female,Never,0.27659,173,593,0.24055,0.31262
2017,No migration background,male,Very often,0.00729,54,9339,0.00557,0.00902
2017,No migration background,male,Often,0.04191,349,9339,0.03784,0.04597
2017,No migration background,male,Sometimes,0.17670,1585,9339,0.16897,0.18444
2017,No migration background,male,Seldom,0.46868,4369,9339,0.45856,0.47880
2017,No migration background,male,Never,0.30542,2982,9339,0.29608,0.31476
2017,No migration background,female,Very often,0.01216,127,10721,0.01008,0.01423
2017,No migration background,female,Often,0.05831,635,10721,0.05388,0.06275
2017,No migration background,female,Sometimes,0.20448,2115,10721,0.19684,0.21211
2017,No migration background,female,Seldom,0.42459,4696,10721,0.41523,0.43395
2017,No migration background,female,Never,0.30046,3148,10721,0.29178,0.30914
2017,Direct migration background,male,Very often,0.02433,99,3059,0.01887,0.02979
2017,Direct migration background,male,Often,0.06970,261,3059,0.06067,0.07872
2017,Direct migration background,male,Sometimes,0.25183,765,3059,0.23645,0.26722
2017,Direct migration background,male,Seldom,0.36139,919,3059,0.34436,0.37842
2017,Direct migration background,male,Never,0.29275,1015,3059,0.27662,0.30888
2017,Direct migration background,female,Very often,0.02031,112,3514,0.01565,0.02498
2017,Direct migration background,female,Often,0.07570,281,3514,0.06695,0.08444
2017,Direct migration background,female,Sometimes,0.25138,945,3514,0.23704,0.26573
2017,Direct migration background,female,Seldom,0.35401,1125,3514,0.33820,0.36982
2017,Direct migration background,female,Never,0.29860,1051,3514,0.28346,0.31373
2017,Indirect migration background,male,Often,0.04900,38,752,0.03356,0.06444
2017,Indirect migration background,male,Sometimes,0.22810,143,752,0.19809,0.25811
2017,Indirect migration background,male,Seldom,0.42082,309,752,0.38551,0.45613
2017,Indirect migration background,male,Never,0.28765,262,752,0.25527,0.32002
2017,Indirect migration background,female,Often,0.04948,51,835,0.03476,0.06420
2017,Indirect migration background,female,Sometimes,0.22565,176,835,0.19728,0.25402
2017,Indirect migration background,female,Seldom,0.40882,337,835,0.37546,0.44219
2017,Indirect migration background,female,Never,0.30171,271,835,0.27056,0.33286
2021,No migration background,male,Very often,0.00920,41,6191,0.00682,0.01158
