"plj0588","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","265","0.0101167770057365","0.00888568733721817","0.0113478666742549"
"Oft","2013","1317","0.0551599878802394","0.0523515305141726","0.0579684452463062"
"Manchmal","2013","5074","0.208775620218084","0.203775662431625","0.213775578004543"
"Selten","2013","11241","0.438236004839192","0.432132102247644","0.44433990743074"
"Nie","2013","7486","0.287711610056748","0.282142532800798","0.293280687312697"
"Sehr oft","2014","","","",""
"Oft","2014","","","",""
"Manchmal","2014","","","",""
"Selten","2014","","","",""
"Nie","2014","","","",""
"Sehr oft","2015","","","",""
"Oft","2015","","","",""
"Manchmal","2015","","","",""
"Selten","2015","","","",""
"Nie","2015","","","",""
"Sehr oft","2016","166","0.0776884942984697","0.0678332967664492","0.0875436918304902"
"Oft","2016","342","0.134039100021242","0.121495763868497","0.146582436173987"
"Manchmal","2016","731","0.262046813444912","0.245856620824412","0.278237006065412"
"Selten","2016","607","0.212883964656028","0.197813070389425","0.22795485892263"
"Nie","2016","988","0.313341627579349","0.296263998545827","0.330419256612871"
"Sehr oft","2017","419","0.0118802572021645","0.0106168338834913","0.0131436805208376"
"Oft","2017","1616","0.0536620435441645","0.0510342701457649","0.0562898169425642"
"Manchmal","2017","5730","0.202051174577454","0.197368980750297","0.20673336840461"
"Selten","2017","11755","0.430971024919449","0.425196418285753","0.436745631553145"
"Nie","2017","8731","0.301435499756769","0.29608454063697","0.306786458876567"
"Sehr oft","2018","30","0.0816891556384177","0.0538938960030552","0.10948441527378"
"Oft","2018","38","0.100418646606756","0.0699171549037066","0.130920138309806"
"Manchmal","2018","104","0.321576656885748","0.27417578561954","0.368977528151955"
"Selten","2018","62","0.131785500103456","0.0974580924947494","0.166112907712164"
"Nie","2018","139","0.364530040765622","0.315686420112223","0.41337366141902"
"Sehr oft","2019","7","","",""
"Oft","2019","21","","",""
"Manchmal","2019","49","0.21969871479724","0.168780150236494","0.270617279357985"
"Selten","2019","57","0.204124522017036","0.154556523286676","0.253692520747396"
"Nie","2019","120","0.491338402787463","0.4298580907738","0.552818714801127"
