"plj0588","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","Schleswig-Holstein","Staedtischer Raum","3","","",""
"Sehr oft","2013","Schleswig-Holstein","Laendlicher Raum","2","","",""
"Sehr oft","2013","Hamburg","Staedtischer Raum","1","","",""
"Sehr oft","2013","Hamburg","Laendlicher Raum","","","",""
"Sehr oft","2013","Niedersachsen","Staedtischer Raum","16","","",""
"Sehr oft","2013","Niedersachsen","Laendlicher Raum","20","","",""
"Sehr oft","2013","Bremen","Staedtischer Raum","3","","",""
"Sehr oft","2013","Bremen","Laendlicher Raum","","","",""
"Sehr oft","2013","Nordrhein-Westfalen","Staedtischer Raum","49","0.009674117082841","0.00695014917113389","0.0123980849945481"
"Sehr oft","2013","Nordrhein-Westfalen","Laendlicher Raum","1","","",""
"Sehr oft","2013","Hessen","Staedtischer Raum","18","","",""
"Sehr oft","2013","Hessen","Laendlicher Raum","4","","",""
"Sehr oft","2013","Rheinland-Pfalz,Saarland","Staedtischer Raum","13","","",""
"Sehr oft","2013","Rheinland-Pfalz,Saarland","Laendlicher Raum","3","","",""
"Sehr oft","2013","Baden-Wuerttemberg","Staedtischer Raum","21","","",""
"Sehr oft","2013","Baden-Wuerttemberg","Laendlicher Raum","1","","",""
"Sehr oft","2013","Bayern","Staedtischer Raum","17","","",""
"Sehr oft","2013","Bayern","Laendlicher Raum","25","","",""
"Sehr oft","2013","Saarland","Staedtischer Raum","","","",""
"Sehr oft","2013","Saarland","Laendlicher Raum","","","",""
"Sehr oft","2013","Berlin","Staedtischer Raum","10","","",""
"Sehr oft","2013","Berlin","Laendlicher Raum","","","",""
"Sehr oft","2013","Brandenburg","Staedtischer Raum","1","","",""
"Sehr oft","2013","Brandenburg","Laendlicher Raum","7","","",""
"Sehr oft","2013","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Sehr oft","2013","Mecklenburg-Vorpommern","Laendlicher Raum","8","","",""
"Sehr oft","2013","Sachsen","Staedtischer Raum","11","","",""
"Sehr oft","2013","Sachsen","Laendlicher Raum","7","","",""
"Sehr oft","2013","Sachsen-Anhalt","Staedtischer Raum","3","","",""
"Sehr oft","2013","Sachsen-Anhalt","Laendlicher Raum","9","","",""
"Sehr oft","2013","Thueringen","Staedtischer Raum","5","","",""
"Sehr oft","2013","Thueringen","Laendlicher Raum","7","","",""
"Oft","2013","Schleswig-Holstein","Staedtischer Raum","16","","",""
"Oft","2013","Schleswig-Holstein","Laendlicher Raum","31","0.037246128842747","0.0226885342718648","0.0518037234136291"
"Oft","2013","Hamburg","Staedtischer Raum","9","","",""
"Oft","2013","Hamburg","Laendlicher Raum","","","",""
"Oft","2013","Niedersachsen","Staedtischer Raum","55","0.0612054078347892","0.0464441435452916","0.0759666721242867"
"Oft","2013","Niedersachsen","Laendlicher Raum","72","0.0461276048990168","0.0352594988633315","0.0569957109347022"
"Oft","2013","Bremen","Staedtischer Raum","8","","",""
"Oft","2013","Bremen","Laendlicher Raum","","","",""
"Oft","2013","Nordrhein-Westfalen","Staedtischer Raum","243","0.0559076909732053","0.0495140203317294","0.0623013616146811"
"Oft","2013","Nordrhein-Westfalen","Laendlicher Raum","2","","",""
"Oft","2013","Hessen","Staedtischer Raum","75","0.0610639268816654","0.0484214007723769","0.0737064529909539"
"Oft","2013","Hessen","Laendlicher Raum","20","","",""
"Oft","2013","Rheinland-Pfalz,Saarland","Staedtischer Raum","52","0.046928339145253","0.0340997702200874","0.0597569080704187"
"Oft","2013","Rheinland-Pfalz,Saarland","Laendlicher Raum","21","","",""
"Oft","2013","Baden-Wuerttemberg","Staedtischer Raum","116","0.0428699821773212","0.0351706857187943","0.0505692786358482"
"Oft","2013","Baden-Wuerttemberg","Laendlicher Raum","18","","",""
"Oft","2013","Bayern","Staedtischer Raum","85","0.0433856944007794","0.0336785917172448","0.0530927970843141"
"Oft","2013","Bayern","Laendlicher Raum","92","0.0486244943247052","0.039836428251447","0.0574125603979634"
"Oft","2013","Saarland","Staedtischer Raum","","","",""
"Oft","2013","Saarland","Laendlicher Raum","","","",""
"Oft","2013","Berlin","Staedtischer Raum","74","0.0771633175775201","0.0604476157557462","0.093879019399294"
"Oft","2013","Berlin","Laendlicher Raum","","","",""
"Oft","2013","Brandenburg","Staedtischer Raum","7","","",""
"Oft","2013","Brandenburg","Laendlicher Raum","60","0.0725330591588713","0.0558185186872062","0.0892475996305364"
"Oft","2013","Mecklenburg-Vorpommern","Staedtischer Raum","5","","",""
"Oft","2013","Mecklenburg-Vorpommern","Laendlicher Raum","38","0.0538122975817739","0.0345288520197531","0.0730957431437947"
"Oft","2013","Sachsen","Staedtischer Raum","55","0.0727209187207334","0.0554057738503842","0.0900360635910825"
"Oft","2013","Sachsen","Laendlicher Raum","46","0.0827537679079977","0.0641223758516284","0.101385159964367"
"Oft","2013","Sachsen-Anhalt","Staedtischer Raum","15","","",""
"Oft","2013","Sachsen-Anhalt","Laendlicher Raum","37","0.046285792253423","0.0313287243493937","0.0612428601574523"
"Oft","2013","Thueringen","Staedtischer Raum","19","","",""
"Oft","2013","Thueringen","Laendlicher Raum","46","0.0887869740385764","0.0676251575957655","0.109948790481387"
"Manchmal","2013","Schleswig-Holstein","Staedtischer Raum","56","0.286277331591742","0.230797360475492","0.341757302707991"
"Manchmal","2013","Schleswig-Holstein","Laendlicher Raum","114","0.147998721575286","0.120700112591486","0.175297330559087"
"Manchmal","2013","Hamburg","Staedtischer Raum","63","0.146900701161385","0.112380832448927","0.181420569873844"
"Manchmal","2013","Hamburg","Laendlicher Raum","","","",""
"Manchmal","2013","Niedersachsen","Staedtischer Raum","180","0.174239174431925","0.150880757360033","0.197597591503816"
"Manchmal","2013","Niedersachsen","Laendlicher Raum","278","0.194680929749757","0.174165813998473","0.215196045501042"
"Manchmal","2013","Bremen","Staedtischer Raum","32","0.186995936118867","0.130349206812866","0.243642665424868"
"Manchmal","2013","Bremen","Laendlicher Raum","","","",""
"Manchmal","2013","Nordrhein-Westfalen","Staedtischer Raum","932","0.187675691574425","0.176809534216504","0.198541848932346"
"Manchmal","2013","Nordrhein-Westfalen","Laendlicher Raum","25","","",""
"Manchmal","2013","Hessen","Staedtischer Raum","277","0.222222761194672","0.200272213201941","0.244173309187403"
"Manchmal","2013","Hessen","Laendlicher Raum","94","0.258771141699178","0.213779537353118","0.303762746045237"
"Manchmal","2013","Rheinland-Pfalz,Saarland","Staedtischer Raum","177","0.188883988189994","0.165140916651282","0.212627059728706"
"Manchmal","2013","Rheinland-Pfalz,Saarland","Laendlicher Raum","74","0.217987593625373","0.175630673992466","0.26034451325828"
"Manchmal","2013","Baden-Wuerttemberg","Staedtischer Raum","513","0.223438486972402","0.207605755551099","0.239271218393705"
"Manchmal","2013","Baden-Wuerttemberg","Laendlicher Raum","66","0.19590178814426","0.153464052751368","0.238339523537151"
"Manchmal","2013","Bayern","Staedtischer Raum","353","0.204554914620076","0.185334711532516","0.223775117707636"
"Manchmal","2013","Bayern","Laendlicher Raum","474","0.219889557396829","0.20296683890858","0.236812275885078"
"Manchmal","2013","Saarland","Staedtischer Raum","","","",""
"Manchmal","2013","Saarland","Laendlicher Raum","","","",""
"Manchmal","2013","Berlin","Staedtischer Raum","224","0.257077677397234","0.229702267365745","0.284453087428723"
"Manchmal","2013","Berlin","Laendlicher Raum","","","",""
"Manchmal","2013","Brandenburg","Staedtischer Raum","23","","",""
"Manchmal","2013","Brandenburg","Laendlicher Raum","207","0.258279875889482","0.230073808425675","0.286485943353289"
"Manchmal","2013","Mecklenburg-Vorpommern","Staedtischer Raum","13","","",""
"Manchmal","2013","Mecklenburg-Vorpommern","Laendlicher Raum","119","0.26278897767362","0.225174528916302","0.300403426430937"
"Manchmal","2013","Sachsen","Staedtischer Raum","189","0.236745490495877","0.20840112321214","0.265089857779613"
"Manchmal","2013","Sachsen","Laendlicher Raum","170","0.225550291419434","0.197286738505444","0.253813844333424"
"Manchmal","2013","Sachsen-Anhalt","Staedtischer Raum","58","0.337878913276587","0.272652775988748","0.403105050564426"
"Manchmal","2013","Sachsen-Anhalt","Laendlicher Raum","152","0.184300150535304","0.156698088713196","0.211902212357412"
"Manchmal","2013","Thueringen","Staedtischer Raum","55","0.219282462160888","0.17222605299086","0.266338871330917"
"Manchmal","2013","Thueringen","Laendlicher Raum","156","0.218680933979632","0.187927895832248","0.249433972127017"
"Selten","2013","Schleswig-Holstein","Staedtischer Raum","139","0.489021280705678","0.427667223505875","0.550375337905481"
"Selten","2013","Schleswig-Holstein","Laendlicher Raum","313","0.491115169234394","0.45268318216477","0.529547156304017"
"Selten","2013","Hamburg","Staedtischer Raum","162","0.444584777419421","0.396129220225355","0.493040334613486"
"Selten","2013","Hamburg","Laendlicher Raum","","","",""
"Selten","2013","Niedersachsen","Staedtischer Raum","470","0.49588362228645","0.465094404591267","0.526672839981632"
"Selten","2013","Niedersachsen","Laendlicher Raum","693","0.492583975222334","0.466680949127076","0.518487001317592"
"Selten","2013","Bremen","Staedtischer Raum","79","0.441335639519578","0.369196263697044","0.513475015342113"
"Selten","2013","Bremen","Laendlicher Raum","","","",""
"Selten","2013","Nordrhein-Westfalen","Staedtischer Raum","2086","0.419313343199078","0.405580909293103","0.433045777105054"
"Selten","2013","Nordrhein-Westfalen","Laendlicher Raum","55","0.420652410469885","0.331956028777299","0.50934879216247"
"Selten","2013","Hessen","Staedtischer Raum","633","0.434843573056256","0.408669317076437","0.461017829036075"
"Selten","2013","Hessen","Laendlicher Raum","171","0.449444601086232","0.398342824839463","0.500546377333"
"Selten","2013","Rheinland-Pfalz,Saarland","Staedtischer Raum","424","0.438819338675139","0.408717566169199","0.46892111118108"
"Selten","2013","Rheinland-Pfalz,Saarland","Laendlicher Raum","142","0.408474653229512","0.35804675187874","0.458902554580284"
"Selten","2013","Baden-Wuerttemberg","Staedtischer Raum","1174","0.415343459951028","0.396613233994721","0.434073685907335"
"Selten","2013","Baden-Wuerttemberg","Laendlicher Raum","154","0.482930767906669","0.429499529752642","0.536362006060696"
"Selten","2013","Bayern","Staedtischer Raum","772","0.45704006422664","0.433303987338682","0.480776141114599"
"Selten","2013","Bayern","Laendlicher Raum","994","0.413513977289731","0.393392321671772","0.433635632907689"
"Selten","2013","Saarland","Staedtischer Raum","","","",""
"Selten","2013","Saarland","Laendlicher Raum","","","",""
"Selten","2013","Berlin","Staedtischer Raum","457","0.456265700368692","0.425065382324679","0.487466018412706"
"Selten","2013","Berlin","Laendlicher Raum","","","",""
"Selten","2013","Brandenburg","Staedtischer Raum","43","0.492292946701298","0.387240331114226","0.597345562288371"
"Selten","2013","Brandenburg","Laendlicher Raum","420","0.437870072367058","0.405898189740691","0.469841954993424"
"Selten","2013","Mecklenburg-Vorpommern","Staedtischer Raum","28","","",""
"Selten","2013","Mecklenburg-Vorpommern","Laendlicher Raum","250","0.468072346411135","0.425430304244292","0.510714388577977"
"Selten","2013","Sachsen","Staedtischer Raum","372","0.439981281170625","0.406882683671114","0.473079878670136"
"Selten","2013","Sachsen","Laendlicher Raum","376","0.417402408431585","0.384054372115081","0.450750444748088"
"Selten","2013","Sachsen-Anhalt","Staedtischer Raum","85","0.338163134912884","0.272923576335136","0.403402693490632"
"Selten","2013","Sachsen-Anhalt","Laendlicher Raum","327","0.436570074206388","0.401263106153651","0.471877042259125"
"Selten","2013","Thueringen","Staedtischer Raum","135","0.489463121378112","0.432611426897704","0.546314815858519"
"Selten","2013","Thueringen","Laendlicher Raum","287","0.388204909125545","0.35194707471376","0.42446274353733"
"Nie","2013","Schleswig-Holstein","Staedtischer Raum","41","0.133889071231584","0.0920928206160771","0.175685321847092"
"Nie","2013","Schleswig-Holstein","Laendlicher Raum","190","0.320819476244417","0.284934357537122","0.356704594951712"
