"plj0588","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2013","Staedtischer Raum","Westdeutschland","149","0.0102950742133855","0.00863066548297254","0.0119594829437984"
"Sehr oft","2013","Staedtischer Raum","Ostdeutschland","22","","",""
"Sehr oft","2013","Laendlicher Raum","Westdeutschland","56","0.00972847727859326","0.00714992423591773","0.0123070303212688"
"Sehr oft","2013","Laendlicher Raum","Ostdeutschland","38","0.0105534846469942","0.00727983438164457","0.0138271349123438"
"Oft","2013","Staedtischer Raum","Westdeutschland","704","0.0528562524657402","0.0491669139068262","0.0565455910246541"
"Oft","2013","Staedtischer Raum","Ostdeutschland","130","0.0662714784177649","0.0552163973858449","0.0773265594496849"
"Oft","2013","Laendlicher Raum","Westdeutschland","256","0.04946366179772","0.0437672158060189","0.0551601077894212"
"Oft","2013","Laendlicher Raum","Ostdeutschland","227","0.0699583581247916","0.0617867190073728","0.0781299972422105"
"Manchmal","2013","Staedtischer Raum","Westdeutschland","2710","0.202090676582983","0.195469391496877","0.208711961669088"
"Manchmal","2013","Staedtischer Raum","Ostdeutschland","435","0.246624936099413","0.227468602049101","0.265781270149724"
"Manchmal","2013","Laendlicher Raum","Westdeutschland","1125","0.20370332159072","0.193122655780459","0.214283987400981"
"Manchmal","2013","Laendlicher Raum","Ostdeutschland","804","0.229514269691826","0.216042479097653","0.242986060285998"
"Selten","2013","Staedtischer Raum","Westdeutschland","6188","0.435101117686153","0.426926398637088","0.443275836735218"
"Selten","2013","Staedtischer Raum","Ostdeutschland","871","0.443151565955284","0.421074928093072","0.465228203817496"
"Selten","2013","Laendlicher Raum","Westdeutschland","2522","0.451145112418852","0.43807246986617","0.464217754971533"
"Selten","2013","Laendlicher Raum","Ostdeutschland","1660","0.42862059737472","0.412766665545947","0.444474529203494"
"Nie","2013","Staedtischer Raum","Westdeutschland","4378","0.299656879051739","0.292103175477502","0.307210582625976"
"Nie","2013","Staedtischer Raum","Ostdeutschland","487","0.235051910109223","0.216207343113429","0.253896477105018"
"Nie","2013","Laendlicher Raum","Westdeutschland","1607","0.285959426914115","0.274088349312872","0.297830504515358"
