year,migback,regtyp,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Urban regions,Very often,0.00920,127,13153,0.00757,0.01084
2013,No migration background,Urban regions,Often,0.05396,656,13153,0.05010,0.05782
2013,No migration background,Urban regions,Sometimes,0.20076,2474,13153,0.19392,0.20761
2013,No migration background,Urban regions,Seldom,0.44666,5924,13153,0.43816,0.45516
2013,No migration background,Urban regions,Never,0.28941,3972,13153,0.28166,0.29716
2013,No migration background,Rural regions,Very often,0.00933,79,8338,0.00727,0.01139
2013,No migration background,Rural regions,Often,0.05664,423,8338,0.05168,0.06160
2013,No migration background,Rural regions,Sometimes,0.21062,1697,8338,0.20187,0.21937
2013,No migration background,Rural regions,Seldom,0.45102,3815,8338,0.44034,0.46170
2013,No migration background,Rural regions,Never,0.27239,2324,8338,0.26283,0.28194
2013,Direct migration background,Urban regions,Very often,0.01657,39,2091,0.01110,0.02204
2013,Direct migration background,Urban regions,Often,0.06069,140,2091,0.05045,0.07093
2013,Direct migration background,Urban regions,Sometimes,0.25259,503,2091,0.23397,0.27122
2013,Direct migration background,Urban regions,Seldom,0.33485,770,2091,0.31461,0.35508
2013,Direct migration background,Urban regions,Never,0.33530,639,2091,0.31506,0.35554
2013,Direct migration background,Rural regions,Often,0.08731,51,682,0.06610,0.10851
2013,Direct migration background,Rural regions,Sometimes,0.22225,175,682,0.19102,0.25347
2013,Direct migration background,Rural regions,Seldom,0.34443,246,682,0.30874,0.38012
2013,Direct migration background,Rural regions,Never,0.32311,210,682,0.28799,0.35824
2013,Indirect migration background,Urban regions,Often,0.04495,41,887,0.03131,0.05860
2013,Indirect migration background,Urban regions,Sometimes,0.20863,181,887,0.18188,0.23539
2013,Indirect migration background,Urban regions,Seldom,0.46001,391,887,0.42719,0.49283
2013,Indirect migration background,Urban regions,Never,0.28135,274,887,0.25174,0.31095
2013,Indirect migration background,Rural regions,Sometimes,0.24764,44,206,0.18855,0.30673
2013,Indirect migration background,Rural regions,Seldom,0.40543,95,206,0.33822,0.47264
2013,Indirect migration background,Rural regions,Never,0.32286,67,206,0.25885,0.38687
2017,No migration background,Urban regions,Very often,0.00916,101,12254,0.00747,0.01085
2017,No migration background,Urban regions,Often,0.04695,583,12254,0.04321,0.05070
2017,No migration background,Urban regions,Sometimes,0.19103,2258,12254,0.18407,0.19799
2017,No migration background,Urban regions,Seldom,0.43924,5463,12254,0.43045,0.44803
2017,No migration background,Urban regions,Never,0.31361,3849,12254,0.30539,0.32182
2017,No migration background,Rural regions,Very often,0.01092,80,7806,0.00861,0.01322
2017,No migration background,Rural regions,Often,0.05650,401,7806,0.05138,0.06163
2017,No migration background,Rural regions,Sometimes,0.19043,1442,7806,0.18172,0.19914
2017,No migration background,Rural regions,Seldom,0.45956,3602,7806,0.44851,0.47062
2017,No migration background,Rural regions,Never,0.28258,2281,7806,0.27259,0.29257
2017,Direct migration background,Urban regions,Very often,0.02269,146,4728,0.01845,0.02694
2017,Direct migration background,Urban regions,Often,0.07695,367,4728,0.06935,0.08455
2017,Direct migration background,Urban regions,Sometimes,0.26115,1243,4728,0.24862,0.27367
2017,Direct migration background,Urban regions,Seldom,0.34241,1470,4728,0.32888,0.35594
2017,Direct migration background,Urban regions,Never,0.29680,1502,4728,0.28378,0.30982
2017,Direct migration background,Rural regions,Very often,0.02038,65,1845,0.01393,0.02683
2017,Direct migration background,Rural regions,Often,0.05769,175,1845,0.04705,0.06833
2017,Direct migration background,Rural regions,Sometimes,0.21602,467,1845,0.19724,0.23481
2017,Direct migration background,Rural regions,Seldom,0.41361,574,1845,0.39113,0.43609
2017,Direct migration background,Rural regions,Never,0.29230,564,1845,0.27154,0.31306
2017,Indirect migration background,Urban regions,Often,0.04686,73,1309,0.03541,0.05832
2017,Indirect migration background,Urban regions,Sometimes,0.22374,271,1309,0.20116,0.24633
2017,Indirect migration background,Urban regions,Seldom,0.41720,527,1309,0.39047,0.44392
2017,Indirect migration background,Urban regions,Never,0.29972,438,1309,0.27489,0.32455
2017,Indirect migration background,Rural regions,Sometimes,0.24604,48,262,0.19378,0.29829
2017,Indirect migration background,Rural regions,Seldom,0.40311,119,262,0.34360,0.46262
2017,Indirect migration background,Rural regions,Never,0.26183,95,262,0.20849,0.31516
2021,No migration background,Urban regions,Very often,0.01444,100,8282,0.01187,0.01701
2021,No migration background,Urban regions,Often,0.04851,426,8282,0.04389,0.05314
2021,No migration background,Urban regions,Sometimes,0.19802,1617,8282,0.18944,0.20660
2021,No migration background,Urban regions,Seldom,0.46345,3769,8282,0.45271,0.47419
2021,No migration background,Urban regions,Never,0.27558,2370,8282,0.26596,0.28520
2021,No migration background,Rural regions,Very often,0.01504,69,4827,0.01161,0.01847
2021,No migration background,Rural regions,Often,0.06375,281,4827,0.05685,0.07064
2021,No migration background,Rural regions,Sometimes,0.19822,895,4827,0.18697,0.20947
2021,No migration background,Rural regions,Seldom,0.46072,2212,4827,0.44666,0.47478
2021,No migration background,Rural regions,Never,0.26228,1370,4827,0.24986,0.27469
2021,Direct migration background,Urban regions,Very often,0.02724,183,3986,0.02219,0.03230
2021,Direct migration background,Urban regions,Often,0.09330,401,3986,0.08427,0.10233
2021,Direct migration background,Urban regions,Sometimes,0.23403,1061,3986,0.22088,0.24717
2021,Direct migration background,Urban regions,Seldom,0.42557,1109,3986,0.41022,0.44092
2021,Direct migration background,Urban regions,Never,0.21986,1232,3986,0.20700,0.23272
2021,Direct migration background,Rural regions,Very often,0.00652,39,1131,0.00183,0.01122
2021,Direct migration background,Rural regions,Often,0.08561,111,1131,0.06930,0.10192
2021,Direct migration background,Rural regions,Sometimes,0.31765,314,1131,0.29051,0.34480
2021,Direct migration background,Rural regions,Seldom,0.35213,314,1131,0.32428,0.37998
2021,Direct migration background,Rural regions,Never,0.23808,353,1131,0.21325,0.26292
2021,Indirect migration background,Urban regions,Often,0.04886,36,719,0.03309,0.06463
2021,Indirect migration background,Urban regions,Sometimes,0.20875,162,719,0.17902,0.23848
2021,Indirect migration background,Urban regions,Seldom,0.47181,330,719,0.43530,0.50833
2021,Indirect migration background,Urban regions,Never,0.25667,191,719,0.22472,0.28862
2021,Indirect migration background,Rural regions,Sometimes,0.15041,32,180,0.09804,0.20277
2021,Indirect migration background,Rural regions,Seldom,0.52387,94,180,0.45070,0.59703
2021,Indirect migration background,Rural regions,Never,0.28073,54,180,0.21490,0.34656
