"plj0588","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","1 Einkommensschwächstes Quintil","103","0.0271585310929672","0.0219498422686425","0.0323672199172918"
"Sehr oft","2013","2","66","0.0117030439380566","0.00871520338648868","0.0146908844896246"
"Sehr oft","2013","3","36","0.00821289842794927","0.00564656530301632","0.0107792315528822"
"Sehr oft","2013","4","31","0.00610383570311971","0.00408236091066217","0.00812531049557725"
"Sehr oft","2013","5 Einkommensstärkstes Quintil","29","","",""
"Oft","2013","1 Einkommensschwächstes Quintil","375","0.108990696404433","0.0990047307021223","0.118976662106744"
"Oft","2013","2","321","0.0708587207065496","0.0637301608302959","0.0779872805828033"
"Oft","2013","3","196","0.0449256210782284","0.0390355407449913","0.0508157014114654"
"Oft","2013","4","252","0.0431889587087761","0.0379130671429431","0.0484648502746091"
"Oft","2013","5 Einkommensstärkstes Quintil","173","0.0337714270351045","0.029278990291415","0.0382638637787939"
"Manchmal","2013","1 Einkommensschwächstes Quintil","907","0.24528102725414","0.231493739209116","0.259068315299164"
"Manchmal","2013","2","1123","0.230626998756831","0.218924251779239","0.242329745734422"
"Manchmal","2013","3","986","0.227481993907211","0.21556179796361","0.239402189850811"
"Manchmal","2013","4","1050","0.196853814721307","0.186534149152349","0.207173480290264"
"Manchmal","2013","5 Einkommensstärkstes Quintil","1008","0.170784194692274","0.161425291603273","0.180143097781276"
"Selten","2013","1 Einkommensschwächstes Quintil","1377","0.35552819402018","0.340189329142202","0.370867058898158"
"Selten","2013","2","2101","0.404031063466218","0.390398313772741","0.417663813159695"
"Selten","2013","3","2118","0.431329303444248","0.417246455740794","0.445412151147702"
"Selten","2013","4","2645","0.471082363904753","0.458127321102131","0.484037406707376"
"Selten","2013","5 Einkommensstärkstes Quintil","3000","0.481219451126452","0.468793468122414","0.49364543413049"
"Nie","2013","1 Einkommensschwächstes Quintil","979","0.263041551228279","0.248932821420407","0.277150281036152"
"Nie","2013","2","1366","0.282780173132345","0.270268514343692","0.295291831920998"
"Nie","2013","3","1415","0.288050183142364","0.275173193541355","0.300927172743372"
"Nie","2013","4","1725","0.282771026962044","0.271082957814954","0.294459096109134"
"Nie","2013","5 Einkommensstärkstes Quintil","2001","0.309337085836549","0.297841889596801","0.320832282076297"
"Sehr oft","2014","1 Einkommensschwächstes Quintil","","","",""
"Sehr oft","2014","2","","","",""
"Sehr oft","2014","3","","","",""
"Sehr oft","2014","4","","","",""
"Sehr oft","2014","5 Einkommensstärkstes Quintil","","","",""
"Oft","2014","1 Einkommensschwächstes Quintil","","","",""
"Oft","2014","2","","","",""
"Oft","2014","3","","","",""
"Oft","2014","4","","","",""
"Oft","2014","5 Einkommensstärkstes Quintil","","","",""
"Manchmal","2014","1 Einkommensschwächstes Quintil","","","",""
"Manchmal","2014","2","","","",""
"Manchmal","2014","3","","","",""
"Manchmal","2014","4","","","",""
"Manchmal","2014","5 Einkommensstärkstes Quintil","","","",""
"Selten","2014","1 Einkommensschwächstes Quintil","","","",""
"Selten","2014","2","","","",""
"Selten","2014","3","","","",""
"Selten","2014","4","","","",""
"Selten","2014","5 Einkommensstärkstes Quintil","","","",""
"Nie","2014","1 Einkommensschwächstes Quintil","","","",""
"Nie","2014","2","","","",""
"Nie","2014","3","","","",""
"Nie","2014","4","","","",""
"Nie","2014","5 Einkommensstärkstes Quintil","","","",""
"Sehr oft","2015","1 Einkommensschwächstes Quintil","","","",""
"Sehr oft","2015","2","","","",""
"Sehr oft","2015","3","","","",""
"Sehr oft","2015","4","","","",""
"Sehr oft","2015","5 Einkommensstärkstes Quintil","","","",""
"Oft","2015","1 Einkommensschwächstes Quintil","","","",""
"Oft","2015","2","","","",""
"Oft","2015","3","","","",""
"Oft","2015","4","","","",""
"Oft","2015","5 Einkommensstärkstes Quintil","","","",""
"Manchmal","2015","1 Einkommensschwächstes Quintil","","","",""
"Manchmal","2015","2","","","",""
"Manchmal","2015","3","","","",""
"Manchmal","2015","4","","","",""
"Manchmal","2015","5 Einkommensstärkstes Quintil","","","",""
"Selten","2015","1 Einkommensschwächstes Quintil","","","",""
"Selten","2015","2","","","",""
"Selten","2015","3","","","",""
"Selten","2015","4","","","",""
"Selten","2015","5 Einkommensstärkstes Quintil","","","",""
"Nie","2015","1 Einkommensschwächstes Quintil","","","",""
"Nie","2015","2","","","",""
"Nie","2015","3","","","",""
"Nie","2015","4","","","",""
"Nie","2015","5 Einkommensstärkstes Quintil","","","",""
"Sehr oft","2016","1 Einkommensschwächstes Quintil","158","0.0733833404201644","0.0635455981817424","0.0832210826585864"
"Sehr oft","2016","2","3","","",""
"Sehr oft","2016","3","4","","",""
"Sehr oft","2016","4","","","",""
"Sehr oft","2016","5 Einkommensstärkstes Quintil","1","","",""
"Oft","2016","1 Einkommensschwächstes Quintil","330","0.137641841835642","0.124644165305187","0.150639518366096"
"Oft","2016","2","10","","",""
"Oft","2016","3","1","","",""
"Oft","2016","4","","","",""
"Oft","2016","5 Einkommensstärkstes Quintil","1","","",""
"Manchmal","2016","1 Einkommensschwächstes Quintil","698","0.266122052627842","0.249449618899437","0.282794486356247"
"Manchmal","2016","2","19","","",""
"Manchmal","2016","3","10","","",""
"Manchmal","2016","4","3","","",""
"Manchmal","2016","5 Einkommensstärkstes Quintil","1","","",""
"Selten","2016","1 Einkommensschwächstes Quintil","575","0.210217169831672","0.194845020839226","0.225589318824118"
"Selten","2016","2","23","","",""
"Selten","2016","3","5","","",""
"Selten","2016","4","2","","",""
"Selten","2016","5 Einkommensstärkstes Quintil","2","","",""
"Nie","2016","1 Einkommensschwächstes Quintil","938","0.31263559528468","0.295146820720922","0.330124369848438"
"Nie","2016","2","36","0.365689428265417","0.26673515071981","0.464643705811025"
"Nie","2016","3","12","","",""
"Nie","2016","4","1","","",""
"Nie","2016","5 Einkommensstärkstes Quintil","1","","",""
"Sehr oft","2017","1 Einkommensschwächstes Quintil","210","0.0321516202173157","0.0271413806685447","0.0371618597660867"
"Sehr oft","2017","2","82","0.0209403357901051","0.0165157820451092","0.025364889535101"
"Sehr oft","2017","3","47","0.00989417822480064","0.00700427586960278","0.0127840805799985"
"Sehr oft","2017","4","47","0.00942571737317615","0.00708511494313024","0.0117663198032221"
"Sehr oft","2017","5 Einkommensstärkstes Quintil","33","0.0038780191475778","0.00254990964870964","0.00520612864644597"
"Oft","2017","1 Einkommensschwächstes Quintil","520","0.10321179475739","0.0945708146690967","0.111852774845684"
"Oft","2017","2","300","0.0839868918035728","0.0754159277527004","0.0925578558544452"
"Oft","2017","3","231","0.0507045162656049","0.044298669781743","0.0571103627494668"
"Oft","2017","4","296","0.0487920440466849","0.0435736224387092","0.0540104656546605"
"Oft","2017","5 Einkommensstärkstes Quintil","269","0.0287709193431064","0.0251989283499892","0.0323429103362236"
"Manchmal","2017","1 Einkommensschwächstes Quintil","1235","0.245396751343252","0.233174614686331","0.257618888000173"
"Manchmal","2017","2","922","0.234594628661428","0.22150046214023","0.247688795182626"
"Manchmal","2017","3","945","0.21263910097294","0.200692042677512","0.224586159268367"
"Manchmal","2017","4","1252","0.192385517568169","0.182837457166735","0.201933577969603"
"Manchmal","2017","5 Einkommensstärkstes Quintil","1376","0.175425225194063","0.167298160996978","0.183552289391149"
"Selten","2017","1 Einkommensschwächstes Quintil","1435","0.364718598471169","0.35104712194225","0.378390075000088"
"Selten","2017","2","1515","0.376891796413886","0.361916923288754","0.391866669539018"
"Selten","2017","3","1928","0.433275574391392","0.418807172419453","0.447743976363331"
"Selten","2017","4","2896","0.435461150255232","0.423450997109454","0.447471303401009"
"Selten","2017","5 Einkommensstärkstes Quintil","3981","0.472451647462218","0.461783660751873","0.483119634172564"
"Nie","2017","1 Einkommensschwächstes Quintil","1362","0.254521235210873","0.242149430812409","0.266893039609337"
"Nie","2017","2","1204","0.283586347331008","0.269658061810728","0.297514632851288"
"Nie","2017","3","1355","0.293486630145263","0.280191063524399","0.306782196766127"
"Nie","2017","4","2056","0.313935570756739","0.302693931744189","0.325177209769288"
"Nie","2017","5 Einkommensstärkstes Quintil","2754","0.319474188853034","0.309510667966081","0.329437709739987"
"Sehr oft","2018","1 Einkommensschwächstes Quintil","24","","",""
"Sehr oft","2018","2","5","","",""
"Sehr oft","2018","3","1","","",""
"Sehr oft","2018","4","","","",""
"Sehr oft","2018","5 Einkommensstärkstes Quintil","","","",""
"Oft","2018","1 Einkommensschwächstes Quintil","34","0.108024065863044","0.07411959401785","0.141928537708237"
"Oft","2018","2","3","","",""
"Oft","2018","3","1","","",""
"Oft","2018","4","","","",""
"Oft","2018","5 Einkommensstärkstes Quintil","","","",""
"Manchmal","2018","1 Einkommensschwächstes Quintil","90","0.332250073433389","0.280803124682815","0.383697022183964"
"Manchmal","2018","2","11","","",""
"Manchmal","2018","3","2","","",""
"Manchmal","2018","4","1","","",""
"Manchmal","2018","5 Einkommensstärkstes Quintil","","","",""
"Selten","2018","1 Einkommensschwächstes Quintil","52","0.118065785946912","0.0828205613860999","0.153311010507724"
"Selten","2018","2","7","","",""
"Selten","2018","3","3","","",""
"Selten","2018","4","","","",""
"Selten","2018","5 Einkommensstärkstes Quintil","","","",""
"Nie","2018","1 Einkommensschwächstes Quintil","122","0.376978953753985","0.324045520099708","0.429912387408261"
"Nie","2018","2","10","","",""
"Nie","2018","3","7","","",""
"Nie","2018","4","","","",""
"Nie","2018","5 Einkommensstärkstes Quintil","","","",""
"Sehr oft","2019","1 Einkommensschwächstes Quintil","6","","",""
"Sehr oft","2019","2","1","","",""
"Sehr oft","2019","3","","","",""
"Sehr oft","2019","4","","","",""
"Sehr oft","2019","5 Einkommensstärkstes Quintil","","","",""
"Oft","2019","1 Einkommensschwächstes Quintil","10","","",""
"Oft","2019","2","9","","",""
"Oft","2019","3","2","","",""
"Oft","2019","4","","","",""
"Oft","2019","5 Einkommensstärkstes Quintil","","","",""
"Manchmal","2019","1 Einkommensschwächstes Quintil","37","0.237456740372555","0.178035806616604","0.296877674128507"
"Manchmal","2019","2","10","","",""
"Manchmal","2019","3","2","","",""
"Manchmal","2019","4","","","",""
"Manchmal","2019","5 Einkommensstärkstes Quintil","","","",""
"Selten","2019","1 Einkommensschwächstes Quintil","45","0.176484182654341","0.123248375340215","0.229719989968468"
"Selten","2019","2","7","","",""
"Selten","2019","3","4","","",""
"Selten","2019","4","1","","",""
"Selten","2019","5 Einkommensstärkstes Quintil","","","",""
"Nie","2019","1 Einkommensschwächstes Quintil","99","0.506560656385005","0.436745841138835","0.576375471631175"
"Nie","2019","2","15","","",""
"Nie","2019","3","5","","",""
"Nie","2019","4","1","","",""
"Nie","2019","5 Einkommensstärkstes Quintil","","","",""
