"plj0588","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","7","","",""
"Sehr oft","2013","(noch) kein Abschluss","2","3","","",""
"Sehr oft","2013","(noch) kein Abschluss","3","","","",""
"Sehr oft","2013","(noch) kein Abschluss","4","1","","",""
"Sehr oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","","","",""
"Sehr oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","49","0.0296989214549309","0.021275095451442","0.0381227474584198"
"Sehr oft","2013","Hauptschule","2","35","0.0150057349522342","0.00973392926532071","0.0202775406391478"
"Sehr oft","2013","Hauptschule","3","19","","",""
"Sehr oft","2013","Hauptschule","4","10","","",""
"Sehr oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","11","","",""
"Sehr oft","2013","Realschule","1 Einkommensschwächstes Quintil","27","","",""
"Sehr oft","2013","Realschule","2","16","","",""
"Sehr oft","2013","Realschule","3","9","","",""
"Sehr oft","2013","Realschule","4","10","","",""
"Sehr oft","2013","Realschule","5 Einkommensstärkstes Quintil","6","","",""
"Sehr oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","9","","",""
"Sehr oft","2013","(Fach-)Abitur","2","5","","",""
"Sehr oft","2013","(Fach-)Abitur","3","7","","",""
"Sehr oft","2013","(Fach-)Abitur","4","","","",""
"Sehr oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","5","","",""
"Sehr oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","7","","",""
"Sehr oft","2013","AkademikerIn","2","7","","",""
"Sehr oft","2013","AkademikerIn","3","1","","",""
"Sehr oft","2013","AkademikerIn","4","9","","",""
"Sehr oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","6","","",""
"Oft","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","42","0.156536207976047","0.112621414638655","0.200451001313438"
"Oft","2013","(noch) kein Abschluss","2","16","","",""
"Oft","2013","(noch) kein Abschluss","3","5","","",""
"Oft","2013","(noch) kein Abschluss","4","3","","",""
"Oft","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","4","","",""
"Oft","2013","Hauptschule","1 Einkommensschwächstes Quintil","150","0.0894073438526704","0.0752482826173041","0.103566405088037"
"Oft","2013","Hauptschule","2","128","0.0614239733069427","0.0510123705600671","0.0718355760538183"
"Oft","2013","Hauptschule","3","76","0.0538641854330513","0.0431643567224121","0.0645640141436905"
"Oft","2013","Hauptschule","4","63","0.0398637390797319","0.0300479260847186","0.0496795520747452"
"Oft","2013","Hauptschule","5 Einkommensstärkstes Quintil","33","0.0407267031769046","0.0274076388993416","0.0540457674544676"
"Oft","2013","Realschule","1 Einkommensschwächstes Quintil","95","0.131228610288345","0.110269756312125","0.152187464264565"
"Oft","2013","Realschule","2","93","0.0718996088200931","0.0589557693774664","0.0848434482627198"
"Oft","2013","Realschule","3","67","0.0417693110358208","0.0316246746300254","0.0519139474416162"
"Oft","2013","Realschule","4","95","0.0537016051332649","0.0431848098218296","0.0642184004447003"
"Oft","2013","Realschule","5 Einkommensstärkstes Quintil","48","0.0399702678880901","0.0296760016243908","0.0502645341517894"
"Oft","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","36","0.0701947021736946","0.0467975215346279","0.0935918828127613"
"Oft","2013","(Fach-)Abitur","2","37","0.0741692379567996","0.052843120045725","0.0954953558678741"
"Oft","2013","(Fach-)Abitur","3","22","","",""
"Oft","2013","(Fach-)Abitur","4","37","0.0428449125827514","0.0287945532310399","0.0568952719344629"
"Oft","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","28","","",""
"Oft","2013","AkademikerIn","1 Einkommensschwächstes Quintil","31","0.158728955450169","0.114480970762637","0.202976940137701"
"Oft","2013","AkademikerIn","2","39","0.107439263988035","0.079620039694892","0.135258488281179"
"Oft","2013","AkademikerIn","3","23","","",""
"Oft","2013","AkademikerIn","4","50","0.0360737801570792","0.0262953843631758","0.0458521759509826"
"Oft","2013","AkademikerIn","5 Einkommensstärkstes Quintil","60","0.0282145096906953","0.0222382128076434","0.0341908065737471"
"Manchmal","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","63","0.219446592365374","0.169427483573191","0.269465701157557"
"Manchmal","2013","(noch) kein Abschluss","2","44","0.275639856771003","0.212599637181999","0.338680076360008"
"Manchmal","2013","(noch) kein Abschluss","3","26","","",""
"Manchmal","2013","(noch) kein Abschluss","4","21","","",""
"Manchmal","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","20","","",""
"Manchmal","2013","Hauptschule","1 Einkommensschwächstes Quintil","376","0.259224126357907","0.237478750618566","0.280969502097247"
"Manchmal","2013","Hauptschule","2","447","0.21720745132166","0.19932715923356","0.235087743409761"
"Manchmal","2013","Hauptschule","3","336","0.205526375144489","0.186373959458103","0.224678790830875"
"Manchmal","2013","Hauptschule","4","290","0.207845944205194","0.187487413730006","0.228204474680382"
"Manchmal","2013","Hauptschule","5 Einkommensstärkstes Quintil","160","0.193932585378352","0.167290146037307","0.220575024719397"
"Manchmal","2013","Realschule","1 Einkommensschwächstes Quintil","254","0.258860565824443","0.231672180221608","0.286048951427277"
"Manchmal","2013","Realschule","2","343","0.228770659218637","0.207723460126013","0.249817858311261"
"Manchmal","2013","Realschule","3","328","0.251125299169591","0.2291354320304","0.273115166308783"
"Manchmal","2013","Realschule","4","311","0.188260615189138","0.17002317914367","0.206498051234606"
"Manchmal","2013","Realschule","5 Einkommensstärkstes Quintil","234","0.17682416369801","0.156774751752594","0.196873575643426"
"Manchmal","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","121","0.263941358426096","0.223574469122788","0.304308247729405"
"Manchmal","2013","(Fach-)Abitur","2","141","0.264987906029415","0.2290713767027","0.30090443535613"
"Manchmal","2013","(Fach-)Abitur","3","124","0.263400897125112","0.227706966462302","0.299094827787921"
"Manchmal","2013","(Fach-)Abitur","4","152","0.1974847022195","0.169863661699705","0.225105742739295"
"Manchmal","2013","(Fach-)Abitur","5 Einkommensstärkstes Quintil","144","0.172402408239015","0.14668944677803","0.198115369699999"
"Manchmal","2013","AkademikerIn","1 Einkommensschwächstes Quintil","56","0.162225558635066","0.117585923318806","0.206865193951326"
"Manchmal","2013","AkademikerIn","2","108","0.224641564493741","0.187149364045946","0.262133764941535"
"Manchmal","2013","AkademikerIn","3","145","0.203232755057403","0.174001666434943","0.232463843679863"
"Manchmal","2013","AkademikerIn","4","258","0.198801298548215","0.177873207563105","0.219729389533326"
"Manchmal","2013","AkademikerIn","5 Einkommensstärkstes Quintil","431","0.151981685726669","0.13902455175646","0.164938819696879"
"Selten","2013","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","94","0.314318972221619","0.258212032521205","0.370425911922033"
"Selten","2013","(noch) kein Abschluss","2","75","0.379372707767312","0.310915699799136","0.447829715735488"
"Selten","2013","(noch) kein Abschluss","3","65","0.429749710369043","0.34685470556762","0.512644715170467"
"Selten","2013","(noch) kein Abschluss","4","49","0.51521929967187","0.421397542093058","0.609041057250682"
"Selten","2013","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","50","0.403399597753367","0.307247759332838","0.499551436173896"
"Selten","2013","Hauptschule","1 Einkommensschwächstes Quintil","524","0.322142084146736","0.298953252909816","0.345330915383656"
"Selten","2013","Hauptschule","2","807","0.373699116902714","0.352721002208279","0.394677231597148"
"Selten","2013","Hauptschule","3","714","0.404091869828945","0.380833474529229","0.42735026512866"
"Selten","2013","Hauptschule","4","629","0.424635536188047","0.399835603064927","0.449435469311166"
"Selten","2013","Hauptschule","5 Einkommensstärkstes Quintil","336","0.393501829784247","0.360582496181228","0.426421163387266"
"Selten","2013","Realschule","1 Einkommensschwächstes Quintil","390","0.371664637885986","0.341668048106579","0.401661227665392"
"Selten","2013","Realschule","2","687","0.4423176422896","0.417431191735021","0.467204092844179"
"Selten","2013","Realschule","3","664","0.438792501787978","0.413629402944976","0.463955600630979"
"Selten","2013","Realschule","4","849","0.495521752469192","0.472196394338282","0.518847110600103"
"Selten","2013","Realschule","5 Einkommensstärkstes Quintil","682","0.491399797168979","0.465127970086374","0.517671624251585"
"Selten","2013","(Fach-)Abitur","1 Einkommensschwächstes Quintil","183","0.415193102347496","0.370065042760079","0.460321161934912"
