"plj0588","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","Westdeutschland","11","","",""
"Sehr oft","2013","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr oft","2013","Hauptschule","Westdeutschland","96","0.0139099887736444","0.011048254978512","0.0167717225687768"
"Sehr oft","2013","Hauptschule","Ostdeutschland","28","","",""
"Sehr oft","2013","Realschule","Westdeutschland","49","0.00905320142758132","0.00640010125698478","0.0117063015981779"
"Sehr oft","2013","Realschule","Ostdeutschland","19","","",""
"Sehr oft","2013","(Fach-)Abitur","Westdeutschland","24","","",""
"Sehr oft","2013","(Fach-)Abitur","Ostdeutschland","2","","",""
"Sehr oft","2013","AkademikerIn","Westdeutschland","19","","",""
"Sehr oft","2013","AkademikerIn","Ostdeutschland","11","","",""
"Oft","2013","(noch) kein Abschluss","Westdeutschland","58","0.0827030185854703","0.0622404977799794","0.103165539390961"
"Oft","2013","(noch) kein Abschluss","Ostdeutschland","12","","",""
"Oft","2013","Hauptschule","Westdeutschland","357","0.0549435520488597","0.0493756087513552","0.0605114953463642"
"Oft","2013","Hauptschule","Ostdeutschland","93","0.0726995874712426","0.0583117462682316","0.0870874286742536"
"Oft","2013","Realschule","Westdeutschland","231","","",""
"Oft","2013","Realschule","Ostdeutschland","167","","",""
"Oft","2013","(Fach-)Abitur","Westdeutschland","142","","",""
"Oft","2013","(Fach-)Abitur","Ostdeutschland","18","","",""
"Oft","2013","AkademikerIn","Westdeutschland","147","","",""
"Oft","2013","AkademikerIn","Ostdeutschland","56","0.0483645681702211","0.0373183693121362","0.0594107670283061"
"Manchmal","2013","(noch) kein Abschluss","Westdeutschland","153","","",""
"Manchmal","2013","(noch) kein Abschluss","Ostdeutschland","21","","",""
"Manchmal","2013","Hauptschule","Westdeutschland","1315","","",""
"Manchmal","2013","Hauptschule","Ostdeutschland","294","","",""
"Manchmal","2013","Realschule","Westdeutschland","964","0.208762105959798","0.197377794727617","0.22014641719198"
"Manchmal","2013","Realschule","Ostdeutschland","506","0.228994886276638","0.2117513247999","0.246238447753375"
"Manchmal","2013","(Fach-)Abitur","Westdeutschland","574","0.212185895887625","0.196935362974506","0.227436428800744"
"Manchmal","2013","(Fach-)Abitur","Ostdeutschland","108","","",""
"Manchmal","2013","AkademikerIn","Westdeutschland","709","0.163220042030719","0.152254051613005","0.174186032448432"
"Manchmal","2013","AkademikerIn","Ostdeutschland","289","","",""
"Selten","2013","(noch) kein Abschluss","Westdeutschland","285","","",""
"Selten","2013","(noch) kein Abschluss","Ostdeutschland","48","0.542604653792637","0.447766566540292","0.637442741044982"
"Selten","2013","Hauptschule","Westdeutschland","2551","","",""
"Selten","2013","Hauptschule","Ostdeutschland","459","0.348920695077439","0.322508788877661","0.375332601277217"
"Selten","2013","Realschule","Westdeutschland","2256","","",""
"Selten","2013","Realschule","Ostdeutschland","1016","","",""
"Selten","2013","(Fach-)Abitur","Westdeutschland","1273","","",""
"Selten","2013","(Fach-)Abitur","Ostdeutschland","232","","",""
"Selten","2013","AkademikerIn","Westdeutschland","2125","","",""
"Selten","2013","AkademikerIn","Ostdeutschland","735","0.494488991830401","0.468746088791339","0.520231894869462"
"Nie","2013","(noch) kein Abschluss","Westdeutschland","189","","",""
"Nie","2013","(noch) kein Abschluss","Ostdeutschland","25","","",""
"Nie","2013","Hauptschule","Westdeutschland","2115","","",""
"Nie","2013","Hauptschule","Ostdeutschland","377","0.304224347578595","0.278729581356747","0.329719113800444"
"Nie","2013","Realschule","Westdeutschland","1396","","",""
"Nie","2013","Realschule","Ostdeutschland","573","0.24258743749897","0.224996626845413","0.260178248152527"
"Nie","2013","(Fach-)Abitur","Westdeutschland","748","0.266162742522833","0.249677763538158","0.282647721507508"
"Nie","2013","(Fach-)Abitur","Ostdeutschland","129","","",""
"Nie","2013","AkademikerIn","Westdeutschland","1363","","",""
"Nie","2013","AkademikerIn","Ostdeutschland","358","0.223012013349164","0.201578904005976","0.244445122692352"
"Sehr oft","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Sehr oft","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr oft","2014","Hauptschule","Westdeutschland","","","",""
"Sehr oft","2014","Hauptschule","Ostdeutschland","","","",""
"Sehr oft","2014","Realschule","Westdeutschland","","","",""
"Sehr oft","2014","Realschule","Ostdeutschland","","","",""
"Sehr oft","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Sehr oft","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Sehr oft","2014","AkademikerIn","Westdeutschland","","","",""
"Sehr oft","2014","AkademikerIn","Ostdeutschland","","","",""
"Oft","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Oft","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Oft","2014","Hauptschule","Westdeutschland","","","",""
"Oft","2014","Hauptschule","Ostdeutschland","","","",""
"Oft","2014","Realschule","Westdeutschland","","","",""
"Oft","2014","Realschule","Ostdeutschland","","","",""
"Oft","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Oft","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Oft","2014","AkademikerIn","Westdeutschland","","","",""
"Oft","2014","AkademikerIn","Ostdeutschland","","","",""
"Manchmal","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Manchmal","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Manchmal","2014","Hauptschule","Westdeutschland","","","",""
"Manchmal","2014","Hauptschule","Ostdeutschland","","","",""
"Manchmal","2014","Realschule","Westdeutschland","","","",""
"Manchmal","2014","Realschule","Ostdeutschland","","","",""
"Manchmal","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Manchmal","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Manchmal","2014","AkademikerIn","Westdeutschland","","","",""
"Manchmal","2014","AkademikerIn","Ostdeutschland","","","",""
"Selten","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Selten","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Selten","2014","Hauptschule","Westdeutschland","","","",""
"Selten","2014","Hauptschule","Ostdeutschland","","","",""
"Selten","2014","Realschule","Westdeutschland","","","",""
"Selten","2014","Realschule","Ostdeutschland","","","",""
"Selten","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Selten","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Selten","2014","AkademikerIn","Westdeutschland","","","",""
"Selten","2014","AkademikerIn","Ostdeutschland","","","",""
"Nie","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","2014","Hauptschule","Westdeutschland","","","",""
"Nie","2014","Hauptschule","Ostdeutschland","","","",""
"Nie","2014","Realschule","Westdeutschland","","","",""
"Nie","2014","Realschule","Ostdeutschland","","","",""
"Nie","2014","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","2014","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","2014","AkademikerIn","Westdeutschland","","","",""
"Nie","2014","AkademikerIn","Ostdeutschland","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Westdeutschland","","","",""
"Sehr oft","2015","(noch) kein Abschluss","Ostdeutschland","","","",""
"Sehr oft","2015","Hauptschule","Westdeutschland","","","",""
"Sehr oft","2015","Hauptschule","Ostdeutschland","","","",""
"Sehr oft","2015","Realschule","Westdeutschland","","","",""
"Sehr oft","2015","Realschule","Ostdeutschland","","","",""
"Sehr oft","2015","(Fach-)Abitur","Westdeutschland","","","",""
"Sehr oft","2015","(Fach-)Abitur","Ostdeutschland","","","",""
"Sehr oft","2015","AkademikerIn","Westdeutschland","","","",""
"Sehr oft","2015","AkademikerIn","Ostdeutschland","","","",""
"Oft","2015","(noch) kein Abschluss","Westdeutschland","","","",""
"Oft","2015","(noch) kein Abschluss","Ostdeutschland","","","",""
"Oft","2015","Hauptschule","Westdeutschland","","","",""
"Oft","2015","Hauptschule","Ostdeutschland","","","",""
"Oft","2015","Realschule","Westdeutschland","","","",""
"Oft","2015","Realschule","Ostdeutschland","","","",""
"Oft","2015","(Fach-)Abitur","Westdeutschland","","","",""
"Oft","2015","(Fach-)Abitur","Ostdeutschland","","","",""
"Oft","2015","AkademikerIn","Westdeutschland","","","",""
"Oft","2015","AkademikerIn","Ostdeutschland","","","",""
"Manchmal","2015","(noch) kein Abschluss","Westdeutschland","","","",""
"Manchmal","2015","(noch) kein Abschluss","Ostdeutschland","","","",""
"Manchmal","2015","Hauptschule","Westdeutschland","","","",""
"Manchmal","2015","Hauptschule","Ostdeutschland","","","",""
"Manchmal","2015","Realschule","Westdeutschland","","","",""
"Manchmal","2015","Realschule","Ostdeutschland","","","",""
"Manchmal","2015","(Fach-)Abitur","Westdeutschland","","","",""
"Manchmal","2015","(Fach-)Abitur","Ostdeutschland","","","",""
"Manchmal","2015","AkademikerIn","Westdeutschland","","","",""
"Manchmal","2015","AkademikerIn","Ostdeutschland","","","",""
