"plj0588","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","3","","",""
"Sehr oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","6","0.0419860478998393","0.0114767325099844","0.0724953632896942"
"Sehr oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Sehr oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Hauptschule","kein Migrationshintergrund","100","","",""
"Sehr oft","2013","Hauptschule","direkter Migrationshintergrund","20","","",""
"Sehr oft","2013","Hauptschule","indirekter Migrationshintergrund","4","0.0095562822685523","-0.00147108609765393","0.0205836506347585"
"Sehr oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","Realschule","kein Migrationshintergrund","64","0.00809212522542028","0.00593639409201884","0.0102478563588217"
"Sehr oft","2013","Realschule","direkter Migrationshintergrund","2","","",""
"Sehr oft","2013","Realschule","indirekter Migrationshintergrund","2","","",""
"Sehr oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","(Fach-)Abitur","kein Migrationshintergrund","15","","",""
"Sehr oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","10","","",""
"Sehr oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Sehr oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2013","AkademikerIn","kein Migrationshintergrund","24","","",""
"Sehr oft","2013","AkademikerIn","direkter Migrationshintergrund","5","0.00856385510702072","0.00091849368250816","0.0162092165315333"
"Sehr oft","2013","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Sehr oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(noch) kein Abschluss","kein Migrationshintergrund","38","0.0863145991794052","0.0622926130860714","0.110336585272739"
"Oft","2013","(noch) kein Abschluss","direkter Migrationshintergrund","24","","",""
"Oft","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","8","0.0980542078889752","0.0427306709177221","0.153377744860228"
"Oft","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Hauptschule","kein Migrationshintergrund","370","0.0571292710705959","0.0514136361676078","0.0628449059735839"
"Oft","2013","Hauptschule","direkter Migrationshintergrund","66","0.0668443237127603","0.0517522284075596","0.081936419017961"
"Oft","2013","Hauptschule","indirekter Migrationshintergrund","14","","",""
"Oft","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","Realschule","kein Migrationshintergrund","371","0.060072075085492","0.0543545086348767","0.0657896415361074"
"Oft","2013","Realschule","direkter Migrationshintergrund","12","","",""
"Oft","2013","Realschule","indirekter Migrationshintergrund","15","","",""
"Oft","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","(Fach-)Abitur","kein Migrationshintergrund","121","","",""
"Oft","2013","(Fach-)Abitur","direkter Migrationshintergrund","33","0.047693019246","0.0297512882870319","0.0656347502049681"
"Oft","2013","(Fach-)Abitur","indirekter Migrationshintergrund","6","0.0347424524463516","0.00849548535668424","0.060989419536019"
"Oft","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2013","AkademikerIn","kein Migrationshintergrund","154","","",""
"Oft","2013","AkademikerIn","direkter Migrationshintergrund","43","0.0482868136733929","0.0304999937161045","0.0660736336306814"
"Oft","2013","AkademikerIn","indirekter Migrationshintergrund","6","0.0120502198771827","-0.00367248081543183","0.0277729205697973"
"Oft","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","(noch) kein Abschluss","kein Migrationshintergrund","111","","",""
"Manchmal","2013","(noch) kein Abschluss","direkter Migrationshintergrund","46","0.289073870457745","0.220111734560318","0.358036006355172"
"Manchmal","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","17","","",""
"Manchmal","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","Hauptschule","kein Migrationshintergrund","1271","","",""
"Manchmal","2013","Hauptschule","direkter Migrationshintergrund","269","","",""
"Manchmal","2013","Hauptschule","indirekter Migrationshintergrund","69","0.26245260279225","0.212583344810999","0.312321860773502"
"Manchmal","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","Realschule","kein Migrationshintergrund","1363","","",""
"Manchmal","2013","Realschule","direkter Migrationshintergrund","54","0.246683384130039","0.192594016996086","0.300772751263991"
"Manchmal","2013","Realschule","indirekter Migrationshintergrund","53","0.198519104918823","0.153230629551914","0.243807580285731"
"Manchmal","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","(Fach-)Abitur","kein Migrationshintergrund","504","0.213528879336418","0.197532143669232","0.229525615003603"
"Manchmal","2013","(Fach-)Abitur","direkter Migrationshintergrund","135","","",""
"Manchmal","2013","(Fach-)Abitur","indirekter Migrationshintergrund","43","0.240338165209754","0.179096243144141","0.301580087275367"
"Manchmal","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2013","AkademikerIn","kein Migrationshintergrund","828","0.17407837658019","0.163640100539486","0.184516652620893"
"Manchmal","2013","AkademikerIn","direkter Migrationshintergrund","130","","",""
"Manchmal","2013","AkademikerIn","indirekter Migrationshintergrund","40","0.176212308942888","0.121310330238526","0.231114287647249"
"Manchmal","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","(noch) kein Abschluss","kein Migrationshintergrund","235","","",""
"Selten","2013","(noch) kein Abschluss","direkter Migrationshintergrund","47","0.256653176440508","0.190208052814896","0.323098300066121"
"Selten","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","51","0.395251936337494","0.304300230684376","0.486203641990611"
"Selten","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","Hauptschule","kein Migrationshintergrund","2537","","",""
"Selten","2013","Hauptschule","direkter Migrationshintergrund","360","0.303269576074692","0.275492467858111","0.331046684291274"
"Selten","2013","Hauptschule","indirekter Migrationshintergrund","113","","",""
"Selten","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","Realschule","kein Migrationshintergrund","3039","0.461117545138676","0.449123091423376","0.473111998853977"
"Selten","2013","Realschule","direkter Migrationshintergrund","95","0.324689580972463","0.265935359046803","0.383443802898124"
"Selten","2013","Realschule","indirekter Migrationshintergrund","138","","",""
"Selten","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","(Fach-)Abitur","kein Migrationshintergrund","1222","","",""
"Selten","2013","(Fach-)Abitur","direkter Migrationshintergrund","197","","",""
"Selten","2013","(Fach-)Abitur","indirekter Migrationshintergrund","86","0.419544975355273","0.348815434748271","0.490274515962275"
"Selten","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2013","AkademikerIn","kein Migrationshintergrund","2547","","",""
"Selten","2013","AkademikerIn","direkter Migrationshintergrund","226","","",""
"Selten","2013","AkademikerIn","indirekter Migrationshintergrund","87","0.537513590659831","0.465666954544539","0.609360226775123"
"Selten","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2013","(noch) kein Abschluss","kein Migrationshintergrund","138","","",""
"Nie","2013","(noch) kein Abschluss","direkter Migrationshintergrund","43","0.334929839998804","0.263133104271519","0.406726575726089"
"Nie","2013","(noch) kein Abschluss","indirekter Migrationshintergrund","33","0.299311539201074","0.21411718513666","0.384505893265489"
"Nie","2013","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2013","Hauptschule","kein Migrationshintergrund","2056","","",""
"Nie","2013","Hauptschule","direkter Migrationshintergrund","337","0.344259676423468","0.315548615247702","0.372970737599233"
"Nie","2013","Hauptschule","indirekter Migrationshintergrund","99","0.314822456023206","0.262178695037945","0.367466217008467"
"Nie","2013","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2013","Realschule","kein Migrationshintergrund","1798","","",""
"Nie","2013","Realschule","direkter Migrationshintergrund","81","0.336054586008297","0.276786039226726","0.395323132789868"
"Nie","2013","Realschule","indirekter Migrationshintergrund","90","0.250765588943322","0.20155225501262","0.299978922874024"
"Nie","2013","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2013","(Fach-)Abitur","kein Migrationshintergrund","659","0.244354830070089","0.227581044474356","0.261128615665823"
"Nie","2013","(Fach-)Abitur","direkter Migrationshintergrund","167","","",""
"Nie","2013","(Fach-)Abitur","indirekter Migrationshintergrund","51","0.302596179661442","0.236754459420329","0.368437899902556"
"Nie","2013","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2013","AkademikerIn","kein Migrationshintergrund","1516","","",""
"Nie","2013","AkademikerIn","direkter Migrationshintergrund","154","","",""
"Nie","2013","AkademikerIn","indirekter Migrationshintergrund","51","0.274017999614571","0.209747052597259","0.338288946631884"
"Nie","2013","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2014","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
