year,regtyp,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,West,Yes,0.02996,281,6461,0.02581,0.03412
2007,Urban regions,West,No,0.97004,6180,6461,0.96588,0.97419
2007,Urban regions,East,No,0.98211,895,895,0.97342,0.99080
2007,Rural regions,West,Yes,0.05841,153,1955,0.04801,0.06881
2007,Rural regions,West,No,0.94159,1802,1955,0.93119,0.95199
2007,Rural regions,East,Yes,0.03400,72,1759,0.02553,0.04247
2007,Rural regions,East,No,0.96600,1687,1759,0.95753,0.97447
2008,Urban regions,West,Yes,0.03962,325,6180,0.03476,0.04448
2008,Urban regions,West,No,0.96038,5855,6180,0.95552,0.96524
2008,Urban regions,East,No,0.97900,898,898,0.96962,0.98838
2008,Rural regions,West,Yes,0.06610,160,1886,0.05488,0.07731
2008,Rural regions,West,No,0.93390,1726,1886,0.92269,0.94512
2008,Rural regions,East,Yes,0.02855,66,1706,0.02064,0.03645
2008,Rural regions,East,No,0.97145,1640,1706,0.96355,0.97936
2009,Urban regions,West,Yes,0.04429,349,5771,0.03898,0.04959
2009,Urban regions,West,No,0.95571,5422,5771,0.95041,0.96102
2009,Urban regions,East,No,0.97967,872,872,0.97029,0.98904
2009,Rural regions,West,Yes,0.08019,187,1811,0.06768,0.09270
2009,Rural regions,West,No,0.91981,1624,1811,0.90730,0.93232
2009,Rural regions,East,Yes,0.03922,77,1651,0.02985,0.04858
2009,Rural regions,East,No,0.96078,1574,1651,0.95142,0.97015
2010,Urban regions,West,Yes,0.05144,536,7928,0.04658,0.05631
2010,Urban regions,West,No,0.94856,7392,7928,0.94369,0.95342
2010,Urban regions,East,Yes,0.02568,34,1120,0.01641,0.03495
2010,Urban regions,East,No,0.97432,1086,1120,0.96505,0.98359
2010,Rural regions,West,Yes,0.09026,352,2669,0.07939,0.10114
2010,Rural regions,West,No,0.90974,2317,2669,0.89886,0.92061
2010,Rural regions,East,Yes,0.04596,103,2034,0.03686,0.05506
2010,Rural regions,East,No,0.95404,1931,2034,0.94494,0.96314
2011,Urban regions,West,Yes,0.06027,748,9401,0.05546,0.06508
2011,Urban regions,West,No,0.93973,8653,9401,0.93492,0.94454
2011,Urban regions,East,Yes,0.03094,43,1336,0.02165,0.04023
2011,Urban regions,East,No,0.96906,1293,1336,0.95977,0.97835
2011,Rural regions,West,Yes,0.10777,494,3431,0.09739,0.11815
2011,Rural regions,West,No,0.89223,2937,3431,0.88185,0.90261
2011,Rural regions,East,Yes,0.05461,138,2404,0.04553,0.06370
2011,Rural regions,East,No,0.94539,2266,2404,0.93630,0.95447
2012,Urban regions,West,Yes,0.06560,792,9138,0.06052,0.07068
2012,Urban regions,West,No,0.93440,8346,9138,0.92932,0.93948
2012,Urban regions,East,Yes,0.03662,50,1301,0.02641,0.04683
2012,Urban regions,East,No,0.96338,1251,1301,0.95317,0.97359
2012,Rural regions,West,Yes,0.11090,511,3441,0.10040,0.12139
2012,Rural regions,West,No,0.88910,2930,3441,0.87861,0.89960
2012,Rural regions,East,Yes,0.06657,165,2411,0.05662,0.07653
2012,Rural regions,East,No,0.93343,2246,2411,0.92347,0.94338
2013,Urban regions,West,Yes,0.07038,826,10531,0.06549,0.07526
2013,Urban regions,West,No,0.92962,9705,10531,0.92474,0.93451
2013,Urban regions,East,Yes,0.04104,49,1315,0.03032,0.05177
2013,Urban regions,East,No,0.95896,1266,1315,0.94823,0.96968
2013,Rural regions,West,Yes,0.12270,528,3677,0.11209,0.13330
2013,Rural regions,West,No,0.87730,3149,3677,0.86670,0.88791
2013,Rural regions,East,Yes,0.06841,160,2340,0.05818,0.07864
2013,Rural regions,East,No,0.93159,2180,2340,0.92136,0.94182
2014,Urban regions,West,Yes,0.08032,815,9176,0.07476,0.08588
2014,Urban regions,West,No,0.91968,8361,9176,0.91412,0.92524
2014,Urban regions,East,Yes,0.03793,48,1216,0.02719,0.04867
2014,Urban regions,East,No,0.96207,1168,1216,0.95133,0.97281
2014,Rural regions,West,Yes,0.12388,505,3262,0.11257,0.13519
2014,Rural regions,West,No,0.87612,2757,3262,0.86481,0.88743
2014,Rural regions,East,Yes,0.08147,173,2162,0.06994,0.09301
2014,Rural regions,East,No,0.91853,1989,2162,0.90699,0.93006
2015,Urban regions,West,Yes,0.08011,806,9166,0.07455,0.08567
2015,Urban regions,West,No,0.91989,8360,9166,0.91433,0.92545
2015,Urban regions,East,Yes,0.04145,53,1204,0.03018,0.05271
2015,Urban regions,East,No,0.95855,1151,1204,0.94729,0.96982
2015,Rural regions,West,Yes,0.13329,528,3303,0.12170,0.14488
2015,Rural regions,West,No,0.86671,2775,3303,0.85512,0.87830
2015,Rural regions,East,Yes,0.09687,181,2072,0.08413,0.10961
2015,Rural regions,East,No,0.90313,1891,2072,0.89039,0.91587
2016,Urban regions,West,Yes,0.07751,741,8247,0.07174,0.08329
2016,Urban regions,West,No,0.92249,7506,8247,0.91671,0.92826
2016,Urban regions,East,Yes,0.04446,47,1120,0.03238,0.05653
2016,Urban regions,East,No,0.95554,1073,1120,0.94347,0.96762
2016,Rural regions,West,Yes,0.13255,464,2972,0.12036,0.14474
2016,Rural regions,West,No,0.86745,2508,2972,0.85526,0.87964
2016,Rural regions,East,Yes,0.09613,171,1948,0.08304,0.10922
2016,Rural regions,East,No,0.90387,1777,1948,0.89078,0.91696
2017,Urban regions,West,Yes,0.08255,880,9000,0.07686,0.08823
2017,Urban regions,West,No,0.91745,8120,9000,0.91177,0.92314
2017,Urban regions,East,Yes,0.04552,57,1230,0.03387,0.05717
2017,Urban regions,East,No,0.95448,1173,1230,0.94283,0.96613
2017,Rural regions,West,Yes,0.14481,551,3244,0.13270,0.15692
2017,Rural regions,West,No,0.85519,2693,3244,0.84308,0.86730
2017,Rural regions,East,Yes,0.10135,196,2180,0.08868,0.11402
2017,Rural regions,East,No,0.89865,1984,2180,0.88598,0.91132
2018,Urban regions,West,Yes,0.08532,844,8912,0.07952,0.09112
2018,Urban regions,West,No,0.91468,8068,8912,0.90888,0.92048
2018,Urban regions,East,Yes,0.04705,63,1248,0.03529,0.05880
2018,Urban regions,East,No,0.95295,1185,1248,0.94120,0.96471
2018,Rural regions,West,Yes,0.14372,533,3089,0.13134,0.15609
2018,Rural regions,West,No,0.85628,2556,3089,0.84391,0.86866
2018,Rural regions,East,Yes,0.09617,198,2175,0.08377,0.10856
