,Unnamed: 0,year,hhtyp,hgeqpsol,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Single-person household,Yes,0.00974,43,11063,0.00778,0.01197
1,1,2007,Single-person household,No,0.99026,2977,11063,0.9686,1.00954
2,2,2007,Couple without children,Yes,0.0392,176,11063,0.03307,0.0448
3,3,2007,Couple without children,No,0.9608,3584,11063,0.93945,0.9823
4,4,2007,Single parent,No,1.0,677,11063,0.95683,1.0593
5,5,2007,Couple with children,Yes,0.07342,280,11063,0.06414,0.08029
6,6,2007,Couple with children,No,0.92658,3159,11063,0.89541,0.95334
7,7,2007,Multi-generational household,No,1.0,84,11063,0.81083,1.23879
8,8,2007,Other Combinations,No,1.0,83,11063,0.78067,1.22849
9,9,2008,Single-person household,Yes,0.01606,54,10665,0.01299,0.01866
10,10,2008,Single-person household,No,0.98394,2900,10665,0.96171,1.00184
11,11,2008,Couple without children,Yes,0.0506,204,10665,0.04468,0.05665
12,12,2008,Couple without children,No,0.9494,3494,10665,0.92459,0.97701
13,13,2008,Single parent,No,1.0,655,10665,0.94527,1.06383
14,14,2008,Couple with children,Yes,0.0808,288,10665,0.07197,0.09086
15,15,2008,Couple with children,No,0.9192,2930,10665,0.89149,0.9527
16,16,2008,Multi-generational household,No,1.0,72,10665,0.7742,1.24561
17,17,2008,Other Combinations,No,1.0,68,10665,0.81494,1.23841
18,18,2009,Single-person household,Yes,0.01696,61,10099,0.01373,0.02011
19,19,2009,Single-person household,No,0.98304,2774,10099,0.95815,1.00903
20,20,2009,Couple without children,Yes,0.06331,239,10099,0.05644,0.07187
21,21,2009,Couple without children,No,0.93669,3294,10099,0.9062,0.96898
22,22,2009,Single parent,No,1.0,612,10099,0.94225,1.06463
23,23,2009,Couple with children,Yes,0.09117,307,10099,0.08141,0.1018
24,24,2009,Couple with children,No,0.90883,2686,10099,0.87401,0.94117
25,25,2009,Multi-generational household,No,1.0,62,10099,0.81072,1.27792
26,26,2009,Other Combinations,No,1.0,64,10099,0.77636,1.27916
27,27,2010,Single-person household,Yes,0.02231,73,13740,0.01834,0.02629
28,28,2010,Single-person household,No,0.97769,2609,13740,0.95161,1.00111
29,29,2010,Couple without children,Yes,0.07078,257,13740,0.06189,0.07936
30,30,2010,Couple without children,No,0.92922,3101,13740,0.89917,0.96143
31,31,2010,Single parent,Yes,0.0277,53,13740,0.0196,0.03979
32,32,2010,Single parent,No,0.9723,1790,13740,0.91211,1.02863
33,33,2010,Couple with children,Yes,0.1072,631,13740,0.09686,0.11791
34,34,2010,Couple with children,No,0.8928,5069,13740,0.85833,0.92634
35,35,2010,Multi-generational household,No,1.0,95,13740,0.75837,1.27618
36,36,2010,Other Combinations,No,1.0,62,13740,0.79172,1.26954
37,37,2011,Single-person household,Yes,0.03081,128,16557,0.02709,0.034
38,38,2011,Single-person household,No,0.96919,3398,16557,0.95019,0.99021
39,39,2011,Couple without children,Yes,0.0777,375,16557,0.06911,0.08477
40,40,2011,Couple without children,No,0.9223,3988,16557,0.90068,0.94712
41,41,2011,Single parent,Yes,0.03883,90,16557,0.02946,0.04955
42,42,2011,Single parent,No,0.96117,2214,16557,0.91781,1.00108
43,43,2011,Couple with children,Yes,0.12542,815,16557,0.11663,0.13744
44,44,2011,Couple with children,No,0.87458,5344,16557,0.84361,0.90082
45,45,2011,Multi-generational household,No,1.0,113,16557,0.80769,1.20355
46,46,2011,Other Combinations,No,1.0,92,16557,0.84226,1.22181
47,47,2012,Single-person household,Yes,0.03027,127,16280,0.02665,0.0333
48,48,2012,Single-person household,No,0.96973,3550,16280,0.94771,0.9942
49,49,2012,Couple without children,Yes,0.08718,429,16280,0.08023,0.09616
50,50,2012,Couple without children,No,0.91282,4016,16280,0.88946,0.93887
51,51,2012,Single parent,Yes,0.04345,100,16280,0.03453,0.05257
52,52,2012,Single parent,No,0.95655,2079,16280,0.91582,1.00318
53,53,2012,Couple with children,Yes,0.13835,851,16280,0.12677,0.15024
54,54,2012,Couple with children,No,0.86165,4922,16280,0.82754,0.89011
55,55,2012,Multi-generational household,No,1.0,112,16280,0.83986,1.18205
56,56,2012,Other Combinations,No,1.0,94,16280,0.82717,1.21978
57,57,2013,Single-person household,Yes,0.0364,142,17837,0.03228,0.04079
58,58,2013,Single-person household,No,0.9636,3700,17837,0.94202,0.98778
59,59,2013,Couple without children,Yes,0.09571,447,17837,0.08665,0.10488
60,60,2013,Couple without children,No,0.90429,4191,17837,0.88166,0.92863
61,61,2013,Single parent,Yes,0.04697,98,17837,0.03592,0.05917
62,62,2013,Single parent,No,0.95303,2145,17837,0.90152,1.00088
63,63,2013,Couple with children,Yes,0.14446,850,17837,0.13357,0.15645
64,64,2013,Couple with children,No,0.85554,5789,17837,0.82515,0.88976
