"hgeqpsol","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2007","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2007","2","Westdeutschland","213","","",""
"Ja","2007","2","Ostdeutschland","61","0.0486087475899369","0.0377150833970834","0.0595024117827904"
"Ja","2007","3","Westdeutschland","275","","",""
"Ja","2007","3","Ostdeutschland","50","0.0387734502299961","0.0286680344445389","0.0488788660154533"
"Ja","2007","4","Westdeutschland","352","0.059846186823787","0.0529288210035204","0.0667635526440536"
"Ja","2007","4","Ostdeutschland","36","0.0232293587856988","0.0138933124018506","0.0325654051695469"
"Ja","2007","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2007","2","Westdeutschland","3493","0.953328217453967","0.946537059971185","0.96011937493675"
"Nein","2007","2","Ostdeutschland","1436","","",""
"Nein","2007","3","Westdeutschland","3757","0.94464524599349","0.937586953303649","0.95170353868333"
"Nein","2007","3","Ostdeutschland","1352","","",""
"Nein","2007","4","Westdeutschland","4165","0.940153813176213","0.933236447355946","0.94707117899648"
"Nein","2007","4","Ostdeutschland","964","0.976770641214301","0.967434594830453","0.986106687598149"
"Nein","2007","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2007","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2008","2","Westdeutschland","218","","",""
"Ja","2008","2","Ostdeutschland","51","0.0414498959372803","0.030773444373239","0.0521263475013217"
"Ja","2008","3","Westdeutschland","285","","",""
"Ja","2008","3","Ostdeutschland","43","0.0366593228333418","0.0266973351059288","0.0466213105607548"
"Ja","2008","4","Westdeutschland","430","0.0811881699463883","0.0731363024104836","0.0892400374822929"
"Ja","2008","4","Ostdeutschland","35","0.0173472069963247","0.00950222224321883","0.0251921917494307"
"Ja","2008","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2008","2","Westdeutschland","3065","0.948122553423917","0.940536180556567","0.955708926291266"
"Nein","2008","2","Ostdeutschland","1288","","",""
"Nein","2008","3","Westdeutschland","3685","0.94269903513591","0.935469334137442","0.949928736134379"
"Nein","2008","3","Ostdeutschland","1324","","",""
"Nein","2008","4","Westdeutschland","3990","0.918811830053612","0.910759962517707","0.926863697589516"
"Nein","2008","4","Ostdeutschland","1029","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
