year,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Owner,Yes,0.06834,449,5418,0.06162,0.07506
2007,Owner,No,0.93166,4969,5418,0.92494,0.93838
2007,Tenant,Yes,0.01084,78,5673,0.00814,0.01353
2007,Tenant,No,0.98916,5595,5673,0.98647,0.99186
2008,Owner,Yes,0.07617,479,5310,0.06904,0.08331
2008,Owner,No,0.92383,4831,5310,0.91669,0.93096
2008,Tenant,Yes,0.01598,94,5382,0.01263,0.01933
2008,Tenant,No,0.98402,5288,5382,0.98067,0.98737
2009,Owner,Yes,0.09004,536,5039,0.08214,0.09794
2009,Owner,No,0.90996,4503,5039,0.90206,0.91786
2009,Tenant,Yes,0.01607,100,5089,0.01261,0.01952
2009,Tenant,No,0.98393,4989,5089,0.98048,0.98739
2010,Owner,Yes,0.09510,828,6313,0.08787,0.10234
2010,Owner,No,0.90490,5485,6313,0.89766,0.91213
2010,Tenant,Yes,0.02425,197,7438,0.02075,0.02774
2010,Tenant,No,0.97575,7241,7438,0.97226,0.97925
2011,Owner,Yes,0.11506,1158,7708,0.10794,0.12219
2011,Owner,No,0.88494,6550,7708,0.87781,0.89206
2011,Tenant,Yes,0.02686,265,8864,0.02349,0.03022
2011,Tenant,No,0.97314,8599,8864,0.96978,0.97651
2012,Owner,Yes,0.12379,1228,7591,0.11638,0.13120
2012,Owner,No,0.87621,6363,7591,0.86880,0.88362
2012,Tenant,Yes,0.03042,290,8700,0.02681,0.03403
2012,Tenant,No,0.96958,8410,8700,0.96597,0.97319
2013,Owner,Yes,0.13097,1248,7707,0.12343,0.13850
2013,Owner,No,0.86903,6459,7707,0.86150,0.87657
2013,Tenant,Yes,0.03547,315,10156,0.03187,0.03907
2013,Tenant,No,0.96453,9841,10156,0.96093,0.96813
2014,Owner,Yes,0.13917,1200,7049,0.13109,0.14725
2014,Owner,No,0.86083,5849,7049,0.85275,0.86891
2014,Tenant,Yes,0.04274,341,8767,0.03851,0.04698
2014,Tenant,No,0.95726,8426,8767,0.95302,0.96149
2015,Owner,Yes,0.14628,1204,6735,0.13784,0.15472
2015,Owner,No,0.85372,5531,6735,0.84528,0.86216
2015,Tenant,Yes,0.04318,364,9010,0.03898,0.04737
2015,Tenant,No,0.95682,8646,9010,0.95263,0.96102
2016,Owner,Yes,0.14821,1131,6300,0.13944,0.15699
2016,Owner,No,0.85179,5169,6300,0.84301,0.86056
2016,Tenant,Yes,0.03719,292,7986,0.03304,0.04134
2016,Tenant,No,0.96281,7694,7986,0.95866,0.96696
2017,Owner,Yes,0.15690,1350,7058,0.14842,0.16539
2017,Owner,No,0.84310,5708,7058,0.83461,0.85158
2017,Tenant,Yes,0.04012,334,8596,0.03597,0.04427
2017,Tenant,No,0.95988,8262,8596,0.95573,0.96403
2018,Owner,Yes,0.15745,1298,6747,0.14875,0.16614
2018,Owner,No,0.84255,5449,6747,0.83386,0.85125
2018,Tenant,Yes,0.04110,340,8677,0.03692,0.04528
2018,Tenant,No,0.95890,8337,8677,0.95472,0.96308
2019,Owner,Yes,0.16012,1153,5934,0.15079,0.16945
2019,Owner,No,0.83988,4781,5934,0.83055,0.84921
2019,Tenant,Yes,0.04293,270,6673,0.03806,0.04779
2019,Tenant,No,0.95707,6403,6673,0.95221,0.96194
2020,Owner,Yes,0.17953,1521,6945,0.17051,0.18856
2020,Owner,No,0.82047,5424,6945,0.81144,0.82949
2020,Tenant,Yes,0.04641,418,9303,0.04214,0.05069
2020,Tenant,No,0.95359,8885,9303,0.94931,0.95786
2021,Owner,Yes,0.17524,1016,4647,0.16430,0.18617
2021,Owner,No,0.82476,3631,4647,0.81383,0.83570
2021,Tenant,Yes,0.04496,249,5294,0.03938,0.05055
2021,Tenant,No,0.95504,5045,5294,0.94945,0.96062
2022,Owner,Yes,0.22716,2241,7836,0.21788,0.23644
2022,Owner,No,0.77284,5595,7836,0.76356,0.78212
2022,Tenant,Yes,0.06029,721,11360,0.05591,0.06467
2022,Tenant,No,0.93971,10639,11360,0.93533,0.94409
