year,regtyp,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Owner,Yes,0.06133,255,3352,0.05320,0.06945
2007,Urban regions,Owner,No,0.93867,3097,3352,0.93055,0.94680
2007,Urban regions,Tenant,Yes,0.00836,47,4025,0.00555,0.01117
2007,Urban regions,Tenant,No,0.99164,3978,4025,0.98883,0.99445
2007,Rural regions,Owner,Yes,0.08034,194,2066,0.06862,0.09206
2007,Rural regions,Owner,No,0.91966,1872,2066,0.90794,0.93138
2007,Rural regions,Tenant,Yes,0.01752,31,1648,0.01118,0.02385
2007,Rural regions,Tenant,No,0.98248,1617,1648,0.97615,0.98882
2008,Urban regions,Owner,Yes,0.07485,289,3263,0.06582,0.08388
2008,Urban regions,Owner,No,0.92515,2974,3263,0.91612,0.93418
2008,Urban regions,Tenant,Yes,0.01350,58,3837,0.00985,0.01715
2008,Urban regions,Tenant,No,0.98650,3779,3837,0.98285,0.99015
2008,Rural regions,Owner,Yes,0.07841,190,2047,0.06676,0.09005
2008,Rural regions,Owner,No,0.92159,1857,2047,0.90995,0.93324
2008,Rural regions,Tenant,Yes,0.02284,36,1545,0.01539,0.03029
2008,Rural regions,Tenant,No,0.97716,1509,1545,0.96971,0.98461
2009,Urban regions,Owner,Yes,0.08318,312,3084,0.07343,0.09293
2009,Urban regions,Owner,No,0.91682,2772,3084,0.90707,0.92657
2009,Urban regions,Tenant,Yes,0.01324,60,3582,0.00950,0.01698
2009,Urban regions,Tenant,No,0.98676,3522,3582,0.98302,0.99050
2009,Rural regions,Owner,Yes,0.10178,224,1955,0.08838,0.11519
2009,Rural regions,Owner,No,0.89822,1731,1955,0.88481,0.91162
2009,Rural regions,Tenant,Yes,0.02371,40,1507,0.01602,0.03139
2009,Rural regions,Tenant,No,0.97629,1467,1507,0.96861,0.98398
2010,Urban regions,Owner,Yes,0.08942,455,3818,0.08036,0.09847
2010,Urban regions,Owner,No,0.91058,3363,3818,0.90153,0.91964
2010,Urban regions,Tenant,Yes,0.01920,115,5230,0.01548,0.02292
2010,Urban regions,Tenant,No,0.98080,5115,5230,0.97708,0.98452
2010,Rural regions,Owner,Yes,0.10510,373,2495,0.09306,0.11714
2010,Rural regions,Owner,No,0.89490,2122,2495,0.88286,0.90694
2010,Rural regions,Tenant,Yes,0.03801,82,2208,0.03003,0.04598
2010,Rural regions,Tenant,No,0.96199,2126,2208,0.95402,0.96997
2011,Urban regions,Owner,Yes,0.10429,638,4612,0.09547,0.11311
2011,Urban regions,Owner,No,0.89571,3974,4612,0.88689,0.90453
2011,Urban regions,Tenant,Yes,0.02301,153,6125,0.01926,0.02677
2011,Urban regions,Tenant,No,0.97699,5972,6125,0.97323,0.98074
2011,Rural regions,Owner,Yes,0.13374,520,3096,0.12175,0.14573
2011,Rural regions,Owner,No,0.86626,2576,3096,0.85427,0.87825
2011,Rural regions,Tenant,Yes,0.03704,112,2739,0.02997,0.04412
2011,Rural regions,Tenant,No,0.96296,2627,2739,0.95588,0.97003
2012,Urban regions,Owner,Yes,0.11316,677,4510,0.10392,0.12241
2012,Urban regions,Owner,No,0.88684,3833,4510,0.87759,0.89608
2012,Urban regions,Tenant,Yes,0.02549,165,5929,0.02148,0.02950
2012,Urban regions,Tenant,No,0.97451,5764,5929,0.97050,0.97852
2012,Rural regions,Owner,Yes,0.14234,551,3081,0.13000,0.15468
2012,Rural regions,Owner,No,0.85766,2530,3081,0.84532,0.87000
2012,Rural regions,Tenant,Yes,0.04297,125,2771,0.03541,0.05052
2012,Rural regions,Tenant,No,0.95703,2646,2771,0.94948,0.96459
2013,Urban regions,Owner,Yes,0.11481,683,4680,0.10568,0.12395
2013,Urban regions,Owner,No,0.88519,3997,4680,0.87605,0.89432
2013,Urban regions,Tenant,Yes,0.03285,192,7166,0.02873,0.03698
2013,Urban regions,Tenant,No,0.96715,6974,7166,0.96302,0.97127
2013,Rural regions,Owner,Yes,0.15886,565,3027,0.14584,0.17189
2013,Rural regions,Owner,No,0.84114,2462,3027,0.82811,0.85416
2013,Rural regions,Tenant,Yes,0.04211,123,2990,0.03491,0.04931
2013,Rural regions,Tenant,No,0.95789,2867,2990,0.95069,0.96509
2014,Urban regions,Owner,Yes,0.12514,663,4272,0.11522,0.13507
2014,Urban regions,Owner,No,0.87486,3609,4272,0.86493,0.88478
2014,Urban regions,Tenant,Yes,0.03957,200,6120,0.03468,0.04445
2014,Urban regions,Tenant,No,0.96043,5920,6120,0.95555,0.96532
2014,Rural regions,Owner,Yes,0.16428,537,2777,0.15050,0.17807
2014,Rural regions,Owner,No,0.83572,2240,2777,0.82193,0.84950
2014,Rural regions,Tenant,Yes,0.05059,141,2647,0.04224,0.05894
2014,Rural regions,Tenant,No,0.94941,2506,2647,0.94106,0.95776
2015,Urban regions,Owner,Yes,0.12877,646,4047,0.11844,0.13909
2015,Urban regions,Owner,No,0.87123,3401,4047,0.86091,0.88156
2015,Urban regions,Tenant,Yes,0.03642,213,6323,0.03180,0.04104
2015,Urban regions,Tenant,No,0.96358,6110,6323,0.95896,0.96820
2015,Rural regions,Owner,Yes,0.17788,558,2688,0.16342,0.19234
2015,Rural regions,Owner,No,0.82212,2130,2688,0.80766,0.83658
2015,Rural regions,Tenant,Yes,0.05990,151,2687,0.05093,0.06888
2015,Rural regions,Tenant,No,0.94010,2536,2687,0.93112,0.94907
2016,Urban regions,Owner,Yes,0.13104,612,3769,0.12027,0.14182
2016,Urban regions,Owner,No,0.86896,3157,3769,0.85818,0.87973
2016,Urban regions,Tenant,Yes,0.03095,176,5597,0.02641,0.03549
2016,Urban regions,Tenant,No,0.96905,5421,5597,0.96451,0.97359
2016,Rural regions,Owner,Yes,0.17879,519,2531,0.16386,0.19372
2016,Rural regions,Owner,No,0.82121,2012,2531,0.80628,0.83614
2016,Rural regions,Tenant,Yes,0.05335,116,2389,0.04434,0.06237
2016,Rural regions,Tenant,No,0.94665,2273,2389,0.93763,0.95566
2017,Urban regions,Owner,Yes,0.13584,734,4256,0.12555,0.14614
2017,Urban regions,Owner,No,0.86416,3522,4256,0.85386,0.87445
2017,Urban regions,Tenant,Yes,0.03440,203,5974,0.02978,0.03902
2017,Urban regions,Tenant,No,0.96560,5771,5974,0.96098,0.97022
2017,Rural regions,Owner,Yes,0.19669,616,2802,0.18197,0.21141
2017,Rural regions,Owner,No,0.80331,2186,2802,0.78859,0.81803
2017,Rural regions,Tenant,Yes,0.05517,131,2622,0.04643,0.06391
2017,Rural regions,Tenant,No,0.94483,2491,2622,0.93609,0.95357
2018,Urban regions,Owner,Yes,0.13891,706,4074,0.12829,0.14953
2018,Urban regions,Owner,No,0.86109,3368,4074,0.85047,0.87171
2018,Urban regions,Tenant,Yes,0.03597,201,6086,0.03129,0.04065
2018,Urban regions,Tenant,No,0.96403,5885,6086,0.95935,0.96871
2018,Rural regions,Owner,Yes,0.19255,592,2673,0.17760,0.20750
2018,Rural regions,Owner,No,0.80745,2081,2673,0.79250,0.82240
2018,Rural regions,Tenant,Yes,0.05443,139,2591,0.04569,0.06317
2018,Rural regions,Tenant,No,0.94557,2452,2591,0.93683,0.95431
2019,Urban regions,Owner,Yes,0.14219,619,3552,0.13070,0.15368
2019,Urban regions,Owner,No,0.85781,2933,3552,0.84632,0.86930
2019,Urban regions,Tenant,Yes,0.03581,158,4683,0.03049,0.04114
2019,Urban regions,Tenant,No,0.96419,4525,4683,0.95886,0.96951
2019,Rural regions,Owner,Yes,0.19354,534,2382,0.17767,0.20941
2019,Rural regions,Owner,No,0.80646,1848,2382,0.79059,0.82233
2019,Rural regions,Tenant,Yes,0.06141,112,1990,0.05086,0.07197
2019,Rural regions,Tenant,No,0.93859,1878,1990,0.92803,0.94914
2020,Urban regions,Owner,Yes,0.15980,853,4270,0.14881,0.17079
2020,Urban regions,Owner,No,0.84020,3417,4270,0.82921,0.85119
2020,Urban regions,Tenant,Yes,0.03960,249,6702,0.03493,0.04427
2020,Urban regions,Tenant,No,0.96040,6453,6702,0.95573,0.96507
2020,Rural regions,Owner,Yes,0.21640,668,2675,0.20079,0.23200
2020,Rural regions,Owner,No,0.78360,2007,2675,0.76800,0.79921
