year,hhtyp,quintil_oecd_hh,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,1st Quintile,No,0.99410,806,806,0.98881,0.99939
2007,Single-person household,2nd Quintile,No,0.99753,573,573,0.99346,1.00160
2007,Single-person household,3rd Quintile,No,0.98412,533,533,0.97350,0.99474
2007,Single-person household,4th Quintile,No,0.99374,538,538,0.98708,1.00041
2007,Single-person household,5th Quintile,No,0.97929,524,524,0.96709,0.99150
2007,Couple without children,1st Quintile,No,0.98624,368,368,0.97432,0.99816
2007,Couple without children,2nd Quintile,No,0.97680,608,608,0.96482,0.98877
2007,Couple without children,3rd Quintile,No,0.96907,677,677,0.95602,0.98212
2007,Couple without children,4th Quintile,Yes,0.04697,39,794,0.03224,0.06169
2007,Couple without children,4th Quintile,No,0.95303,755,794,0.93831,0.96776
2007,Couple without children,5th Quintile,Yes,0.05996,97,1273,0.04691,0.07301
2007,Couple without children,5th Quintile,No,0.94004,1176,1273,0.92699,0.95309
2007,Single parent,1st Quintile,No,0.98463,287,287,0.97038,0.99889
2007,Single parent,2nd Quintile,No,0.99469,133,133,0.98229,1.00709
2007,Single parent,3rd Quintile,No,0.97572,122,122,0.94830,1.00315
2007,Single parent,4th Quintile,No,0.94149,72,72,0.88689,0.99608
2007,Single parent,5th Quintile,No,0.95515,63,63,0.90363,1.00667
2007,Couple with children,1st Quintile,No,0.98427,392,392,0.97194,0.99661
2007,Couple with children,2nd Quintile,Yes,0.05288,37,672,0.03595,0.06982
2007,Couple with children,2nd Quintile,No,0.94712,635,672,0.93018,0.96405
2007,Couple with children,3rd Quintile,Yes,0.08442,71,751,0.06452,0.10432
2007,Couple with children,3rd Quintile,No,0.91558,680,751,0.89568,0.93548
2007,Couple with children,4th Quintile,Yes,0.09865,75,796,0.07792,0.11938
2007,Couple with children,4th Quintile,No,0.90135,721,796,0.88062,0.92208
2007,Couple with children,5th Quintile,Yes,0.09674,86,817,0.07646,0.11703
2007,Couple with children,5th Quintile,No,0.90326,731,817,0.88297,0.92354
2008,Single-person household,1st Quintile,No,0.99006,763,763,0.98301,0.99710
2008,Single-person household,2nd Quintile,No,0.99451,567,567,0.98842,1.00060
2008,Single-person household,3rd Quintile,No,0.98632,544,544,0.97655,0.99609
2008,Single-person household,4th Quintile,No,0.98228,509,509,0.97080,0.99375
2008,Single-person household,5th Quintile,No,0.96219,515,515,0.94570,0.97868
2008,Couple without children,1st Quintile,No,0.98494,393,393,0.97288,0.99700
2008,Couple without children,2nd Quintile,No,0.97238,571,571,0.95893,0.98583
2008,Couple without children,3rd Quintile,No,0.95331,687,687,0.93752,0.96910
