,Unnamed: 0,year,regtyp,hgeqpsol,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Urban regions,Yes,0.02892,302,11091,0.02616,0.03199
1,1,2007,Urban regions,No,0.97108,7054,11091,0.95253,0.9895
2,2,2007,Rural regions,Yes,0.04854,225,11091,0.04351,0.054
3,3,2007,Rural regions,No,0.95146,3510,11091,0.92929,0.97713
4,4,2008,Urban regions,Yes,0.03771,343,10692,0.03453,0.04165
5,5,2008,Urban regions,No,0.96229,6739,10692,0.94545,0.9814
6,6,2008,Rural regions,Yes,0.05177,230,10692,0.04648,0.0574
7,7,2008,Rural regions,No,0.94823,3380,10692,0.92052,0.97024
8,8,2009,Urban regions,Yes,0.04167,368,10128,0.03725,0.04601
9,9,2009,Urban regions,No,0.95833,6282,10128,0.93668,0.98035
10,10,2009,Rural regions,Yes,0.06489,268,10128,0.05751,0.07283
11,11,2009,Rural regions,No,0.93511,3210,10128,0.90838,0.96436
12,12,2010,Urban regions,Yes,0.04867,563,13751,0.04429,0.05418
13,13,2010,Urban regions,No,0.95133,8462,13751,0.92591,0.97681
14,14,2010,Rural regions,Yes,0.07435,462,13751,0.06697,0.08444
15,15,2010,Rural regions,No,0.92565,4264,13751,0.89145,0.95481
16,16,2011,Urban regions,Yes,0.05727,784,16572,0.05241,0.06172
17,17,2011,Urban regions,No,0.94273,9929,16572,0.92398,0.96091
18,18,2011,Rural regions,Yes,0.0886,639,16572,0.0806,0.09599
19,19,2011,Rural regions,No,0.9114,5220,16572,0.8865,0.93866
20,20,2012,Urban regions,Yes,0.06257,835,16291,0.05775,0.06715
21,21,2012,Urban regions,No,0.93743,9585,16291,0.9206,0.9557
22,22,2012,Rural regions,Yes,0.09512,683,16291,0.08648,0.10369
23,23,2012,Rural regions,No,0.90488,5188,16291,0.88159,0.92522
24,24,2013,Urban regions,Yes,0.06683,870,17863,0.06183,0.07135
25,25,2013,Urban regions,No,0.93317,10956,17863,0.91648,0.95138
26,26,2013,Rural regions,Yes,0.10329,693,17863,0.09416,0.11162
27,27,2013,Rural regions,No,0.89671,5344,17863,0.86727,0.91765
28,28,2014,Urban regions,Yes,0.07512,858,15816,0.07018,0.0821
29,29,2014,Urban regions,No,0.92488,9519,15816,0.90815,0.94415
30,30,2014,Rural regions,Yes,0.10907,683,15816,0.09959,0.11759
31,31,2014,Rural regions,No,0.89093,4756,15816,0.86703,0.91631
32,32,2015,Urban regions,Yes,0.07534,856,15745,0.06896,0.08169
33,33,2015,Urban regions,No,0.92466,9500,15745,0.90794,0.94467
34,34,2015,Rural regions,Yes,0.12062,712,15745,0.11318,0.13188
35,35,2015,Rural regions,No,0.87938,4677,15745,0.84976,0.90474
36,36,2016,Urban regions,Yes,0.07361,786,14287,0.06776,0.07922
37,37,2016,Urban regions,No,0.92639,8569,14287,0.90623,0.9473
38,38,2016,Rural regions,Yes,0.11901,637,14287,0.10943,0.12997
39,39,2016,Rural regions,No,0.88099,4295,14287,0.85056,0.91084
40,40,2017,Urban regions,Yes,0.07836,933,15654,0.07237,0.08456
41,41,2017,Urban regions,No,0.92164,9278,15654,0.89866,0.94341
42,42,2017,Rural regions,Yes,0.129,751,15654,0.11975,0.1397
43,43,2017,Rural regions,No,0.871,4692,15654,0.83916,0.89457
44,44,2018,Urban regions,Yes,0.08091,903,15424,0.07571,0.08569
45,45,2018,Urban regions,No,0.91909,9241,15424,0.90045,0.93721
46,46,2018,Rural regions,Yes,0.12666,735,15424,0.11707,0.13739
47,47,2018,Rural regions,No,0.87334,4545,15424,0.8415,0.90334
48,48,2019,Urban regions,Yes,0.08428,774,12607,0.07843,0.09149
49,49,2019,Urban regions,No,0.91572,7448,12607,0.89415,0.9368
50,50,2019,Rural regions,Yes,0.13324,649,12607,0.12244,0.1484
51,51,2019,Rural regions,No,0.86676,3736,12607,0.83276,0.89862
52,52,2020,Urban regions,Yes,0.09203,1097,16248,0.086,0.09813
53,53,2020,Urban regions,No,0.90797,9853,16248,0.88619,0.93243
54,54,2020,Rural regions,Yes,0.14387,842,16248,0.13203,0.15601
55,55,2020,Rural regions,No,0.85613,4456,16248,0.82628,0.88247
56,56,2021,Urban regions,Yes,0.09187,717,9945,0.084,0.09936
57,57,2021,Urban regions,No,0.90813,5892,9945,0.8807,0.93692
58,58,2021,Rural regions,Yes,0.14333,548,9945,0.1316,0.15785
59,59,2021,Rural regions,No,0.85667,2788,9945,0.81793,0.89366
