year,rentown,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Owner,West,Yes,0.06543,371,4320,0.05806,0.07281
2007,Owner,West,No,0.88122,3949,4320,0.87158,0.89087
2007,Owner,East,Yes,0.05974,78,1098,0.04571,0.07376
2007,Owner,East,No,0.87766,1020,1098,0.85827,0.89705
2007,Tenant,West,Yes,0.01028,63,4096,0.00719,0.01337
2007,Tenant,West,No,0.95196,4033,4096,0.94541,0.95851
2007,Tenant,East,No,0.94406,1562,1562,0.93266,0.95546
2008,Owner,West,Yes,0.07733,408,4218,0.06926,0.08539
2008,Owner,West,No,0.90063,3810,4218,0.89160,0.90966
2008,Owner,East,Yes,0.05805,71,1092,0.04417,0.07193
2008,Owner,East,No,0.92364,1021,1092,0.90789,0.93940
2008,Tenant,West,Yes,0.01767,77,3848,0.01351,0.02183
2008,Tenant,West,No,0.96612,3771,3848,0.96041,0.97184
2008,Tenant,East,No,0.97912,1517,1517,0.97193,0.98632
2009,Owner,West,Yes,0.09126,453,3957,0.08229,0.10024
2009,Owner,West,No,0.89748,3504,3957,0.88802,0.90693
2009,Owner,East,Yes,0.07701,83,1082,0.06111,0.09290
2009,Owner,East,No,0.92033,999,1082,0.90418,0.93647
2009,Tenant,West,Yes,0.01826,83,3625,0.01390,0.02261
2009,Tenant,West,No,0.97383,3542,3625,0.96863,0.97902
2009,Tenant,East,No,0.98445,1447,1447,0.97808,0.99083
2010,Owner,West,Yes,0.09711,727,5075,0.08896,0.10526
2010,Owner,West,No,0.89803,4348,5075,0.88970,0.90636
2010,Owner,East,Yes,0.07999,101,1238,0.06487,0.09511
2010,Owner,East,No,0.91373,1137,1238,0.89808,0.92937
2010,Tenant,West,Yes,0.02660,161,5522,0.02236,0.03085
2010,Tenant,West,No,0.96405,5361,5522,0.95914,0.96896
2010,Tenant,East,Yes,0.01482,36,1916,0.00940,0.02023
2010,Tenant,East,No,0.98219,1880,1916,0.97627,0.98812
2011,Owner,West,Yes,0.11801,1028,6296,0.11004,0.12598
2011,Owner,West,No,0.88002,5268,6296,0.87200,0.88805
2011,Owner,East,Yes,0.09559,130,1412,0.08025,0.11093
2011,Owner,East,No,0.90404,1282,1412,0.88867,0.91940
2011,Tenant,West,Yes,0.02889,214,6536,0.02483,0.03295
2011,Tenant,West,No,0.96780,6322,6536,0.96352,0.97208
2011,Tenant,East,Yes,0.01922,51,2328,0.01364,0.02479
2011,Tenant,East,No,0.97857,2277,2328,0.97269,0.98446
2012,Owner,West,Yes,0.12618,1079,6212,0.11793,0.13444
2012,Owner,West,No,0.87196,5133,6212,0.86365,0.88027
2012,Owner,East,Yes,0.10746,149,1379,0.09111,0.12381
2012,Owner,East,No,0.89254,1230,1379,0.87619,0.90889
2012,Tenant,West,Yes,0.03084,224,6367,0.02659,0.03509
2012,Tenant,West,No,0.96635,6143,6367,0.96192,0.97078
2012,Tenant,East,Yes,0.02862,66,2333,0.02186,0.03539
2012,Tenant,East,No,0.97138,2267,2333,0.96461,0.97814
2013,Owner,West,Yes,0.13427,1097,6370,0.12589,0.14264
2013,Owner,West,No,0.86566,5273,6370,0.85729,0.87404
2013,Owner,East,Yes,0.11132,151,1337,0.09446,0.12819
2013,Owner,East,No,0.88868,1186,1337,0.87181,0.90554
2013,Tenant,West,Yes,0.03719,257,7838,0.03300,0.04138
2013,Tenant,West,No,0.96224,7581,7838,0.95802,0.96646
2013,Tenant,East,Yes,0.02898,58,2318,0.02215,0.03581
2013,Tenant,East,No,0.97036,2260,2318,0.96345,0.97726
2014,Owner,West,Yes,0.14094,1045,5817,0.13199,0.14988
2014,Owner,West,No,0.85819,4772,5817,0.84923,0.86716
2014,Owner,East,Yes,0.12715,155,1232,0.10854,0.14576
2014,Owner,East,No,0.87114,1077,1232,0.85243,0.88986
2014,Tenant,West,Yes,0.04522,275,6621,0.04022,0.05023
2014,Tenant,West,No,0.95260,6346,6621,0.94748,0.95772
2014,Tenant,East,Yes,0.03347,66,2146,0.02586,0.04108
2014,Tenant,East,No,0.96536,2080,2146,0.95762,0.97310
2015,Owner,West,Yes,0.14706,1045,5543,0.13774,0.15639
2015,Owner,West,No,0.85284,4498,5543,0.84351,0.86217
2015,Owner,East,Yes,0.14095,159,1192,0.12119,0.16071
2015,Owner,East,No,0.85624,1033,1192,0.83632,0.87617
2015,Tenant,West,Yes,0.04344,289,6926,0.03864,0.04824
2015,Tenant,West,No,0.95290,6637,6926,0.94791,0.95789
2015,Tenant,East,Yes,0.04158,75,2084,0.03300,0.05015
2015,Tenant,East,No,0.95619,2009,2084,0.94740,0.96498
2016,Owner,West,Yes,0.14823,972,5144,0.13852,0.15794
2016,Owner,West,No,0.85163,4172,5144,0.84191,0.86134
2016,Owner,East,Yes,0.14796,159,1156,0.12749,0.16844
2016,Owner,East,No,0.85204,997,1156,0.83156,0.87251
2016,Tenant,West,Yes,0.03727,233,6074,0.03250,0.04203
2016,Tenant,West,No,0.95957,5841,6074,0.95462,0.96452
2016,Tenant,East,Yes,0.03628,59,1912,0.02790,0.04467
2016,Tenant,East,No,0.95890,1853,1912,0.95000,0.96780
2017,Owner,West,Yes,0.15717,1159,5746,0.14776,0.16658
2017,Owner,West,No,0.84209,4587,5746,0.83266,0.85152
2017,Owner,East,Yes,0.15373,191,1312,0.13420,0.17325
2017,Owner,East,No,0.84111,1121,1312,0.82132,0.86090
2017,Tenant,West,Yes,0.04019,272,6498,0.03541,0.04496
2017,Tenant,West,No,0.94841,6226,6498,0.94303,0.95379
2017,Tenant,East,Yes,0.03766,62,2098,0.02951,0.04581
2017,Tenant,East,No,0.95014,2036,2098,0.94082,0.95945
2018,Owner,West,Yes,0.15646,1107,5495,0.14685,0.16607
2018,Owner,West,No,0.84220,4388,5495,0.83256,0.85184
2018,Owner,East,Yes,0.16210,191,1252,0.14168,0.18253
2018,Owner,East,No,0.83704,1061,1252,0.81658,0.85751
2018,Tenant,West,Yes,0.04365,270,6506,0.03869,0.04862
2018,Tenant,West,No,0.93896,6236,6506,0.93314,0.94477
2018,Tenant,East,Yes,0.02809,70,2171,0.02114,0.03504
2018,Tenant,East,No,0.95619,2101,2171,0.94758,0.96480
2019,Owner,West,Yes,0.15044,981,4817,0.14035,0.16054
2019,Owner,West,No,0.78996,3836,4817,0.77846,0.80146
2019,Owner,East,Yes,0.14928,172,1117,0.12837,0.17019
2019,Owner,East,No,0.77809,945,1117,0.75371,0.80247
2019,Tenant,West,Yes,0.03914,216,4946,0.03373,0.04454
2019,Tenant,West,No,0.80293,4730,4946,0.79185,0.81402
2019,Tenant,East,Yes,0.02621,54,1727,0.01868,0.03375
2019,Tenant,East,No,0.85381,1673,1727,0.83714,0.87047
2020,Owner,West,Yes,0.18088,1272,5592,0.17079,0.19097
2020,Owner,West,No,0.81724,4320,5592,0.80711,0.82737
2020,Owner,East,Yes,0.16928,249,1353,0.14929,0.18927
2020,Owner,East,No,0.82945,1104,1353,0.80940,0.84950
2020,Tenant,West,Yes,0.04989,349,7231,0.04487,0.05490
2020,Tenant,West,No,0.92528,6882,7231,0.91922,0.93135
2020,Tenant,East,Yes,0.02800,69,2072,0.02089,0.03511
2020,Tenant,East,No,0.95585,2003,2072,0.94700,0.96470
2021,Owner,West,Yes,0.15904,858,3777,0.14737,0.17070
2021,Owner,West,No,0.75877,2919,3777,0.74512,0.77242
2021,Owner,East,Yes,0.17234,158,870,0.14723,0.19745
2021,Owner,East,No,0.74841,712,870,0.71956,0.77726
2021,Tenant,West,Yes,0.04235,206,3991,0.03610,0.04860
2021,Tenant,West,No,0.81286,3785,3991,0.80075,0.82496
2021,Tenant,East,Yes,0.02375,43,1303,0.01548,0.03202
2021,Tenant,East,No,0.84603,1260,1303,0.82642,0.86563
2022,Owner,West,Yes,0.23244,1865,6291,0.22200,0.24287
2022,Owner,West,No,0.76661,4426,6291,0.75615,0.77706
2022,Owner,East,Yes,0.19221,376,1545,0.17256,0.21186
2022,Owner,East,No,0.80512,1169,1545,0.78537,0.82488
2022,Tenant,West,Yes,0.06332,582,8705,0.05821,0.06844
2022,Tenant,West,No,0.91416,8123,8705,0.90827,0.92004
2022,Tenant,East,Yes,0.04209,139,2655,0.03445,0.04973
2022,Tenant,East,No,0.94330,2516,2655,0.93450,0.95210
