year,hhtyp,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Single-person household,Owner,No,0.98424,850,850,0.97587,0.99262
2007,Single-person household,Tenant,No,0.99261,2127,2127,0.98897,0.99625
2007,Couple without children,Owner,Yes,0.06438,158,2106,0.05389,0.07486
2007,Couple without children,Owner,No,0.93562,1948,2106,0.92514,0.94611
2007,Couple without children,Tenant,No,0.98928,1636,1636,0.98429,0.99427
2007,Single parent,Owner,No,0.95228,194,194,0.92220,0.98235
2007,Single parent,Tenant,No,0.98763,483,483,0.97776,0.99750
2007,Couple with children,Owner,Yes,0.11587,247,2122,0.10225,0.12949
2007,Couple with children,Owner,No,0.88413,1875,2122,0.87051,0.89775
2007,Couple with children,Tenant,Yes,0.02005,33,1317,0.01248,0.02763
2007,Couple with children,Tenant,No,0.97995,1284,1317,0.97237,0.98752
2007,Multi-generational household,Owner,No,0.90632,58,58,0.83068,0.98197
2007,Other Combinations,Owner,No,0.84741,44,44,0.73993,0.95489
2008,Single-person household,Owner,No,0.97777,867,867,0.96796,0.98759
2008,Single-person household,Tenant,No,0.98650,2033,2033,0.98149,0.99152
2008,Couple without children,Owner,Yes,0.07615,174,2087,0.06476,0.08753
2008,Couple without children,Owner,No,0.92385,1913,2087,0.91247,0.93524
2008,Couple without children,Tenant,No,0.97899,1581,1581,0.97192,0.98606
2008,Single parent,Owner,No,0.97246,188,188,0.94901,0.99592
2008,Single parent,Tenant,No,0.98709,467,467,0.97684,0.99734
2008,Couple with children,Owner,Yes,0.12533,260,2037,0.11095,0.13972
2008,Couple with children,Owner,No,0.87467,1777,2037,0.86028,0.88905
2008,Couple with children,Tenant,No,0.98180,1153,1153,0.97408,0.98952
2008,Multi-generational household,Owner,No,0.90511,49,49,0.82220,0.98802
2008,Other Combinations,Owner,No,0.84253,37,37,0.72354,0.96151
2009,Single-person household,Owner,Yes,0.02888,38,865,0.01772,0.04005
2009,Single-person household,Owner,No,0.97112,827,865,0.95995,0.98228
2009,Single-person household,Tenant,No,0.98822,1947,1947,0.98342,0.99301
2009,Couple without children,Owner,Yes,0.09700,199,1993,0.08400,0.11000
2009,Couple without children,Owner,No,0.90300,1794,1993,0.89000,0.91600
2009,Couple without children,Tenant,Yes,0.02302,40,1540,0.01553,0.03052
2009,Couple without children,Tenant,No,0.97698,1500,1540,0.96948,0.98447
2009,Single parent,Owner,No,0.93419,180,180,0.89786,0.97051
2009,Single parent,Tenant,No,0.98948,432,432,0.97985,0.99911
2009,Couple with children,Owner,Yes,0.13743,279,1905,0.12197,0.15290
2009,Couple with children,Owner,No,0.86257,1626,1905,0.84710,0.87803
2009,Couple with children,Tenant,No,0.97953,1060,1060,0.97100,0.98806
2009,Multi-generational household,Owner,No,0.96080,42,42,0.90140,1.02021
2009,Other Combinations,Owner,No,0.84850,34,34,0.72618,0.97083
2010,Single-person household,Owner,Yes,0.03049,38,855,0.01896,0.04203
2010,Single-person household,Owner,No,0.96951,817,855,0.95797,0.98104
2010,Single-person household,Tenant,Yes,0.01847,35,1827,0.01229,0.02464
2010,Single-person household,Tenant,No,0.98153,1792,1827,0.97536,0.98771
2010,Couple without children,Owner,Yes,0.09926,207,1911,0.08585,0.11267
2010,Couple without children,Owner,No,0.90074,1704,1911,0.88733,0.91415
2010,Couple without children,Tenant,Yes,0.03463,50,1447,0.02521,0.04406
2010,Couple without children,Tenant,No,0.96537,1397,1447,0.95594,0.97479
2010,Single parent,Owner,Yes,0.07631,31,406,0.05046,0.10217
2010,Single parent,Owner,No,0.92369,375,406,0.89783,0.94954
2010,Single parent,Tenant,No,0.98866,1415,1415,0.98314,0.99418
2010,Couple with children,Owner,Yes,0.15306,541,3040,0.14026,0.16586
2010,Couple with children,Owner,No,0.84694,2499,3040,0.83414,0.85974
2010,Couple with children,Tenant,Yes,0.03419,90,2660,0.02728,0.04109
2010,Couple with children,Tenant,No,0.96581,2570,2660,0.95891,0.97272
2010,Multi-generational household,Owner,No,0.94208,58,58,0.88144,1.00272
2010,Other Combinations,Owner,No,0.93044,32,32,0.84089,1.02000
2011,Single-person household,Owner,Yes,0.05024,65,1078,0.03720,0.06329
2011,Single-person household,Owner,No,0.94976,1013,1078,0.93671,0.96280
2011,Single-person household,Tenant,Yes,0.02202,63,2448,0.01620,0.02783
2011,Single-person household,Tenant,No,0.97798,2385,2448,0.97217,0.98380
2011,Couple without children,Owner,Yes,0.11078,311,2509,0.09849,0.12306
2011,Couple without children,Owner,No,0.88922,2198,2509,0.87694,0.90151
2011,Couple without children,Tenant,Yes,0.03433,64,1854,0.02604,0.04262
2011,Couple without children,Tenant,No,0.96567,1790,1854,0.95738,0.97396
2011,Single parent,Owner,Yes,0.09969,52,512,0.07372,0.12567
2011,Single parent,Owner,No,0.90031,460,512,0.87433,0.92628
2011,Single parent,Tenant,Yes,0.01734,38,1792,0.01130,0.02339
2011,Single parent,Tenant,No,0.98266,1754,1792,0.97661,0.98870
2011,Couple with children,Owner,Yes,0.18195,718,3488,0.16914,0.19475
2011,Couple with children,Owner,No,0.81805,2770,3488,0.80525,0.83086
2011,Couple with children,Tenant,Yes,0.03569,97,2671,0.02865,0.04273
2011,Couple with children,Tenant,No,0.96431,2574,2671,0.95727,0.97135
2011,Multi-generational household,Owner,No,0.92000,69,69,0.85551,0.98448
2011,Other Combinations,Owner,No,0.89762,40,40,0.80248,0.99276
2011,Other Combinations,Tenant,No,0.95410,52,52,0.89666,1.01153
2012,Single-person household,Owner,Yes,0.04486,60,1092,0.03258,0.05714
2012,Single-person household,Owner,No,0.95514,1032,1092,0.94286,0.96742
2012,Single-person household,Tenant,Yes,0.02381,67,2585,0.01793,0.02968
2012,Single-person household,Tenant,No,0.97619,2518,2585,0.97032,0.98207
2012,Couple without children,Owner,Yes,0.12307,349,2550,0.11031,0.13582
2012,Couple without children,Owner,No,0.87693,2201,2550,0.86418,0.88969
2012,Couple without children,Tenant,Yes,0.04033,80,1895,0.03147,0.04919
2012,Couple without children,Tenant,No,0.95967,1815,1895,0.95081,0.96853
2012,Single parent,Owner,Yes,0.09899,53,496,0.07268,0.12530
2012,Single parent,Owner,No,0.90101,443,496,0.87470,0.92732
2012,Single parent,Tenant,Yes,0.02350,47,1683,0.01626,0.03074
2012,Single parent,Tenant,No,0.97650,1636,1683,0.96926,0.98374
2012,Couple with children,Owner,Yes,0.20037,757,3333,0.18678,0.21396
2012,Couple with children,Owner,No,0.79963,2576,3333,0.78604,0.81322
2012,Couple with children,Tenant,Yes,0.03937,94,2440,0.03166,0.04709
2012,Couple with children,Tenant,No,0.96063,2346,2440,0.95291,0.96834
2012,Multi-generational household,Owner,No,0.88642,67,67,0.80987,0.96297
2012,Other Combinations,Owner,No,0.96046,44,44,0.90221,1.01871
2012,Other Combinations,Tenant,No,0.92361,50,50,0.84924,0.99799
2013,Single-person household,Owner,Yes,0.04779,59,1060,0.03494,0.06064
2013,Single-person household,Owner,No,0.95221,1001,1060,0.93936,0.96506
2013,Single-person household,Tenant,Yes,0.03141,83,2782,0.02492,0.03789
2013,Single-person household,Tenant,No,0.96859,2699,2782,0.96211,0.97508
2013,Couple without children,Owner,Yes,0.13000,360,2522,0.11687,0.14312
2013,Couple without children,Owner,No,0.87000,2162,2522,0.85688,0.88313
2013,Couple without children,Tenant,Yes,0.05192,87,2116,0.04246,0.06137
2013,Couple without children,Tenant,No,0.94808,2029,2116,0.93863,0.95754
