,Unnamed: 0,year,hhtyp,sampreg,hgeqpsol,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,Single-person household,West,No,1.0,2253,10983,0.98198,1.0196
1,1,2007,Single-person household,East,No,1.0,724,10983,0.95388,1.04491
2,2,2007,Couple without children,West,Yes,0.04205,143,10983,0.03535,0.04757
3,3,2007,Couple without children,West,No,0.95795,2657,10983,0.93208,0.98131
4,4,2007,Couple without children,East,Yes,0.02769,33,10983,0.02116,0.03624
5,5,2007,Couple without children,East,No,0.97231,927,10983,0.93547,1.03037
6,6,2007,Single parent,West,No,1.0,500,10983,0.94224,1.05871
7,7,2007,Single parent,East,No,1.0,177,10983,0.88451,1.12724
8,8,2007,Couple with children,West,Yes,0.07558,238,10983,0.06805,0.083
9,9,2007,Couple with children,West,No,0.92442,2442,10983,0.89605,0.96197
10,10,2007,Couple with children,East,Yes,0.06249,42,10983,0.04692,0.07767
11,11,2007,Couple with children,East,No,0.93751,717,10983,0.87323,1.00795
12,12,2007,Multi-generational household,West,No,1.0,66,10983,0.80965,1.20391
13,13,2007,Other Combinations,West,No,1.0,64,10983,0.78295,1.19803
14,14,2008,Single-person household,West,Yes,0.0176,45,10624,0.01407,0.02135
15,15,2008,Single-person household,West,No,0.9824,2171,10624,0.95834,1.00517
16,16,2008,Single-person household,East,No,1.0,729,10624,0.96059,1.05525
17,17,2008,Couple without children,West,Yes,0.05598,164,10624,0.0482,0.06322
18,18,2008,Couple without children,West,No,0.94402,2561,10624,0.91194,0.97312
19,19,2008,Couple without children,East,Yes,0.02977,40,10624,0.02305,0.03829
20,20,2008,Couple without children,East,No,0.97023,933,10624,0.91392,1.02339
21,21,2008,Single parent,West,No,1.0,486,10624,0.94525,1.06853
22,22,2008,Single parent,East,No,1.0,169,10624,0.88289,1.11895
23,23,2008,Couple with children,West,Yes,0.08494,253,10624,0.07417,0.09424
24,24,2008,Couple with children,West,No,0.91506,2255,10624,0.88949,0.94763
25,25,2008,Couple with children,East,Yes,0.0588,35,10624,0.04444,0.07655
26,26,2008,Couple with children,East,No,0.9412,675,10624,0.88377,1.0224
27,27,2008,Multi-generational household,West,No,1.0,55,10624,0.79106,1.19876
28,28,2008,Other Combinations,West,No,1.0,53,10624,0.7937,1.22346
29,29,2009,Single-person household,West,Yes,0.01795,49,10058,0.01442,0.02154
30,30,2009,Single-person household,West,No,0.98205,2065,10058,0.95464,1.00779
31,31,2009,Single-person household,East,No,1.0,709,10058,0.95117,1.0484
32,32,2009,Couple without children,West,Yes,0.06921,196,10058,0.05866,0.08023
33,33,2009,Couple without children,West,No,0.93079,2389,10058,0.90035,0.96513
34,34,2009,Couple without children,East,Yes,0.04021,43,10058,0.02798,0.05484
35,35,2009,Couple without children,East,No,0.95979,905,10058,0.90651,1.01361
36,36,2009,Single parent,West,No,1.0,444,10058,0.92684,1.06467
37,37,2009,Single parent,East,No,1.0,168,10058,0.84293,1.13196
38,38,2009,Couple with children,West,Yes,0.09691,267,10058,0.08718,0.10939
39,39,2009,Couple with children,West,No,0.90309,2051,10058,0.86535,0.94553
40,40,2009,Couple with children,East,Yes,0.06199,40,10058,0.04236,0.08701
41,41,2009,Couple with children,East,No,0.93801,635,10058,0.8602,1.01792
42,42,2009,Multi-generational household,West,No,1.0,46,10058,0.78974,1.258
43,43,2009,Other Combinations,West,No,1.0,51,10058,0.71948,1.32895
44,44,2010,Single-person household,West,Yes,0.02446,62,13685,0.02037,0.02916
45,45,2010,Single-person household,West,No,0.97554,1942,13685,0.94659,1.00165
46,46,2010,Single-person household,East,No,1.0,667,13685,0.94216,1.04484
47,47,2010,Couple without children,West,Yes,0.07559,204,13685,0.06451,0.08708
48,48,2010,Couple without children,West,No,0.92441,2258,13685,0.89147,0.96288
49,49,2010,Couple without children,East,Yes,0.05152,53,13685,0.03988,0.06333
50,50,2010,Couple without children,East,No,0.94848,843,13685,0.8846,1.00116
51,51,2010,Single parent,West,Yes,0.02746,43,13685,0.01906,0.03559
