year,quintil_oecd_hh,regtyp,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Urban regions,No,0.95947,1193,1193,0.94828,0.97067
2007,1st Quintile,Rural regions,No,0.94088,691,691,0.92328,0.95848
2007,2nd Quintile,Urban regions,No,0.93285,1229,1229,0.91885,0.94685
2007,2nd Quintile,Rural regions,No,0.91488,756,756,0.89498,0.93479
2007,3rd Quintile,Urban regions,Yes,0.03172,56,1338,0.02233,0.04111
2007,3rd Quintile,Urban regions,No,0.92050,1282,1338,0.90600,0.93500
2007,3rd Quintile,Rural regions,Yes,0.05251,53,807,0.03711,0.06791
2007,3rd Quintile,Rural regions,No,0.89540,754,807,0.87427,0.91653
2007,4th Quintile,Urban regions,Yes,0.03816,74,1502,0.02847,0.04785
2007,4th Quintile,Urban regions,No,0.91685,1428,1502,0.90288,0.93082
2007,4th Quintile,Rural regions,Yes,0.06081,56,754,0.04374,0.07788
2007,4th Quintile,Rural regions,No,0.88435,698,754,0.86150,0.90719
2007,5th Quintile,Urban regions,Yes,0.04152,128,2068,0.03292,0.05012
2007,5th Quintile,Urban regions,No,0.91820,1940,2068,0.90639,0.93002
2007,5th Quintile,Rural regions,Yes,0.08473,77,667,0.06358,0.10588
2007,5th Quintile,Rural regions,No,0.86154,590,667,0.83531,0.88777
2008,1st Quintile,Urban regions,No,0.96864,1152,1152,0.95858,0.97871
2008,1st Quintile,Rural regions,No,0.96844,666,666,0.95515,0.98172
2008,2nd Quintile,Urban regions,Yes,0.02308,45,1197,0.01457,0.03159
2008,2nd Quintile,Urban regions,No,0.96009,1152,1197,0.94900,0.97118
2008,2nd Quintile,Rural regions,Yes,0.03633,31,746,0.02289,0.04977
2008,2nd Quintile,Rural regions,No,0.93347,715,746,0.91557,0.95136
2008,3rd Quintile,Urban regions,Yes,0.04352,60,1318,0.03250,0.05454
2008,3rd Quintile,Urban regions,No,0.94157,1258,1318,0.92890,0.95423
2008,3rd Quintile,Rural regions,Yes,0.04768,47,827,0.03315,0.06221
2008,3rd Quintile,Rural regions,No,0.93341,780,827,0.91641,0.95042
2008,4th Quintile,Urban regions,Yes,0.04856,80,1411,0.03734,0.05978
2008,4th Quintile,Urban regions,No,0.93452,1331,1411,0.92161,0.94743
2008,4th Quintile,Rural regions,Yes,0.06759,51,678,0.04868,0.08650
2008,4th Quintile,Rural regions,No,0.91809,627,678,0.89743,0.93875
2008,5th Quintile,Urban regions,Yes,0.05557,144,2003,0.04553,0.06560
2008,5th Quintile,Urban regions,No,0.92484,1859,2003,0.91329,0.93639
2008,5th Quintile,Rural regions,Yes,0.10690,82,659,0.08329,0.13051
2008,5th Quintile,Rural regions,No,0.88382,577,659,0.85934,0.90831
2009,1st Quintile,Urban regions,No,0.98004,1122,1122,0.97185,0.98822
2009,1st Quintile,Rural regions,No,0.96888,635,635,0.95537,0.98240
2009,2nd Quintile,Urban regions,Yes,0.02652,34,1137,0.01718,0.03586
2009,2nd Quintile,Urban regions,No,0.96353,1103,1137,0.95263,0.97443
2009,2nd Quintile,Rural regions,Yes,0.04618,39,738,0.03103,0.06133
2009,2nd Quintile,Rural regions,No,0.93715,699,738,0.91963,0.95468
2009,3rd Quintile,Urban regions,Yes,0.04224,66,1185,0.03079,0.05370
2009,3rd Quintile,Urban regions,No,0.94998,1119,1185,0.93756,0.96240
2009,3rd Quintile,Rural regions,Yes,0.06122,50,755,0.04410,0.07833
2009,3rd Quintile,Rural regions,No,0.93040,705,755,0.91223,0.94856
2009,4th Quintile,Urban regions,Yes,0.06630,100,1365,0.05309,0.07950
