year,migback,quintil_oecd,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,Very important,0.35165,392,1005,0.32212,0.38119
1990,No migration background,1st Quintile,Important,0.43335,431,1005,0.40270,0.46400
1990,No migration background,1st Quintile,Less important,0.12755,110,1005,0.10692,0.14819
1990,No migration background,1st Quintile,Unimportant,0.08745,72,1005,0.06998,0.10492
1990,No migration background,2nd Quintile,Very important,0.43176,553,1228,0.40405,0.45948
1990,No migration background,2nd Quintile,Important,0.38368,474,1228,0.35647,0.41089
1990,No migration background,2nd Quintile,Less important,0.12912,147,1228,0.11036,0.14789
1990,No migration background,2nd Quintile,Unimportant,0.05543,54,1228,0.04263,0.06824
1990,No migration background,3rd Quintile,Very important,0.38727,520,1265,0.36041,0.41412
1990,No migration background,3rd Quintile,Important,0.39425,500,1265,0.36731,0.42119
1990,No migration background,3rd Quintile,Less important,0.15434,179,1265,0.13443,0.17426
1990,No migration background,3rd Quintile,Unimportant,0.06414,66,1265,0.05064,0.07765
1990,No migration background,4th Quintile,Very important,0.34764,551,1489,0.32344,0.37184
1990,No migration background,4th Quintile,Important,0.40665,598,1489,0.38169,0.43161
1990,No migration background,4th Quintile,Less important,0.17295,250,1489,0.15373,0.19217
1990,No migration background,4th Quintile,Unimportant,0.07276,90,1489,0.05956,0.08595
1990,No migration background,5th Quintile,Very important,0.33986,545,1552,0.31629,0.36343
1990,No migration background,5th Quintile,Important,0.39319,605,1552,0.36888,0.41750
1990,No migration background,5th Quintile,Less important,0.17727,272,1552,0.15827,0.19628
1990,No migration background,5th Quintile,Unimportant,0.08968,130,1552,0.07546,0.10389
1990,Direct migration background,1st Quintile,Very important,0.42040,39,39,0.26345,0.57735
1990,Direct migration background,2nd Quintile,Very important,0.57138,53,53,0.43687,0.70589
1990,Direct migration background,3rd Quintile,Very important,0.31352,37,86,0.21489,0.41215
1990,Direct migration background,3rd Quintile,Important,0.49577,49,86,0.38948,0.60206
1990,Direct migration background,4th Quintile,Very important,0.41922,34,34,0.25087,0.58758
1990,Direct migration background,5th Quintile,Very important,0.28971,33,71,0.18344,0.39598
1990,Direct migration background,5th Quintile,Important,0.43268,38,71,0.31661,0.54874
1992,No migration background,1st Quintile,Very important,0.42912,1057,2115,0.40802,0.45022
1992,No migration background,1st Quintile,Important,0.35330,677,2115,0.33292,0.37368
1992,No migration background,1st Quintile,Less important,0.11077,207,2115,0.09739,0.12415
1992,No migration background,1st Quintile,Unimportant,0.10681,174,2115,0.09364,0.11998
1992,No migration background,2nd Quintile,Very important,0.45420,1109,2125,0.43302,0.47537
1992,No migration background,2nd Quintile,Important,0.35534,690,2125,0.33499,0.37570
1992,No migration background,2nd Quintile,Less important,0.10818,202,2125,0.09497,0.12139
1992,No migration background,2nd Quintile,Unimportant,0.08228,124,2125,0.07059,0.09397
