year,migback,sampreg,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,West,Very important,0.36944,2561,6542,0.35775,0.38114
1990,No migration background,West,Important,0.40165,2610,6542,0.38977,0.41353
1990,No migration background,West,Less important,0.15457,959,6542,0.14581,0.16333
1990,No migration background,West,Unimportant,0.07433,412,6542,0.06797,0.08069
1990,Direct migration background,West,Very important,0.39559,196,415,0.34849,0.44270
1990,Direct migration background,West,Important,0.40645,165,415,0.35913,0.45376
1990,Direct migration background,West,Less important,0.13548,54,415,0.10251,0.16845
1992,No migration background,West,Very important,0.39127,2709,6438,0.37935,0.40320
1992,No migration background,West,Important,0.37874,2364,6438,0.36689,0.39059
1992,No migration background,West,Less important,0.14562,916,6438,0.13700,0.15423
1992,No migration background,West,Unimportant,0.08437,449,6438,0.07758,0.09116
1992,No migration background,East,Very important,0.50288,2057,3748,0.48687,0.51889
1992,No migration background,East,Important,0.31464,1120,3748,0.29977,0.32951
1992,No migration background,East,Less important,0.10612,353,3748,0.09626,0.11598
1992,No migration background,East,Unimportant,0.07636,218,3748,0.06786,0.08487
1992,Direct migration background,West,Very important,0.47386,212,406,0.42523,0.52249
1992,Direct migration background,West,Important,0.34222,143,406,0.29602,0.38843
1992,Direct migration background,West,Less important,0.13529,51,406,0.10198,0.16861
1992,Direct migration background,East,Very important,0.44214,68,117,0.35176,0.53252
1992,Direct migration background,East,Important,0.35781,49,117,0.27058,0.44505
1995,No migration background,West,Very important,0.41136,2807,6356,0.39927,0.42346
1995,No migration background,West,Important,0.36299,2237,6356,0.35116,0.37481
1995,No migration background,West,Less important,0.14729,901,6356,0.13858,0.15600
1995,No migration background,West,Unimportant,0.07836,411,6356,0.07175,0.08497
1995,No migration background,East,Very important,0.49219,1777,3463,0.47554,0.50885
1995,No migration background,East,Important,0.34518,1160,3463,0.32935,0.36102
1995,No migration background,East,Less important,0.09892,348,3463,0.08898,0.10887
1995,No migration background,East,Unimportant,0.06370,178,3463,0.05557,0.07184
1995,Direct migration background,West,Very important,0.52437,540,978,0.49306,0.55569
1995,Direct migration background,West,Important,0.31140,310,978,0.28236,0.34044
1995,Direct migration background,West,Less important,0.11292,91,978,0.09308,0.13277
1995,Direct migration background,West,Unimportant,0.05130,37,978,0.03747,0.06514
1995,Direct migration background,East,Very important,0.45291,66,113,0.36072,0.54510
1995,Direct migration background,East,Important,0.31970,47,113,0.23333,0.40607
1995,Indirect migration background,West,Very important,0.32798,41,81,0.22510,0.43086
1995,Indirect migration background,West,Important,0.32867,40,81,0.22574,0.43161
2004,No migration background,West,Very important,0.39868,5649,12910,0.39023,0.40713
2004,No migration background,West,Important,0.36892,4563,12910,0.36059,0.37724
2004,No migration background,West,Less important,0.15111,1839,12910,0.14493,0.15729
2004,No migration background,West,Unimportant,0.08129,859,12910,0.07658,0.08601
2004,No migration background,East,Very important,0.42682,2255,4987,0.41309,0.44055
2004,No migration background,East,Important,0.37343,1827,4987,0.36001,0.38686
2004,No migration background,East,Less important,0.12990,623,4987,0.12057,0.13923
2004,No migration background,East,Unimportant,0.06984,282,4987,0.06277,0.07692
2004,Direct migration background,West,Very important,0.53670,1354,2401,0.51675,0.55665
2004,Direct migration background,West,Important,0.32643,766,2401,0.30767,0.34519
2004,Direct migration background,West,Less important,0.09147,200,2401,0.07994,0.10300
2004,Direct migration background,West,Unimportant,0.04540,81,2401,0.03707,0.05373
2004,Direct migration background,East,Very important,0.45339,47,47,0.30953,0.59726
2004,Indirect migration background,West,Very important,0.37182,295,746,0.33712,0.40653
2004,Indirect migration background,West,Important,0.37594,261,746,0.34116,0.41072
2004,Indirect migration background,West,Less important,0.18329,141,746,0.15551,0.21107
2004,Indirect migration background,West,Unimportant,0.06894,49,746,0.05075,0.08714
2008,No migration background,West,Very important,0.40764,5349,11834,0.39879,0.41649
2008,No migration background,West,Important,0.35501,4155,11834,0.34639,0.36363
2008,No migration background,West,Less important,0.15178,1539,11834,0.14531,0.15824
2008,No migration background,West,Unimportant,0.08557,791,11834,0.08053,0.09061
2008,No migration background,East,Very important,0.44766,2224,4563,0.43323,0.46209
2008,No migration background,East,Important,0.37032,1659,4563,0.35631,0.38433
2008,No migration background,East,Less important,0.11846,455,4563,0.10908,0.12783
2008,No migration background,East,Unimportant,0.06356,225,4563,0.05648,0.07064
2008,Direct migration background,West,Very important,0.57492,1074,1797,0.55206,0.59778
2008,Direct migration background,West,Important,0.29582,540,1797,0.27471,0.31693
2008,Direct migration background,West,Less important,0.08227,123,1797,0.06956,0.09497
2008,Direct migration background,West,Unimportant,0.04699,60,1797,0.03720,0.05678
2008,Direct migration background,East,Very important,0.48279,40,40,0.32596,0.63962
2008,Indirect migration background,West,Very important,0.42940,326,689,0.39242,0.46639
2008,Indirect migration background,West,Important,0.33797,243,689,0.30262,0.37331
2008,Indirect migration background,West,Less important,0.18503,120,689,0.15601,0.21405
2012,No migration background,West,Very important,0.40725,8506,17083,0.39989,0.41462
2012,No migration background,West,Important,0.36065,5892,17083,0.35345,0.36785
2012,No migration background,West,Less important,0.14348,1746,17083,0.13823,0.14874
2012,No migration background,West,Unimportant,0.08861,939,17083,0.08435,0.09288
2012,No migration background,East,Very important,0.43685,3086,5849,0.42414,0.44956
2012,No migration background,East,Important,0.38184,2037,5849,0.36939,0.39429
2012,No migration background,East,Less important,0.11741,482,5849,0.10916,0.12566
2012,No migration background,East,Unimportant,0.06390,244,5849,0.05763,0.07017
2012,Direct migration background,West,Very important,0.57235,1955,2980,0.55458,0.59011
2012,Direct migration background,West,Important,0.31130,823,2980,0.29467,0.32793
2012,Direct migration background,West,Less important,0.07281,136,2980,0.06348,0.08214
2012,Direct migration background,West,Unimportant,0.04355,66,2980,0.03622,0.05088
2012,Direct migration background,East,Very important,0.48029,108,154,0.40112,0.55946
2012,Direct migration background,East,Important,0.33161,46,154,0.25701,0.40621
2012,Indirect migration background,West,Very important,0.40322,568,1118,0.37446,0.43199
2012,Indirect migration background,West,Important,0.35305,364,1118,0.32502,0.38108
2012,Indirect migration background,West,Less important,0.19390,134,1118,0.17071,0.21709
2012,Indirect migration background,West,Unimportant,0.04983,52,1118,0.03707,0.06259
2012,Indirect migration background,East,Very important,0.31327,36,36,0.15960,0.46693
2016,No migration background,West,Very important,0.43969,6605,13011,0.43116,0.44822
2016,No migration background,West,Important,0.33595,4281,13011,0.32783,0.34406
2016,No migration background,West,Less important,0.13715,1361,13011,0.13124,0.14306
2016,No migration background,West,Unimportant,0.08721,764,13011,0.08236,0.09205
2016,No migration background,East,Very important,0.49247,2506,4501,0.47786,0.50708
2016,No migration background,East,Important,0.33493,1468,4501,0.32114,0.34872
2016,No migration background,East,Less important,0.10989,332,4501,0.10075,0.11902
2016,No migration background,East,Unimportant,0.06271,195,4501,0.05563,0.06980
2016,Direct migration background,West,Very important,0.59057,3030,4620,0.57639,0.60475
2016,Direct migration background,West,Important,0.29578,1207,4620,0.28262,0.30894
2016,Direct migration background,West,Less important,0.07851,261,4620,0.07075,0.08627
2016,Direct migration background,West,Unimportant,0.03514,122,4620,0.02983,0.04045
2016,Direct migration background,East,Very important,0.55718,242,364,0.50609,0.60828
2016,Direct migration background,East,Important,0.23644,89,364,0.19273,0.28015
2016,Direct migration background,East,Less important,0.15663,33,364,0.11924,0.19402
2016,Indirect migration background,West,Very important,0.41893,695,1370,0.39280,0.44507
2016,Indirect migration background,West,Important,0.32415,416,1370,0.29935,0.34894
2016,Indirect migration background,West,Less important,0.18594,179,1370,0.16533,0.20655
2016,Indirect migration background,West,Unimportant,0.07098,80,1370,0.05737,0.08458
2016,Indirect migration background,East,Very important,0.52737,46,46,0.38150,0.67324
2021,No migration background,West,Very important,0.41876,4545,9727,0.40896,0.42857
2021,No migration background,West,Important,0.33889,3276,9727,0.32949,0.34830
2021,No migration background,West,Less important,0.14975,1194,9727,0.14265,0.15684
2021,No migration background,West,Unimportant,0.09260,712,9727,0.08684,0.09836
2021,No migration background,East,Very important,0.45216,1644,3213,0.43494,0.46937
2021,No migration background,East,Important,0.37358,1109,3213,0.35685,0.39031
2021,No migration background,East,Less important,0.11008,303,3213,0.09925,0.12090
2021,No migration background,East,Unimportant,0.06419,157,3213,0.05572,0.07267
2021,Direct migration background,West,Very important,0.51937,1547,2806,0.50088,0.53786
2021,Direct migration background,West,Important,0.31267,845,2806,0.29551,0.32983
2021,Direct migration background,West,Less important,0.11876,279,2806,0.10679,0.13073
2021,Direct migration background,West,Unimportant,0.04920,135,2806,0.04119,0.05720
2021,Direct migration background,East,Very important,0.48865,141,258,0.42753,0.54976
2021,Direct migration background,East,Important,0.31543,82,258,0.25862,0.37224
2021,Direct migration background,East,Less important,0.14640,35,258,0.10318,0.18963
2021,Indirect migration background,West,Very important,0.33667,322,837,0.30464,0.36871
2021,Indirect migration background,West,Important,0.37313,276,837,0.34035,0.40592
2021,Indirect migration background,West,Less important,0.16777,150,837,0.14244,0.19310
2021,Indirect migration background,West,Unimportant,0.12242,89,837,0.10021,0.14464
2021,Indirect migration background,East,Very important,0.45346,31,31,0.27532,0.63161
