,Unnamed: 0,year,sampreg,sex,plh0110,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,West,male,Very important,0.32173,1157,7030,0.31427,0.32846
1,1,1990,West,male,Important,0.42074,1411,7030,0.41297,0.4276
2,2,1990,West,male,Less important,0.18117,582,7030,0.17484,0.18817
3,3,1990,West,male,Unimportant,0.07636,225,7030,0.07253,0.0801
4,4,1990,West,female,Very important,0.41487,1618,7030,0.40553,0.42303
5,5,1990,West,female,Important,0.38418,1381,7030,0.37653,0.39358
6,6,1990,West,female,Less important,0.12866,441,7030,0.12364,0.1335
7,7,1990,West,female,Unimportant,0.07229,215,7030,0.0675,0.07675
8,8,1992,West,male,Very important,0.34705,1221,10831,0.33787,0.35586
9,9,1992,West,male,Important,0.39344,1267,10831,0.3822,0.40296
10,10,1992,West,male,Less important,0.17603,567,10831,0.16863,0.18319
11,11,1992,West,male,Unimportant,0.08348,244,10831,0.0783,0.08869
12,12,1992,West,female,Very important,0.44058,1719,10831,0.42935,0.45041
13,13,1992,West,female,Important,0.36025,1263,10831,0.34893,0.37344
14,14,1992,West,female,Less important,0.11883,419,10831,0.11206,0.12502
15,15,1992,West,female,Unimportant,0.08034,231,10831,0.07567,0.08561
16,16,1992,East,male,Very important,0.44694,915,10831,0.43379,0.46036
17,17,1992,East,male,Important,0.33573,602,10831,0.32027,0.3485
18,18,1992,East,male,Less important,0.14326,231,10831,0.13069,0.15312
19,19,1992,East,male,Unimportant,0.07407,111,10831,0.06731,0.08089
20,20,1992,East,female,Very important,0.54851,1213,10831,0.53371,0.56596
21,21,1992,East,female,Important,0.29835,570,10831,0.28541,0.31044
22,22,1992,East,female,Less important,0.06938,134,10831,0.06362,0.07576
23,23,1992,East,female,Unimportant,0.08376,124,10831,0.07637,0.09102
24,24,1995,West,male,Very important,0.37176,1412,11069,0.35999,0.38168
25,25,1995,West,male,Important,0.37227,1320,11069,0.36228,0.38321
26,26,1995,West,male,Less important,0.17783,592,11069,0.16805,0.18536
27,27,1995,West,male,Unimportant,0.07814,231,11069,0.07232,0.08382
28,28,1995,West,female,Very important,0.47143,1976,11069,0.45894,0.4848
29,29,1995,West,female,Important,0.34209,1267,11069,0.33028,0.35327
30,30,1995,West,female,Less important,0.11355,425,11069,0.10662,0.12028
31,31,1995,West,female,Unimportant,0.07293,228,11069,0.06766,0.07825
32,32,1995,East,male,Very important,0.42684,771,11069,0.41045,0.44556
33,33,1995,East,male,Important,0.38615,641,11069,0.36739,0.40157
34,34,1995,East,male,Less important,0.12818,225,11069,0.11879,0.13763
35,35,1995,East,male,Unimportant,0.05883,87,11069,0.051,0.06833
36,36,1995,East,female,Very important,0.54662,1074,11069,0.52864,0.56643
37,37,1995,East,female,Important,0.30517,572,11069,0.28967,0.31939
38,38,1995,East,female,Less important,0.07443,142,11069,0.06508,0.0826
39,39,1995,East,female,Unimportant,0.07377,106,11069,0.0657,0.07958
40,40,2004,West,male,Very important,0.36316,3081,21175,0.35423,0.37511
41,41,2004,West,male,Important,0.38123,2880,21175,0.37184,0.39178
42,42,2004,West,male,Less important,0.17277,1258,21175,0.16416,0.18115
43,43,2004,West,male,Unimportant,0.08284,528,21175,0.07769,0.08782
44,44,2004,West,female,Very important,0.4725,4217,21175,0.46057,0.48392
45,45,2004,West,female,Important,0.34486,2710,21175,0.33482,0.35254
46,46,2004,West,female,Less important,0.11483,922,21175,0.10938,0.12148
47,47,2004,West,female,Unimportant,0.06781,461,21175,0.06248,0.07223
48,48,2004,East,male,Very important,0.34837,915,21175,0.33176,0.3628
49,49,2004,East,male,Important,0.3979,959,21175,0.37916,0.42108
50,50,2004,East,male,Less important,0.17738,413,21175,0.16345,0.19164
51,51,2004,East,male,Unimportant,0.07634,163,21175,0.06678,0.08459
52,52,2004,East,female,Very important,0.50184,1397,21175,0.48443,0.52418
53,53,2004,East,female,Important,0.34446,906,21175,0.33027,0.35915
54,54,2004,East,female,Less important,0.08845,234,21175,0.07917,0.09667
55,55,2004,East,female,Unimportant,0.06525,131,21175,0.05872,0.07222
56,56,2008,West,male,Very important,0.38346,2863,19031,0.37242,0.39523
57,57,2008,West,male,Important,0.35845,2494,19031,0.34717,0.37107
58,58,2008,West,male,Less important,0.17055,1005,19031,0.16115,0.18179
59,59,2008,West,male,Unimportant,0.08754,461,19031,0.08094,0.09362
60,60,2008,West,female,Very important,0.48197,3886,19031,0.47028,0.49465
61,61,2008,West,female,Important,0.33256,2444,19031,0.32064,0.34151
62,62,2008,West,female,Less important,0.11714,777,19031,0.11131,0.12418
63,63,2008,West,female,Unimportant,0.06833,419,19031,0.0639,0.0741
64,64,2008,East,male,Very important,0.35647,909,19031,0.33781,0.37986
65,65,2008,East,male,Important,0.39898,897,19031,0.373,0.42243
66,66,2008,East,male,Less important,0.17262,319,19031,0.15542,0.188
67,67,2008,East,male,Unimportant,0.07193,134,19031,0.06091,0.08207
68,68,2008,East,female,Very important,0.53281,1364,19031,0.50848,0.55699
69,69,2008,East,female,Important,0.33885,800,19031,0.31958,0.36247
70,70,2008,East,female,Less important,0.0728,159,19031,0.06355,0.08193
71,71,2008,East,female,Unimportant,0.05554,100,19031,0.04733,0.06275
72,72,2012,West,male,Very important,0.3846,4494,27273,0.37092,0.39725
73,73,2012,West,male,Important,0.36967,3459,27273,0.3571,0.38377
74,74,2012,West,male,Less important,0.16036,1132,27273,0.15106,0.16887
75,75,2012,West,male,Unimportant,0.08537,528,27273,0.07992,0.09085
76,76,2012,West,female,Very important,0.48093,6535,27273,0.4678,0.49458
77,77,2012,West,female,Important,0.33562,3620,27273,0.32338,0.34544
78,78,2012,West,female,Less important,0.10997,884,27273,0.10331,0.11566
79,79,2012,West,female,Unimportant,0.07347,529,27273,0.06779,0.07891
80,80,2012,East,male,Very important,0.37136,1262,27273,0.35029,0.39325
81,81,2012,East,male,Important,0.388,1054,27273,0.36283,0.4124
82,82,2012,East,male,Less important,0.16297,323,27273,0.14644,0.18048
83,83,2012,East,male,Unimportant,0.07766,139,27273,0.06563,0.0927
84,84,2012,East,female,Very important,0.50106,1968,27273,0.47887,0.52076
85,85,2012,East,female,Important,0.37159,1049,27273,0.3487,0.39592
86,86,2012,East,female,Less important,0.07332,176,27273,0.06599,0.08246
87,87,2012,East,female,Unimportant,0.05403,121,27273,0.04726,0.06129
88,88,2016,West,male,Very important,0.41406,4257,23976,0.39721,0.43052
89,89,2016,West,male,Important,0.3497,2973,23976,0.3367,0.3638
90,90,2016,West,male,Less important,0.1581,1021,23976,0.14726,0.16981
91,91,2016,West,male,Unimportant,0.07814,468,23976,0.0719,0.08424
92,92,2016,West,female,Very important,0.51372,6073,23976,0.49996,0.529
93,93,2016,West,female,Important,0.3069,2931,23976,0.29519,0.31891
94,94,2016,West,female,Less important,0.10309,780,23976,0.09449,0.11095
95,95,2016,West,female,Unimportant,0.07629,498,23976,0.07028,0.08139
96,96,2016,East,male,Very important,0.41031,1125,23976,0.38154,0.43588
97,97,2016,East,male,Important,0.34989,767,23976,0.31966,0.38146
98,98,2016,East,male,Less important,0.15752,237,23976,0.13407,0.17873
99,99,2016,East,male,Unimportant,0.08228,123,23976,0.06696,0.0996
100,100,2016,East,female,Very important,0.5766,1669,23976,0.5454,0.61025
101,101,2016,East,female,Important,0.31329,819,23976,0.29271,0.33581
102,102,2016,East,female,Less important,0.06803,147,23976,0.05665,0.08144
103,103,2016,East,female,Unimportant,0.04208,88,23976,0.03394,0.05072
104,104,2021,West,male,Very important,0.37632,2735,16933,0.3587,0.39793
105,105,2021,West,male,Important,0.35627,2187,16933,0.33402,0.37592
106,106,2021,West,male,Less important,0.18438,947,16933,0.17186,0.19921
107,107,2021,West,male,Unimportant,0.08302,441,16933,0.07389,0.09423
108,108,2021,West,female,Very important,0.48258,3678,16933,0.46216,0.5026
109,109,2021,West,female,Important,0.31955,2210,16933,0.3018,0.33694
110,110,2021,West,female,Less important,0.10778,674,16933,0.09809,0.11859
111,111,2021,West,female,Unimportant,0.09009,493,16933,0.08029,0.10097
112,112,2021,East,male,Very important,0.36178,735,16933,0.33041,0.39465
113,113,2021,East,male,Important,0.4085,601,16933,0.36543,0.44811
114,114,2021,East,male,Less important,0.14806,205,16933,0.12496,0.17157
115,115,2021,East,male,Unimportant,0.08167,114,16933,0.06573,0.09838
116,116,2021,East,female,Very important,0.54418,1081,16933,0.50428,0.59028
117,117,2021,East,female,Important,0.33272,618,16933,0.29929,0.3636
118,118,2021,East,female,Less important,0.07917,145,16933,0.06661,0.09433
119,119,2021,East,female,Unimportant,0.04393,69,16933,0.03664,0.05152
