"plh0110","year","age_gr","n","percent","lower_confidence","upper_confidence","NA"
"1 Sehr wichtig","1990","17-34","937","0.337877284147128","0.319689606057654","0.356064962236602",""
"1 Sehr wichtig","1990","35-65","1480","0.399245814831263","0.382915571584792","0.415576058077734",""
"1 Sehr wichtig","1990","66 +","358","0.351256317840886","0.321323372537926","0.381189263143847",""
"2 Wichtig","1990","17-34","889","0.337499746679997","0.319317051105077","0.355682442254918",""
"2 Wichtig","1990","35-65","1467","0.427891020352992","0.411393068432172","0.444388972273812",""
"2 Wichtig","1990","66 +","436","0.444661262357988","0.413501478118343","0.475821046597632",""
"3 Weniger wichtig","1990","17-34","600","0.254070362090816","0.237330400679102","0.27081032350253",""
"3 Weniger wichtig","1990","35-65","348","0.114395757940765","0.1037824963342","0.12500901954733",""
"3 Weniger wichtig","1990","66 +","75","0.0798830839241523","0.0628830523470711","0.0968831155012336",""
"4 Ganz unwichtig","1990","17-34","172","0.0705526070820582","0.0607057540100803","0.0803994601540361",""
"4 Ganz unwichtig","1990","35-65","160","0.0584674068749803","0.0506439505797194","0.0662908631702412",""
"4 Ganz unwichtig","1990","66 +","108","0.124199335876974","0.103518738430332","0.144879933323615",""
"1 Sehr wichtig","1991","17-34","","","","",""
"1 Sehr wichtig","1991","35-65","","","","",""
"1 Sehr wichtig","1991","66 +","","","","",""
"2 Wichtig","1991","17-34","","","","",""
"2 Wichtig","1991","35-65","","","","",""
"2 Wichtig","1991","66 +","","","","",""
"3 Weniger wichtig","1991","17-34","","","","",""
"3 Weniger wichtig","1991","35-65","","","","",""
"3 Weniger wichtig","1991","66 +","","","","",""
"4 Ganz unwichtig","1991","17-34","","","","",""
"4 Ganz unwichtig","1991","35-65","","","","",""
"4 Ganz unwichtig","1991","66 +","","","","",""
"1 Sehr wichtig","1992","17-34","1672","0.387591823244921","0.372314960420545","0.402868686069297",""
"1 Sehr wichtig","1992","35-65","2919","0.468331361993668","0.455222239178947","0.481440484808389",""
"1 Sehr wichtig","1992","66 +","477","0.333143474206682","0.308074875168117","0.358212073245247",""
"2 Wichtig","1992","17-34","1232","0.321208709221543","0.306567121552953","0.335850296890134",""
"2 Wichtig","1992","35-65","1884","0.361640638318666","0.349018070304543","0.37426320633279",""
"2 Wichtig","1992","66 +","586","0.439210926209796","0.412815143445283","0.465606708974308",""
"3 Weniger wichtig","1992","17-34","760","0.219148568027538","0.206177375378653","0.232119760676424",""
"3 Weniger wichtig","1992","35-65","490","0.108923136457695","0.100738598955795","0.117107673959595",""
"3 Weniger wichtig","1992","66 +","101","0.075769728352225","0.0616951249617303","0.0898443317427198",""
"4 Ganz unwichtig","1992","17-34","243","0.0720508995059976","0.0639430035595249","0.0801587954524703",""
"4 Ganz unwichtig","1992","35-65","273","0.0611048632299703","0.054812367594803","0.0673973588651376",""
"4 Ganz unwichtig","1992","66 +","194","0.151875871231298","0.132787349064534","0.170964393398062",""
"1 Sehr wichtig","1993","17-34","","","","",""
"1 Sehr wichtig","1993","35-65","","","","",""
"1 Sehr wichtig","1993","66 +","","","","",""
"2 Wichtig","1993","17-34","","","","",""
"2 Wichtig","1993","35-65","","","","",""
"2 Wichtig","1993","66 +","","","","",""
"3 Weniger wichtig","1993","17-34","","","","",""
"3 Weniger wichtig","1993","35-65","","","","",""
"3 Weniger wichtig","1993","66 +","","","","",""
"4 Ganz unwichtig","1993","17-34","","","","",""
"4 Ganz unwichtig","1993","35-65","","","","",""
"4 Ganz unwichtig","1993","66 +","","","","",""
"1 Sehr wichtig","1994","17-34","","","","",""
"1 Sehr wichtig","1994","35-65","","","","",""
"1 Sehr wichtig","1994","66 +","","","","",""
"2 Wichtig","1994","17-34","","","","",""
"2 Wichtig","1994","35-65","","","","",""
"2 Wichtig","1994","66 +","","","","",""
"3 Weniger wichtig","1994","17-34","","","","",""
"3 Weniger wichtig","1994","35-65","","","","",""
"3 Weniger wichtig","1994","66 +","","","","",""
"4 Ganz unwichtig","1994","17-34","","","","",""
"4 Ganz unwichtig","1994","35-65","","","","",""
"4 Ganz unwichtig","1994","66 +","","","","",""
"1 Sehr wichtig","1995","17-34","1591","0.367681695435356","0.352639251217102","0.38272413965361",""
"1 Sehr wichtig","1995","35-65","3050","0.486340543926521","0.473387913966078","0.499293173886965",""
"1 Sehr wichtig","1995","66 +","592","0.409912937645227","0.38416882402573","0.435657051264724",""
"2 Wichtig","1995","17-34","1270","0.32975359127139","0.315087089376916","0.344420093165865",""
