year,bula_h,regtyp,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Urban regions,Very important,0.42845,52,88,0.32446,0.53243
1990,Schleswig-Holstein,Urban regions,Important,0.32225,36,88,0.22404,0.42045
1990,Schleswig-Holstein,Rural regions,Very important,0.42943,60,108,0.33564,0.52322
1990,Schleswig-Holstein,Rural regions,Important,0.34317,48,108,0.25321,0.43313
1990,Hamburg,Urban regions,Very important,0.23860,34,84,0.14690,0.33030
1990,Hamburg,Urban regions,Important,0.43381,50,84,0.32719,0.54043
1990,Lower Saxony,Urban regions,Very important,0.37178,157,355,0.32143,0.42212
1990,Lower Saxony,Urban regions,Important,0.38105,140,355,0.33046,0.43164
1990,Lower Saxony,Urban regions,Less important,0.15256,58,355,0.11511,0.19002
1990,Lower Saxony,Rural regions,Very important,0.42967,196,421,0.38233,0.47702
1990,Lower Saxony,Rural regions,Important,0.38838,169,421,0.34177,0.43499
1990,Lower Saxony,Rural regions,Less important,0.11855,56,421,0.08763,0.14946
1990,Bremen,Urban regions,Very important,0.40209,35,66,0.28289,0.52129
1990,Bremen,Urban regions,Important,0.37689,31,66,0.25908,0.49470
1990,North Rhine-Westphalia,Urban regions,Very important,0.38142,744,1832,0.35917,0.40367
1990,North Rhine-Westphalia,Urban regions,Important,0.39561,715,1832,0.37321,0.41801
1990,North Rhine-Westphalia,Urban regions,Less important,0.16688,287,1832,0.14980,0.18396
1990,North Rhine-Westphalia,Urban regions,Unimportant,0.05609,86,1832,0.04555,0.06662
1990,North Rhine-Westphalia,Rural regions,Very important,0.47544,34,65,0.35309,0.59779
1990,North Rhine-Westphalia,Rural regions,Important,0.43813,31,65,0.31657,0.55968
1990,Hesse,Urban regions,Very important,0.31654,181,551,0.27767,0.35542
1990,Hesse,Urban regions,Important,0.44212,243,551,0.40061,0.48362
1990,Hesse,Urban regions,Less important,0.15553,88,551,0.12524,0.18582
1990,Hesse,Urban regions,Unimportant,0.08581,39,551,0.06240,0.10922
1990,Hesse,Rural regions,Very important,0.26338,32,72,0.16093,0.36584
1990,Hesse,Rural regions,Important,0.34207,40,72,0.23172,0.45242
1990,"Rhineland-Palatinate, Saarland",Urban regions,Very important,0.35954,182,447,0.31500,0.40407
1990,"Rhineland-Palatinate, Saarland",Urban regions,Important,0.40747,178,447,0.36187,0.45307
1990,"Rhineland-Palatinate, Saarland",Urban regions,Less important,0.14545,55,447,0.11273,0.17817
1990,"Rhineland-Palatinate, Saarland",Urban regions,Unimportant,0.08754,32,447,0.06131,0.11377
1990,"Rhineland-Palatinate, Saarland",Rural regions,Very important,0.38773,49,91,0.28706,0.48839
1990,"Rhineland-Palatinate, Saarland",Rural regions,Important,0.45941,42,91,0.35645,0.56237
1990,Baden-Wuerttemberg,Urban regions,Very important,0.40305,416,981,0.37233,0.43376
1990,Baden-Wuerttemberg,Urban regions,Important,0.39465,386,981,0.36405,0.42525
