year,pgisced97,sampreg,plh0110,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,West,Important,0.004559799638406606,35,6809,0.004540435582284233,0.004579163694528979
1990,Pre-primary Level,West,Less important,0.005359112108202091,38,6809,0.0053381277621158876,0.005380096454288294
1990,Lower Secondary Level,West,Very important,0.08818083051523662,613,6809,0.08809933057006598,0.08826233046040725
1990,Lower Secondary Level,West,Important,0.10322546611655946,670,6809,0.10313801790644898,0.10331291432666993
1990,Lower Secondary Level,West,Less important,0.03130629596994545,205,6809,0.031256243565301545,0.03135634837458935
1990,Lower Secondary Level,West,Unimportant,0.019090080020750997,110,6809,0.019050749082864513,0.01912941095863748
1990,Upper Secondary Level,West,Very important,0.21150477719191407,1548,6809,0.21138740222339839,0.21162215216042976
1990,Upper Secondary Level,West,Important,0.22967556222190202,1542,6809,0.22955466673271552,0.22979645771108853
1990,Upper Secondary Level,West,Less important,0.08250379592879858,535,6809,0.08242471805780295,0.08258287379979422
1990,Upper Secondary Level,West,Unimportant,0.03724633091597665,205,6809,0.037191903814697884,0.037300758017255416
1990,Post-secondary Non-tertiary Level,West,Very important,0.007721075233122109,60,6809,0.007695917492176694,0.007746232974067524
1990,Post-secondary Non-tertiary Level,West,Important,0.010551007047700177,72,6809,0.01052164005150332,0.010580374043897034
1990,Post-secondary Non-tertiary Level,West,Less important,0.00838865581734178,51,6809,0.008362441847455038,0.00841486978722852
1990,First Stage of Tertiary Education,West,Very important,0.03180935921474946,228,6809,0.03175891936719357,0.03185979906230534
1990,First Stage of Tertiary Education,West,Important,0.02713956567110156,192,6809,0.027092862907304602,0.02718626843489852
1990,First Stage of Tertiary Education,West,Less important,0.009231029435325456,57,6809,0.009203542448692204,0.009258516421958709
1990,Second Stage of Tertiary Education,West,Very important,0.034175533256206654,258,6809,0.03412331496974526,0.03422775154266805
1990,Second Stage of Tertiary Education,West,Important,0.03280997465497462,229,6809,0.03275877409427819,0.03286117521567106
1990,Second Stage of Tertiary Education,West,Less important,0.016540224690334643,104,6809,0.016503567019414224,0.01657688236125506
1990,Second Stage of Tertiary Education,West,Unimportant,0.008981524351450998,57,6809,0.008954407968010093,0.009008640734891903
1992,Pre-primary Level,West,Less important,0.0032631174288808317,31,10409,0.003248443535748344,0.0032777913220133196
1992,Lower Secondary Level,West,Very important,0.06562258658522034,568,10409,0.06555887380244535,0.06568629936799533
1992,Lower Secondary Level,West,Important,0.07857957157955103,619,10409,0.07851033709191528,0.07864880606718679
1992,Lower Secondary Level,West,Less important,0.01914427584636467,169,10409,0.019109017594720553,0.01917953409800879
1992,Lower Secondary Level,West,Unimportant,0.014741791796371523,109,10409,0.014710782714805427,0.01477280087793762
1992,Lower Secondary Level,East,Very important,0.008557873821589164,137,10409,0.008534173438854762,0.008581574204323565
1992,Lower Secondary Level,East,Important,0.010259752856296855,164,10409,0.010233824928949684,0.010285680783644027
1992,Lower Secondary Level,East,Less important,0.003794828814269776,72,10409,0.0037790087141883477,0.003810648914351204
1992,Lower Secondary Level,East,Unimportant,0.004780483430677601,63,10409,0.004762736057286345,0.004798230804068856
1992,Upper Secondary Level,West,Very important,0.17919187615388932,1650,10409,0.17909319852227515,0.1792905537855035
1992,Upper Secondary Level,West,Important,0.16571775456063384,1380,10409,0.1656220836832855,0.1658134254379822
1992,Upper Secondary Level,West,Less important,0.06434691656936686,524,10409,0.0642837830451622,0.06441005009357152
1992,Upper Secondary Level,West,Unimportant,0.03487431947113354,237,10409,0.034827114955832496,0.03492152398643459
1992,Upper Secondary Level,East,Very important,0.0628060664013271,1184,10409,0.06274364201705436,0.06286849078559985
1992,Upper Secondary Level,East,Important,0.03956857670454773,666,10409,0.03951841790536761,0.039618735503727846
1992,Upper Secondary Level,East,Less important,0.013400417711167326,202,10409,0.01337083292956115,0.013430002492773502
1992,Upper Secondary Level,East,Unimportant,0.00982304762679664,126,10409,0.009797671912995423,0.009848423340597857
1992,Post-secondary Non-tertiary Level,West,Very important,0.007908210306162145,79,10409,0.007885419810593904,0.007931000801730386
