,Unnamed: 0,year,quintil_oecd,sex,plh0110,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,1st Quintile,male,Very important,0.31848,166,6970,0.29997,0.34001
1,1,1990,1st Quintile,male,Important,0.42562,184,6970,0.40742,0.44565
2,2,1990,1st Quintile,male,Less important,0.16752,66,6970,0.15037,0.1811
3,3,1990,1st Quintile,male,Unimportant,0.08838,32,6970,0.07615,0.1045
4,4,1990,1st Quintile,female,Very important,0.37752,270,6970,0.35872,0.39693
5,5,1990,1st Quintile,female,Important,0.42853,273,6970,0.4095,0.45005
6,6,1990,1st Quintile,female,Less important,0.11254,61,6970,0.09779,0.12523
7,7,1990,1st Quintile,female,Unimportant,0.08141,43,6970,0.07198,0.09232
8,8,1990,2nd Quintile,male,Very important,0.40236,234,6970,0.3829,0.42563
9,9,1990,2nd Quintile,male,Important,0.43031,252,6970,0.41239,0.45235
10,10,1990,2nd Quintile,male,Less important,0.16733,88,6970,0.15155,0.18326
11,11,1990,2nd Quintile,female,Very important,0.51062,361,6970,0.4841,0.53334
12,12,1990,2nd Quintile,female,Important,0.39054,263,6970,0.3685,0.41158
13,13,1990,2nd Quintile,female,Less important,0.09883,62,6970,0.08655,0.11154
14,14,1990,3rd Quintile,male,Very important,0.32611,235,6970,0.30923,0.33985
15,15,1990,3rd Quintile,male,Important,0.43113,288,6970,0.41485,0.44822
16,16,1990,3rd Quintile,male,Less important,0.17374,108,6970,0.15769,0.19233
17,17,1990,3rd Quintile,male,Unimportant,0.06901,39,6970,0.0611,0.0751
18,18,1990,3rd Quintile,female,Very important,0.43878,337,6970,0.42031,0.46178
19,19,1990,3rd Quintile,female,Important,0.36956,259,6970,0.35026,0.38746
20,20,1990,3rd Quintile,female,Less important,0.12697,82,6970,0.1142,0.13888
21,21,1990,3rd Quintile,female,Unimportant,0.06469,36,6970,0.05482,0.07469
22,22,1990,4th Quintile,male,Very important,0.30164,261,6970,0.29212,0.31587
23,23,1990,4th Quintile,male,Important,0.42159,327,6970,0.40459,0.44165
24,24,1990,4th Quintile,male,Less important,0.20034,157,6970,0.18678,0.21373
25,25,1990,4th Quintile,male,Unimportant,0.07643,53,6970,0.06708,0.08607
26,26,1990,4th Quintile,female,Very important,0.40192,336,6970,0.38611,0.42166
27,27,1990,4th Quintile,female,Important,0.37771,295,6970,0.36127,0.39427
28,28,1990,4th Quintile,female,Less important,0.1429,108,6970,0.13053,0.15583
29,29,1990,4th Quintile,female,Unimportant,0.07747,45,6970,0.06951,0.08762
30,30,1990,5th Quintile,male,Very important,0.29694,261,6970,0.28335,0.31233
31,31,1990,5th Quintile,male,Important,0.41716,360,6970,0.39872,0.43339
32,32,1990,5th Quintile,male,Less important,0.19216,163,6970,0.18101,0.20616
33,33,1990,5th Quintile,male,Unimportant,0.09374,73,6970,0.08371,0.10464
34,34,1990,5th Quintile,female,Very important,0.37969,314,6970,0.35984,0.39984
35,35,1990,5th Quintile,female,Important,0.37457,289,6970,0.3571,0.39641
36,36,1990,5th Quintile,female,Less important,0.16528,127,6970,0.15077,0.17858
37,37,1990,5th Quintile,female,Unimportant,0.08046,62,6970,0.07173,0.09079
38,38,1992,1st Quintile,male,Very important,0.37675,415,10830,0.35408,0.39963
39,39,1992,1st Quintile,male,Important,0.3629,324,10830,0.33739,0.39337
40,40,1992,1st Quintile,male,Less important,0.15246,111,10830,0.13521,0.16921
41,41,1992,1st Quintile,male,Unimportant,0.1079,74,10830,0.09382,0.12427
42,42,1992,1st Quintile,female,Very important,0.4614,696,10830,0.43358,0.48186
43,43,1992,1st Quintile,female,Important,0.35667,408,10830,0.33564,0.378
44,44,1992,1st Quintile,female,Less important,0.07566,101,10830,0.06672,0.08408
45,45,1992,1st Quintile,female,Unimportant,0.10627,111,10830,0.09614,0.11656
46,46,1992,2nd Quintile,male,Very important,0.41919,507,10830,0.39246,0.44168
47,47,1992,2nd Quintile,male,Important,0.35913,353,10830,0.33468,0.38256
48,48,1992,2nd Quintile,male,Less important,0.14511,135,10830,0.1281,0.16114
49,49,1992,2nd Quintile,male,Unimportant,0.07657,67,10830,0.06576,0.08736
50,50,1992,2nd Quintile,female,Very important,0.49431,673,10830,0.46996,0.51511
51,51,1992,2nd Quintile,female,Important,0.34522,370,10830,0.32071,0.36906
52,52,1992,2nd Quintile,female,Less important,0.07802,84,10830,0.06529,0.08849
53,53,1992,2nd Quintile,female,Unimportant,0.08245,69,10830,0.0692,0.09428
54,54,1992,3rd Quintile,male,Very important,0.40067,432,10830,0.38144,0.42106
55,55,1992,3rd Quintile,male,Important,0.37563,357,10830,0.35427,0.39396
56,56,1992,3rd Quintile,male,Less important,0.15603,154,10830,0.14093,0.17186
