year,sex,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Very important,0.19251,1157,3375,0.17921,0.20582
1990,male,Important,0.25164,1411,3375,0.23700,0.26628
1990,male,Less important,0.10834,582,3375,0.09785,0.11883
1990,male,Unimportant,0.04567,225,3375,0.03862,0.05271
1990,female,Very important,0.25739,1618,3655,0.24321,0.27156
1990,female,Important,0.23834,1381,3655,0.22452,0.25215
1990,female,Less important,0.07984,441,3655,0.07105,0.08863
1990,female,Unimportant,0.04485,215,3655,0.03814,0.05156
1992,male,Very important,0.27480,2136,5158,0.26262,0.28699
1992,male,Important,0.28400,1869,5158,0.27170,0.29631
1992,male,Less important,0.12599,798,5158,0.11693,0.13505
1992,male,Unimportant,0.06072,355,5158,0.05421,0.06724
1992,female,Very important,0.35656,2932,5673,0.34410,0.36903
1992,female,Important,0.26689,1833,5673,0.25538,0.27840
1992,female,Less important,0.08324,553,5673,0.07605,0.09043
1992,female,Unimportant,0.06234,355,5673,0.05605,0.06863
1995,male,Very important,0.28681,2183,5279,0.27461,0.29902
1995,male,Important,0.28092,1961,5279,0.26879,0.29304
1995,male,Less important,0.12558,817,5279,0.11664,0.13452
1995,male,Unimportant,0.05555,318,5279,0.04937,0.06173
1995,female,Very important,0.37594,3050,5790,0.36346,0.38842
1995,female,Important,0.25844,1839,5790,0.24716,0.26972
1995,female,Less important,0.08157,567,5790,0.07452,0.08862
1995,female,Unimportant,0.05645,334,5790,0.05051,0.06240
2004,male,Very important,0.29190,3996,10197,0.28308,0.30073
2004,male,Important,0.31137,3839,10197,0.30238,0.32036
2004,male,Less important,0.14068,1671,10197,0.13393,0.14743
2004,male,Unimportant,0.06614,691,10197,0.06132,0.07097
2004,female,Very important,0.39084,5614,10978,0.38171,0.39997
2004,female,Important,0.28186,3616,10978,0.27345,0.29028
2004,female,Less important,0.08988,1156,10978,0.08453,0.09523
2004,female,Unimportant,0.05509,592,10978,0.05082,0.05936
2008,male,Very important,0.30907,3772,9082,0.29957,0.31858
2008,male,Important,0.29908,3391,9082,0.28966,0.30849
2008,male,Less important,0.13961,1324,9082,0.13249,0.14674
2008,male,Unimportant,0.06907,595,9082,0.06385,0.07429
2008,female,Very important,0.40711,5250,9949,0.39745,0.41676
2008,female,Important,0.27649,3244,9949,0.26770,0.28528
2008,female,Less important,0.09040,936,9949,0.08477,0.09604
2008,female,Unimportant,0.05470,519,9949,0.05023,0.05916
2012,male,Very important,0.31246,5756,12391,0.30430,0.32063
2012,male,Important,0.30534,4513,12391,0.29723,0.31345
2012,male,Less important,0.13165,1455,12391,0.12569,0.13760
2012,male,Unimportant,0.06881,667,12391,0.06436,0.07327
2012,female,Very important,0.40090,8503,14882,0.39303,0.40878
2012,female,Important,0.28295,4669,14882,0.27572,0.29019
2012,female,Less important,0.08567,1060,14882,0.08117,0.09017
2012,female,Unimportant,0.05802,650,14882,0.05427,0.06178
2016,male,Very important,0.33583,5382,10972,0.32699,0.34466
2016,male,Important,0.28481,3740,10972,0.27636,0.29325
2016,male,Less important,0.12840,1258,10972,0.12214,0.13466
2016,male,Unimportant,0.06406,592,10972,0.05948,0.06864
2016,female,Very important,0.43532,7742,13004,0.42679,0.44384
2016,female,Important,0.25548,3750,13004,0.24798,0.26297
2016,female,Less important,0.08064,927,13004,0.07596,0.08532
2016,female,Unimportant,0.05837,585,13004,0.05434,0.06240
2021,male,Very important,0.29882,3469,7964,0.28876,0.30887
2021,male,Important,0.29071,2787,7964,0.28074,0.30069
2021,male,Less important,0.14244,1152,7964,0.13476,0.15012
2021,male,Unimportant,0.06692,556,7964,0.06144,0.07241
2021,female,Very important,0.40154,4760,8969,0.39139,0.41168
2021,female,Important,0.26217,2829,8969,0.25306,0.27127
2021,female,Less important,0.08404,819,8969,0.07829,0.08978
2021,female,Unimportant,0.06698,561,8969,0.06181,0.07215
