year,age_gr,sampreg,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,West,Very important,0.27337,548,1849,0.25305,0.29369
1990,17-29 y.,West,Important,0.35765,671,1849,0.33580,0.37950
1990,17-29 y.,West,Less important,0.28629,489,1849,0.26568,0.30690
1990,17-29 y.,West,Unimportant,0.08269,141,1849,0.07013,0.09525
1990,30-45 y.,West,Very important,0.44988,982,2058,0.42838,0.47138
1990,30-45 y.,West,Important,0.34890,724,2058,0.32830,0.36950
1990,30-45 y.,West,Less important,0.14484,253,2058,0.12963,0.16004
1990,30-45 y.,West,Unimportant,0.05639,99,2058,0.04642,0.06636
1990,46-65 y.,West,Very important,0.38523,887,2146,0.36464,0.40583
1990,46-65 y.,West,Important,0.45221,961,2146,0.43114,0.47327
1990,46-65 y.,West,Less important,0.10745,206,2146,0.09435,0.12056
1990,46-65 y.,West,Unimportant,0.05511,92,2146,0.04545,0.06476
1990,66 and older,West,Very important,0.35127,358,977,0.32132,0.38122
1990,66 and older,West,Important,0.44468,436,977,0.41350,0.47586
1990,66 and older,West,Less important,0.07988,75,977,0.06287,0.09689
1990,66 and older,West,Unimportant,0.12417,108,977,0.10348,0.14486
1992,17-29 y.,West,Very important,0.29914,586,1781,0.27787,0.32042
1992,17-29 y.,West,Important,0.34005,612,1781,0.31804,0.36206
1992,17-29 y.,West,Less important,0.26461,435,1781,0.24412,0.28510
1992,17-29 y.,West,Unimportant,0.09620,148,1781,0.08250,0.10989
1992,17-29 y.,East,Very important,0.41600,363,899,0.38376,0.44823
1992,17-29 y.,East,Important,0.30253,278,899,0.27248,0.33257
1992,17-29 y.,East,Less important,0.21800,194,899,0.19099,0.24500
1992,17-29 y.,East,Unimportant,0.06348,64,899,0.04753,0.07943
1992,30-45 y.,West,Very important,0.48425,1112,2167,0.46321,0.50530
1992,30-45 y.,West,Important,0.30986,664,2167,0.29038,0.32933
1992,30-45 y.,West,Less important,0.15415,288,2167,0.13894,0.16935
1992,30-45 y.,West,Unimportant,0.05174,103,2167,0.04241,0.06107
1992,30-45 y.,East,Very important,0.66727,1015,1404,0.64262,0.69193
1992,30-45 y.,East,Important,0.24041,327,1404,0.21804,0.26277
