year,age_gr,sex,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,male,Very important,0.17047,187,934,0.14634,0.19460
1990,17-29 y.,male,Important,0.38203,356,934,0.35086,0.41321
1990,17-29 y.,male,Less important,0.34054,298,934,0.31013,0.37094
1990,17-29 y.,male,Unimportant,0.10695,93,934,0.08712,0.12679
1990,17-29 y.,female,Very important,0.38133,361,915,0.34984,0.41282
1990,17-29 y.,female,Important,0.33207,315,915,0.30153,0.36260
1990,17-29 y.,female,Less important,0.22937,191,915,0.20211,0.25663
1990,17-29 y.,female,Unimportant,0.05724,48,915,0.04218,0.07229
1990,30-45 y.,male,Very important,0.40647,435,1014,0.37622,0.43672
1990,30-45 y.,male,Important,0.37449,388,1014,0.34469,0.40430
1990,30-45 y.,male,Less important,0.15656,137,1014,0.13418,0.17894
1990,30-45 y.,male,Unimportant,0.06248,54,1014,0.04757,0.07738
1990,30-45 y.,female,Very important,0.49453,547,1044,0.46419,0.52487
1990,30-45 y.,female,Important,0.32257,336,1044,0.29420,0.35094
1990,30-45 y.,female,Less important,0.13277,116,1044,0.11218,0.15337
1990,30-45 y.,female,Unimportant,0.05012,45,1044,0.03688,0.06337
1990,46-65 y.,male,Very important,0.35614,400,1041,0.32703,0.38524
1990,46-65 y.,male,Important,0.45630,477,1041,0.42603,0.48657
1990,46-65 y.,male,Less important,0.12633,116,1041,0.10613,0.14652
1990,46-65 y.,male,Unimportant,0.06124,48,1041,0.04667,0.07581
1990,46-65 y.,female,Very important,0.41317,487,1105,0.38412,0.44221
1990,46-65 y.,female,Important,0.44828,484,1105,0.41894,0.47761
1990,46-65 y.,female,Less important,0.08934,90,1105,0.07251,0.10616
1990,46-65 y.,female,Unimportant,0.04922,44,1105,0.03646,0.06198
1990,66 and older,male,Very important,0.33640,135,356,0.28725,0.38555
1990,66 and older,male,Important,0.50213,190,356,0.45012,0.55414
1990,66 and older,male,Less important,0.07465,31,356,0.04731,0.10199
1990,66 and older,female,Very important,0.35939,223,591,0.32067,0.39811
1990,66 and older,female,Important,0.41330,246,591,0.37357,0.45304
1990,66 and older,female,Less important,0.08274,44,591,0.06051,0.10497
1990,66 and older,female,Unimportant,0.14457,78,591,0.11619,0.17294
1992,17-29 y.,male,Very important,0.22770,329,1316,0.20503,0.25036
1992,17-29 y.,male,Important,0.34346,455,1316,0.31780,0.36913
1992,17-29 y.,male,Less important,0.31341,394,1316,0.28833,0.33848
1992,17-29 y.,male,Unimportant,0.11543,138,1316,0.09816,0.13271
1992,17-29 y.,female,Very important,0.42812,620,1364,0.40186,0.45439
1992,17-29 y.,female,Important,0.31923,435,1364,0.29448,0.34398
1992,17-29 y.,female,Less important,0.19175,235,1364,0.17085,0.21265
1992,17-29 y.,female,Unimportant,0.06089,74,1364,0.04820,0.07359
1992,30-45 y.,male,Very important,0.47109,944,1753,0.44771,0.49446
1992,30-45 y.,male,Important,0.31792,530,1753,0.29611,0.33972
1992,30-45 y.,male,Less important,0.14950,198,1753,0.13280,0.16620
1992,30-45 y.,male,Unimportant,0.06149,81,1753,0.05024,0.07274
1992,30-45 y.,female,Very important,0.57684,1183,1844,0.55429,0.59940
1992,30-45 y.,female,Important,0.27155,461,1844,0.25124,0.29186
1992,30-45 y.,female,Less important,0.12027,152,1844,0.10542,0.13512
1992,30-45 y.,female,Unimportant,0.03134,48,1844,0.02338,0.03929
1992,46-65 y.,male,Very important,0.39281,690,1572,0.36866,0.41696
1992,46-65 y.,male,Important,0.42421,640,1572,0.39977,0.44865
1992,46-65 y.,male,Less important,0.11815,161,1572,0.10218,0.13411
1992,46-65 y.,male,Unimportant,0.06484,81,1572,0.05266,0.07701
1992,46-65 y.,female,Very important,0.47941,825,1624,0.45510,0.50371
1992,46-65 y.,female,Important,0.38163,595,1624,0.35799,0.40526
1992,46-65 y.,female,Less important,0.07171,110,1624,0.05916,0.08426
1992,46-65 y.,female,Unimportant,0.06726,94,1624,0.05507,0.07944
1992,66 and older,male,Very important,0.32382,173,517,0.28345,0.36420
1992,66 and older,male,Important,0.48057,244,517,0.43746,0.52368
1992,66 and older,male,Less important,0.08883,45,517,0.06428,0.11338
1992,66 and older,male,Unimportant,0.10678,55,517,0.08013,0.13342
1992,66 and older,female,Very important,0.33846,304,841,0.30646,0.37046
1992,66 and older,female,Important,0.41568,342,841,0.38235,0.44901
1992,66 and older,female,Less important,0.06833,56,841,0.05126,0.08539
1992,66 and older,female,Unimportant,0.17753,139,841,0.15169,0.20338
1995,17-29 y.,male,Very important,0.21342,296,1263,0.19082,0.23603
1995,17-29 y.,male,Important,0.36887,464,1263,0.34225,0.39549
1995,17-29 y.,male,Less important,0.31898,383,1263,0.29326,0.34469
1995,17-29 y.,male,Unimportant,0.09873,120,1263,0.08228,0.11519
1995,17-29 y.,female,Very important,0.39736,558,1331,0.37106,0.42366
1995,17-29 y.,female,Important,0.32817,429,1331,0.30294,0.35341
1995,17-29 y.,female,Less important,0.21467,270,1331,0.19261,0.23674
1995,17-29 y.,female,Unimportant,0.05979,74,1331,0.04705,0.07253
1995,30-45 y.,male,Very important,0.44229,943,1873,0.41979,0.46479
1995,30-45 y.,male,Important,0.33100,609,1873,0.30968,0.35232
1995,30-45 y.,male,Less important,0.16982,249,1873,0.15281,0.18683
1995,30-45 y.,male,Unimportant,0.05689,72,1873,0.04639,0.06738
1995,30-45 y.,female,Very important,0.59991,1274,1992,0.57839,0.62143
1995,30-45 y.,female,Important,0.24786,493,1992,0.22889,0.26682
1995,30-45 y.,female,Less important,0.10055,150,1992,0.08734,0.11376
1995,30-45 y.,female,Unimportant,0.05168,75,1992,0.04195,0.06140
1995,46-65 y.,male,Very important,0.42197,728,1608,0.39782,0.44612
1995,46-65 y.,male,Important,0.39992,655,1608,0.37597,0.42387
1995,46-65 y.,male,Less important,0.11114,147,1608,0.09577,0.12650
1995,46-65 y.,male,Unimportant,0.06697,78,1608,0.05475,0.07920
1995,46-65 y.,female,Very important,0.48467,842,1600,0.46017,0.50916
1995,46-65 y.,female,Important,0.37606,576,1600,0.35232,0.39981
1995,46-65 y.,female,Less important,0.06862,90,1600,0.05623,0.08101
1995,46-65 y.,female,Unimportant,0.07065,92,1600,0.05809,0.08321
1995,66 and older,male,Very important,0.40143,216,535,0.35985,0.44300
1995,66 and older,male,Important,0.42651,233,535,0.38456,0.46846
1995,66 and older,male,Less important,0.07787,38,535,0.05514,0.10060
1995,66 and older,male,Unimportant,0.09419,48,535,0.06942,0.11897
1995,66 and older,female,Very important,0.41510,376,867,0.38228,0.44792
1995,66 and older,female,Important,0.39452,341,867,0.36197,0.42707
1995,66 and older,female,Less important,0.07640,57,867,0.05871,0.09409
1995,66 and older,female,Unimportant,0.11398,93,867,0.09281,0.13514
2004,17-29 y.,male,Very important,0.18410,347,1871,0.16653,0.20166
2004,17-29 y.,male,Important,0.35508,665,1871,0.33339,0.37677
2004,17-29 y.,male,Less important,0.33740,642,1871,0.31597,0.35883
2004,17-29 y.,male,Unimportant,0.12342,217,1871,0.10851,0.13833
2004,17-29 y.,female,Very important,0.34773,697,2009,0.32690,0.36856
2004,17-29 y.,female,Important,0.36216,728,2009,0.34113,0.38318
2004,17-29 y.,female,Less important,0.21880,445,2009,0.20072,0.23689
2004,17-29 y.,female,Unimportant,0.07131,139,2009,0.06006,0.08257
2004,30-45 y.,male,Very important,0.42574,1441,3103,0.40834,0.44314
2004,30-45 y.,male,Important,0.33710,1028,3103,0.32047,0.35374
2004,30-45 y.,male,Less important,0.16847,465,3103,0.15530,0.18164
2004,30-45 y.,male,Unimportant,0.06870,169,3103,0.05979,0.07760
2004,30-45 y.,female,Very important,0.57178,2024,3365,0.55506,0.58850
2004,30-45 y.,female,Important,0.26332,869,3365,0.24844,0.27821
2004,30-45 y.,female,Less important,0.11104,337,3365,0.10043,0.12166
2004,30-45 y.,female,Unimportant,0.05385,135,3365,0.04623,0.06148
