"plh0110","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","17-34","kein Migrationshintergrund","875","0.337188730208535","0.318450001367564","0.355927459049506"
"1 Sehr wichtig","1990","17-34","direkter Migrationshintergrund","52","0.362369210387298","0.276721513186466","0.448016907588131"
"1 Sehr wichtig","1990","17-34","indirekter Migrationshintergrund","","","",""
"1 Sehr wichtig","1990","35-65","kein Migrationshintergrund","1352","0.397514980706859","0.380513777899074","0.414516183514643"
"1 Sehr wichtig","1990","35-65","direkter Migrationshintergrund","119","0.417005734626426","0.356369197990512","0.47764227126234"
"1 Sehr wichtig","1990","35-65","indirekter Migrationshintergrund","","","",""
"1 Sehr wichtig","1990","66 +","kein Migrationshintergrund","333","0.351707954219153","0.320734535475432","0.382681372962875"
"1 Sehr wichtig","1990","66 +","direkter Migrationshintergrund","","","",""
"1 Sehr wichtig","1990","66 +","indirekter Migrationshintergrund","","","",""
"2 Wichtig","1990","17-34","kein Migrationshintergrund","843","0.339281524494628","0.320514432181345","0.358048616807912"
"2 Wichtig","1990","17-34","direkter Migrationshintergrund","38","0.320993174510806","0.237809064447023","0.40417728457459"
"2 Wichtig","1990","17-34","indirekter Migrationshintergrund","","","",""
"2 Wichtig","1990","35-65","kein Migrationshintergrund","1357","0.426903860002452","0.409720481591192","0.444087238413712"
"2 Wichtig","1990","35-65","direkter Migrationshintergrund","102","0.439411488268953","0.378375071047548","0.500447905490359"
"2 Wichtig","1990","35-65","indirekter Migrationshintergrund","","","",""
"2 Wichtig","1990","66 +","kein Migrationshintergrund","410","0.447795124000842","0.415539718875149","0.480050529126535"
"2 Wichtig","1990","66 +","direkter Migrationshintergrund","","","",""
"2 Wichtig","1990","66 +","indirekter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","17-34","kein Migrationshintergrund","566","0.253833572299278","0.236583097912028","0.271084046686529"
"3 Weniger wichtig","1990","17-34","direkter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","17-34","indirekter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","35-65","kein Migrationshintergrund","321","0.114611668167241","0.103545147849353","0.125678188485129"
"3 Weniger wichtig","1990","35-65","direkter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","35-65","indirekter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","66 +","kein Migrationshintergrund","72","0.0815594704301225","0.0638063204918254","0.0993126203684197"
"3 Weniger wichtig","1990","66 +","direkter Migrationshintergrund","","","",""
"3 Weniger wichtig","1990","66 +","indirekter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","17-34","kein Migrationshintergrund","161","0.0696961729975586","0.0596030508552107","0.0797892951399065"
"4 Ganz unwichtig","1990","17-34","direkter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","17-34","indirekter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","35-65","kein Migrationshintergrund","153","0.0609694911234478","0.0526571011824212","0.0692818810644744"
"4 Ganz unwichtig","1990","35-65","direkter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","35-65","indirekter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","66 +","kein Migrationshintergrund","98","0.118937451349883","0.097939574380342","0.139935328319423"
"4 Ganz unwichtig","1990","66 +","direkter Migrationshintergrund","","","",""
"4 Ganz unwichtig","1990","66 +","indirekter Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","17-34","kein Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","17-34","direkter Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","17-34","indirekter Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","35-65","kein Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","35-65","direkter Migrationshintergrund","","","",""
"1 Sehr wichtig","1991","35-65","indirekter Migrationshintergrund","","","",""
