"plh0110","year","sampreg","n","percent","lower_confidence","upper_confidence","NA"
"1 Sehr wichtig","1990","Westdeutschland","2775","0.370652662747034","0.359362526309942","0.381942799184125",""
"1 Sehr wichtig","1990","Ostdeutschland","","","","",""
"2 Wichtig","1990","Westdeutschland","2792","0.401512587827698","0.390053566666559","0.412971608988838",""
"2 Wichtig","1990","Ostdeutschland","","","","",""
"3 Weniger wichtig","1990","Westdeutschland","1023","0.153608962127803","0.145180191530188","0.162037732725418",""
"3 Weniger wichtig","1990","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1990","Westdeutschland","440","0.0742257872974652","0.068098046666825","0.0803535279281054",""
"4 Ganz unwichtig","1990","Ostdeutschland","","","","",""
"1 Sehr wichtig","1991","Westdeutschland","","","","",""
"1 Sehr wichtig","1991","Ostdeutschland","","","","",""
"2 Wichtig","1991","Westdeutschland","","","","",""
"2 Wichtig","1991","Ostdeutschland","","","","",""
"3 Weniger wichtig","1991","Westdeutschland","","","","",""
"3 Weniger wichtig","1991","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1991","Westdeutschland","","","","",""
"4 Ganz unwichtig","1991","Ostdeutschland","","","","",""
"1 Sehr wichtig","1992","Westdeutschland","2940","0.395925009976816","0.384411651221259","0.407438368732373",""
"1 Sehr wichtig","1992","Ostdeutschland","2128","0.499818219896566","0.484125950215194","0.515510489577939",""
"2 Wichtig","1992","Westdeutschland","2530","0.376120199401655","0.364716022833352","0.387524375969958",""
"2 Wichtig","1992","Ostdeutschland","1172","0.316254856192113","0.301660615098962","0.330849097285265",""
"3 Weniger wichtig","1992","Westdeutschland","986","0.146123978635382","0.137808097083168","0.154439860187596",""
"3 Weniger wichtig","1992","Ostdeutschland","365","0.104853908776565","0.095238781005811","0.114469036547319",""
"4 Ganz unwichtig","1992","Westdeutschland","475","0.0818308119861466","0.0753776891924795","0.0882839347798136",""
"4 Ganz unwichtig","1992","Ostdeutschland","235","0.0790730151347552","0.0706038122552323","0.0875422180142781",""
"1 Sehr wichtig","1993","Westdeutschland","","","","",""
"1 Sehr wichtig","1993","Ostdeutschland","","","","",""
