"plh0110","year","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","Schleswig-Holstein","112","0.428971210903977","0.367620279240553","0.490322142567402"
"1 Sehr wichtig","1990","Hamburg","34","0.238541640174369","0.163828280745881","0.313254999602857"
"1 Sehr wichtig","1990","Niedersachsen","353","0.402892320832587","0.369584485152419","0.436200156512756"
"1 Sehr wichtig","1990","Bremen","35","0.402941339323603","0.298050427201273","0.507832251445932"
"1 Sehr wichtig","1990","Nordrhein-Westfalen","778","0.384406758717053","0.362539242285264","0.406274275148842"
"1 Sehr wichtig","1990","Hessen","213","0.307302556696056","0.272156712826977","0.342448400565134"
"1 Sehr wichtig","1990","Rheinland-Pfalz,Saarland","231","0.364253071257058","0.324253582387019","0.404252560127096"
"1 Sehr wichtig","1990","Baden-Wuerttemberg","486","0.406222756881811","0.377713259262145","0.434732254501476"
"1 Sehr wichtig","1990","Bayern","469","0.352503456489342","0.326061125334153","0.378945787644531"
"1 Sehr wichtig","1990","Saarland","","","",""
"1 Sehr wichtig","1990","Berlin","64","0.266176409481275","0.208428343005248","0.323924475957303"
"1 Sehr wichtig","1990","Brandenburg","","","",""
"1 Sehr wichtig","1990","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1990","Sachsen","","","",""
"1 Sehr wichtig","1990","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1990","Thueringen","","","",""
"2 Wichtig","1990","Schleswig-Holstein","84","0.334417970964523","0.2759357733291","0.392900168599945"
"2 Wichtig","1990","Hamburg","50","0.433889412156557","0.347006724007101","0.520772100306013"
"2 Wichtig","1990","Niedersachsen","309","0.384846532412718","0.35180492875455","0.417888136070886"
"2 Wichtig","1990","Bremen","31","0.37612872824143","0.272537210861349","0.47972024562151"
"2 Wichtig","1990","Nordrhein-Westfalen","746","0.397002598431523","0.375008233451372","0.418996963411673"
"2 Wichtig","1990","Hessen","283","0.424947943913063","0.387291392680168","0.462604495145958"
"2 Wichtig","1990","Rheinland-Pfalz,Saarland","220","0.417066970804096","0.37608216083906","0.458051780769132"
"2 Wichtig","1990","Baden-Wuerttemberg","444","0.386930239137576","0.358657561009465","0.415202917265687"
"2 Wichtig","1990","Bayern","531","0.425354703153844","0.397990999988859","0.45271840631883"
"2 Wichtig","1990","Saarland","","","",""
"2 Wichtig","1990","Berlin","94","0.412848472873254","0.348516440681571","0.477180505064936"
"2 Wichtig","1990","Brandenburg","","","",""
"2 Wichtig","1990","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1990","Sachsen","","","",""
"2 Wichtig","1990","Sachsen-Anhalt","","","",""
"2 Wichtig","1990","Thueringen","","","",""
"3 Weniger wichtig","1990","Schleswig-Holstein","42","0.187012197150746","0.138677937808743","0.235346456492749"
"3 Weniger wichtig","1990","Hamburg","22","","",""
"3 Weniger wichtig","1990","Niedersachsen","114","0.134366483538683","0.111206507920399","0.157526459156967"
"3 Weniger wichtig","1990","Bremen","7","","",""
"3 Weniger wichtig","1990","Nordrhein-Westfalen","291","0.164314750563031","0.147656987640423","0.18097251348564"
"3 Weniger wichtig","1990","Hessen","115","0.175217852173956","0.146259229736393","0.204176474611519"
"3 Weniger wichtig","1990","Rheinland-Pfalz,Saarland","69","0.140602340431918","0.111708580937547","0.169496099926289"
"3 Weniger wichtig","1990","Baden-Wuerttemberg","148","0.137206346583447","0.117233671520234","0.15717902164666"
"3 Weniger wichtig","1990","Bayern","172","0.145050370635667","0.125559600108484","0.16454114116285"
"3 Weniger wichtig","1990","Saarland","","","",""
"3 Weniger wichtig","1990","Berlin","43","0.205121750320726","0.152360753081486","0.257882747559966"
"3 Weniger wichtig","1990","Brandenburg","","","",""
"3 Weniger wichtig","1990","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1990","Sachsen","","","",""
"3 Weniger wichtig","1990","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1990","Thueringen","","","",""
"4 Ganz unwichtig","1990","Schleswig-Holstein","12","","",""
"4 Ganz unwichtig","1990","Hamburg","19","","",""
"4 Ganz unwichtig","1990","Niedersachsen","57","0.077894663216011","0.0596947335324258","0.0960945928995962"
"4 Ganz unwichtig","1990","Bremen","11","","",""
"4 Ganz unwichtig","1990","Nordrhein-Westfalen","86","0.0542758922883932","0.0440913210922241","0.0644604634845622"
"4 Ganz unwichtig","1990","Hessen","51","0.0925316472169249","0.0704577006394334","0.114605593794416"
"4 Ganz unwichtig","1990","Rheinland-Pfalz,Saarland","36","0.0780776175069284","0.0557767811429767","0.10037845387088"
"4 Ganz unwichtig","1990","Baden-Wuerttemberg","62","0.0696406573971662","0.0548648079291108","0.0844165068652216"
"4 Ganz unwichtig","1990","Bayern","82","0.0770914697211467","0.0623282251123745","0.091854714329919"
"4 Ganz unwichtig","1990","Saarland","","","",""
"4 Ganz unwichtig","1990","Berlin","24","","",""
"4 Ganz unwichtig","1990","Brandenburg","","","",""
"4 Ganz unwichtig","1990","Mecklenburg-Vorpommern","","","",""
"4 Ganz unwichtig","1990","Sachsen","","","",""
"4 Ganz unwichtig","1990","Sachsen-Anhalt","","","",""
"4 Ganz unwichtig","1990","Thueringen","","","",""
"1 Sehr wichtig","1991","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1991","Hamburg","","","",""
"1 Sehr wichtig","1991","Niedersachsen","","","",""
"1 Sehr wichtig","1991","Bremen","","","",""
"1 Sehr wichtig","1991","Nordrhein-Westfalen","","","",""
"1 Sehr wichtig","1991","Hessen","","","",""
"1 Sehr wichtig","1991","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1991","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1991","Bayern","","","",""
"1 Sehr wichtig","1991","Saarland","","","",""
"1 Sehr wichtig","1991","Berlin","","","",""
"1 Sehr wichtig","1991","Brandenburg","","","",""
"1 Sehr wichtig","1991","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1991","Sachsen","","","",""
