year,migback,regtyp,plh0110,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Urban regions,Very important,0.36038,1903,4966,0.34703,0.37373
1990,No migration background,Urban regions,Important,0.39917,1974,4966,0.38555,0.41279
1990,No migration background,Urban regions,Less important,0.16097,761,4966,0.15075,0.17119
1990,No migration background,Urban regions,Unimportant,0.07948,328,4966,0.07195,0.08700
1990,No migration background,Rural regions,Very important,0.39796,658,1576,0.37378,0.42213
1990,No migration background,Rural regions,Important,0.40946,636,1576,0.38517,0.43375
1990,No migration background,Rural regions,Less important,0.13445,198,1576,0.11760,0.15130
1990,No migration background,Rural regions,Unimportant,0.05813,84,1576,0.04658,0.06969
1990,Direct migration background,Urban regions,Very important,0.41020,167,344,0.35815,0.46226
1990,Direct migration background,Urban regions,Important,0.39605,133,344,0.34429,0.44781
1990,Direct migration background,Urban regions,Less important,0.13486,44,344,0.09871,0.17101
1990,Direct migration background,Rural regions,Important,0.45598,32,32,0.28065,0.63131
1992,No migration background,No answer / don't know,Very important,0.58341,70,70,0.46709,0.69974
1992,No migration background,Urban regions,Very important,0.39539,2679,6100,0.38312,0.40766
1992,No migration background,Urban regions,Important,0.36874,2146,6100,0.35663,0.38085
1992,No migration background,Urban regions,Less important,0.14506,828,6100,0.13622,0.15390
1992,No migration background,Urban regions,Unimportant,0.09081,447,6100,0.08360,0.09802
1992,No migration background,Rural regions,Very important,0.45379,2017,3974,0.43831,0.46927
1992,No migration background,Rural regions,Important,0.35973,1316,3974,0.34480,0.37465
1992,No migration background,Rural regions,Less important,0.12144,428,3974,0.11128,0.13160
1992,No migration background,Rural regions,Unimportant,0.06504,213,3974,0.05737,0.07271
1992,Direct migration background,Urban regions,Very important,0.47537,198,372,0.42456,0.52619
1992,Direct migration background,Urban regions,Important,0.32679,127,372,0.27906,0.37451
1992,Direct migration background,Urban regions,Less important,0.13798,47,372,0.10289,0.17307
1992,Direct migration background,Rural regions,Very important,0.45330,82,146,0.37227,0.53433
1992,Direct migration background,Rural regions,Important,0.39053,64,146,0.31112,0.46994
1995,No migration background,Urban regions,Very important,0.41488,2653,5886,0.40229,0.42747
1995,No migration background,Urban regions,Important,0.35686,2037,5886,0.34462,0.36910
1995,No migration background,Urban regions,Less important,0.14598,808,5886,0.13695,0.15500
1995,No migration background,Urban regions,Unimportant,0.08228,388,5886,0.07526,0.08930
1995,No migration background,Rural regions,Very important,0.45631,1931,3933,0.44074,0.47187
1995,No migration background,Rural regions,Important,0.36351,1360,3933,0.34848,0.37855
1995,No migration background,Rural regions,Less important,0.11886,441,3933,0.10874,0.12898
1995,No migration background,Rural regions,Unimportant,0.06132,201,3933,0.05382,0.06882
1995,Direct migration background,Urban regions,Very important,0.52006,461,844,0.48633,0.55378
1995,Direct migration background,Urban regions,Important,0.31523,271,844,0.28386,0.34659
1995,Direct migration background,Urban regions,Less important,0.11133,78,844,0.09010,0.13257
1995,Direct migration background,Urban regions,Unimportant,0.05338,34,844,0.03821,0.06856
1995,Direct migration background,Rural regions,Very important,0.50812,145,231,0.44351,0.57273
1995,Direct migration background,Rural regions,Important,0.30236,86,231,0.24300,0.36172
1995,Indirect migration background,Urban regions,Very important,0.30150,37,75,0.19694,0.40606
1995,Indirect migration background,Urban regions,Important,0.34337,38,75,0.23518,0.45155
2004,No migration background,Urban regions,Very important,0.40462,5046,11351,0.39559,0.41365
2004,No migration background,Urban regions,Important,0.35881,3947,11351,0.34998,0.36763
2004,No migration background,Urban regions,Less important,0.15223,1589,11351,0.14562,0.15884
2004,No migration background,Urban regions,Unimportant,0.08434,769,11351,0.07923,0.08945
