year,hhtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.02095,33,1433,0.01353,0.02837
1996,Single-person household,No,0.97905,1400,1433,0.97163,0.98647
1996,Couple without children,Yes,0.05863,114,1840,0.04789,0.06936
1996,Couple without children,No,0.94137,1726,1840,0.93064,0.95211
1996,Single parent,Yes,0.09989,36,387,0.06997,0.12980
1996,Single parent,No,0.90011,351,387,0.87020,0.93003
1996,Couple with children,Yes,0.14174,363,2686,0.12855,0.15493
1996,Couple with children,No,0.85826,2323,2686,0.84507,0.87145
1996,Multi-generational household,No,0.86691,108,108,0.80255,0.93127
1996,Other Combinations,No,0.87051,137,137,0.81408,0.92694
2001,Single-person household,Yes,0.02904,86,2926,0.02295,0.03512
2001,Single-person household,No,0.97096,2840,2926,0.96488,0.97705
2001,Couple without children,Yes,0.05938,249,3589,0.05165,0.06711
2001,Couple without children,No,0.94062,3340,3589,0.93289,0.94835
2001,Single parent,Yes,0.12660,89,706,0.10205,0.15114
2001,Single parent,No,0.87340,617,706,0.84886,0.89795
2001,Couple with children,Yes,0.15025,613,4175,0.13941,0.16109
2001,Couple with children,No,0.84975,3562,4175,0.83891,0.86059
2001,Multi-generational household,No,0.84540,140,140,0.78530,0.90550
2001,Other Combinations,No,0.91972,117,117,0.87028,0.96917
2006,Single-person household,Yes,0.02061,85,3288,0.01576,0.02547
2006,Single-person household,No,0.97939,3203,3288,0.97453,0.98424
2006,Couple without children,Yes,0.05783,254,4158,0.05074,0.06493
2006,Couple without children,No,0.94217,3904,4158,0.93507,0.94926
2006,Single parent,Yes,0.15048,112,772,0.12524,0.17572
2006,Single parent,No,0.84952,660,772,0.82428,0.87476
2006,Couple with children,Yes,0.18489,695,3837,0.17261,0.19718
2006,Couple with children,No,0.81511,3142,3837,0.80282,0.82739
2006,Multi-generational household,No,0.86196,91,91,0.79070,0.93323
2006,Other Combinations,No,0.93448,98,98,0.88523,0.98372
2011,Single-person household,Yes,0.02857,107,3510,0.02306,0.03408
2011,Single-person household,No,0.97143,3403,3510,0.96592,0.97694
2011,Couple without children,Yes,0.05051,227,4371,0.04402,0.05700
2011,Couple without children,No,0.94949,4144,4371,0.94300,0.95598
2011,Single parent,Yes,0.10768,99,784,0.08597,0.12940
2011,Single parent,No,0.89232,685,784,0.87060,0.91403
2011,Couple with children,Yes,0.16523,587,3240,0.15244,0.17802
2011,Couple with children,No,0.83477,2653,3240,0.82198,0.84756
2011,Multi-generational household,No,0.91207,75,75,0.84754,0.97659
2011,Other Combinations,No,0.92892,88,88,0.87492,0.98291
2016,Single-person household,Yes,0.01066,47,3388,0.00720,0.01412
2016,Single-person household,No,0.98934,3341,3388,0.98588,0.99280
2016,Couple without children,Yes,0.02037,83,4096,0.01604,0.02469
2016,Couple without children,No,0.97963,4013,4096,0.97531,0.98396
2016,Single parent,Yes,0.05035,67,1524,0.03937,0.06134
2016,Single parent,No,0.94965,1457,1524,0.93866,0.96063
2016,Couple with children,Yes,0.04587,237,4990,0.04007,0.05168
2016,Couple with children,No,0.95413,4753,4990,0.94832,0.95993
2016,Multi-generational household,No,0.94453,103,103,0.90011,0.98895
2016,Other Combinations,No,0.98850,193,193,0.97341,1.00358
2021,No answer / don't know,No,0.99188,57,57,0.96836,1.01539
2021,Single-person household,Yes,0.01136,43,3188,0.00768,0.01504
2021,Single-person household,No,0.98864,3145,3188,0.98496,0.99232
2021,Couple without children,Yes,0.02487,92,3414,0.01965,0.03010
2021,Couple without children,No,0.97513,3322,3414,0.96990,0.98035
2021,Single parent,Yes,0.05328,53,896,0.03857,0.06800
2021,Single parent,No,0.94672,843,896,0.93200,0.96143
2021,Couple with children,Yes,0.05899,196,3162,0.05078,0.06721
2021,Couple with children,No,0.94101,2966,3162,0.93279,0.94922
2021,Multi-generational household,No,0.90045,71,71,0.83031,0.97059
2021,Other Combinations,No,0.95596,254,254,0.93068,0.98124
