year,quintil_oecd_hh,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,2nd Quintile,Urban regions,Yes,0.06716,111,1331,0.05371,0.08061
2006,2nd Quintile,Urban regions,No,0.93284,1220,1331,0.91939,0.94629
2006,2nd Quintile,Rural regions,Yes,0.12017,128,891,0.09880,0.14153
2006,2nd Quintile,Rural regions,No,0.87983,763,891,0.85847,0.90120
2006,3rd Quintile,Urban regions,Yes,0.09057,144,1498,0.07603,0.10510
2006,3rd Quintile,Urban regions,No,0.90943,1354,1498,0.89490,0.92397
2006,3rd Quintile,Rural regions,Yes,0.11324,109,889,0.09239,0.13408
2006,3rd Quintile,Rural regions,No,0.88676,780,889,0.86592,0.90761
2006,4th Quintile,Urban regions,Yes,0.07501,169,1686,0.06244,0.08759
2006,4th Quintile,Urban regions,No,0.92499,1517,1686,0.91241,0.93756
2006,4th Quintile,Rural regions,Yes,0.09562,88,807,0.07532,0.11592
2006,4th Quintile,Rural regions,No,0.90438,719,807,0.88408,0.92468
2006,5th Quintile,Urban regions,Yes,0.04943,135,2318,0.04060,0.05825
2006,5th Quintile,Urban regions,No,0.95057,2183,2318,0.94175,0.95940
2006,5th Quintile,Rural regions,Yes,0.07486,70,743,0.05592,0.09379
2006,5th Quintile,Rural regions,No,0.92514,673,743,0.90621,0.94408
2011,1st Quintile,Urban regions,Yes,0.03889,100,1387,0.02871,0.04907
2011,1st Quintile,Urban regions,No,0.82490,1287,1387,0.80489,0.84491
2011,1st Quintile,Rural regions,Yes,0.06931,83,868,0.05240,0.08621
2011,1st Quintile,Rural regions,No,0.80492,785,868,0.77855,0.83130
2011,2nd Quintile,Urban regions,Yes,0.05421,101,1332,0.04204,0.06637
2011,2nd Quintile,Urban regions,No,0.85335,1231,1332,0.83435,0.87236
2011,2nd Quintile,Rural regions,Yes,0.06781,92,907,0.05144,0.08418
2011,2nd Quintile,Rural regions,No,0.82187,815,907,0.79695,0.84679
2011,3rd Quintile,Urban regions,Yes,0.06325,123,1450,0.05071,0.07578
2011,3rd Quintile,Urban regions,No,0.86570,1327,1450,0.84815,0.88326
2011,3rd Quintile,Rural regions,Yes,0.09138,117,925,0.07280,0.10996
2011,3rd Quintile,Rural regions,No,0.84971,808,925,0.82667,0.87275
2011,4th Quintile,Urban regions,Yes,0.05679,137,1637,0.04557,0.06800
2011,4th Quintile,Urban regions,No,0.89297,1500,1637,0.87798,0.90795
2011,4th Quintile,Rural regions,Yes,0.09069,92,799,0.07076,0.11061
2011,4th Quintile,Rural regions,No,0.85822,707,799,0.83402,0.88242
2011,5th Quintile,Urban regions,Yes,0.04410,128,2064,0.03524,0.05295
2011,5th Quintile,Urban regions,No,0.91981,1936,2064,0.90809,0.93153
2011,5th Quintile,Rural regions,Yes,0.08902,63,712,0.06809,0.10995
2011,5th Quintile,Rural regions,No,0.88029,649,712,0.85643,0.90415
2016,1st Quintile,Urban regions,Yes,0.01638,56,1987,0.01080,0.02196
2016,1st Quintile,Urban regions,No,0.95585,1931,1987,0.94682,0.96489
2016,1st Quintile,Rural regions,Yes,0.02770,45,1109,0.01804,0.03736
2016,1st Quintile,Rural regions,No,0.94895,1064,1109,0.93599,0.96191
2016,2nd Quintile,Urban regions,Yes,0.01371,40,1849,0.00841,0.01901
2016,2nd Quintile,Urban regions,No,0.98629,1809,1849,0.98099,0.99159
2016,2nd Quintile,Rural regions,Yes,0.05047,69,1192,0.03804,0.06290
2016,2nd Quintile,Rural regions,No,0.94953,1123,1192,0.93710,0.96196
2016,3rd Quintile,Urban regions,Yes,0.02376,53,1725,0.01657,0.03095
2016,3rd Quintile,Urban regions,No,0.97624,1672,1725,0.96905,0.98343
2016,3rd Quintile,Rural regions,Yes,0.03338,33,1018,0.02234,0.04442
2016,3rd Quintile,Rural regions,No,0.96662,985,1018,0.95558,0.97766
2016,4th Quintile,Urban regions,Yes,0.02379,53,1761,0.01667,0.03090
2016,4th Quintile,Urban regions,No,0.97621,1708,1761,0.96910,0.98333
2016,4th Quintile,Rural regions,Yes,0.02736,34,901,0.01670,0.03802
2016,4th Quintile,Rural regions,No,0.97264,867,901,0.96198,0.98330
2016,5th Quintile,Urban regions,Yes,0.01442,35,2049,0.00925,0.01958
2016,5th Quintile,Urban regions,No,0.98505,2014,2049,0.97980,0.99031
2016,5th Quintile,Rural regions,No,0.96544,682,682,0.95172,0.97916
2021,1st Quintile,Urban regions,No,0.93781,1324,1324,0.92480,0.95082
2021,1st Quintile,Rural regions,No,0.95242,670,670,0.93628,0.96855
2021,2nd Quintile,Urban regions,Yes,0.02036,33,1332,0.01278,0.02795
2021,2nd Quintile,Urban regions,No,0.97088,1299,1332,0.96185,0.97992
2021,2nd Quintile,Rural regions,Yes,0.03375,43,852,0.02162,0.04588
2021,2nd Quintile,Rural regions,No,0.96300,809,852,0.95032,0.97568
2021,3rd Quintile,Urban regions,Yes,0.02661,46,1299,0.01786,0.03537
2021,3rd Quintile,Urban regions,No,0.97137,1253,1299,0.96229,0.98044
2021,3rd Quintile,Rural regions,Yes,0.04729,46,725,0.03183,0.06275
2021,3rd Quintile,Rural regions,No,0.95158,679,725,0.93595,0.96722
2021,4th Quintile,Urban regions,Yes,0.03016,51,1396,0.02118,0.03913
2021,4th Quintile,Urban regions,No,0.96874,1345,1396,0.95961,0.97787
2021,4th Quintile,Rural regions,Yes,0.05918,40,682,0.04146,0.07690
2021,4th Quintile,Rural regions,No,0.94041,642,682,0.92263,0.95819
2021,5th Quintile,Urban regions,Yes,0.02077,57,2018,0.01454,0.02699
2021,5th Quintile,Urban regions,No,0.97643,1961,2018,0.96981,0.98305
2021,5th Quintile,Rural regions,Yes,0.04220,35,691,0.02720,0.05720
2021,5th Quintile,Rural regions,No,0.94937,656,691,0.93301,0.96573
