year,regtyp,sampreg,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Urban regions,West,Yes,0.06496,268,3769,0.05709,0.07283
1996,Urban regions,West,No,0.93504,3501,3769,0.92717,0.94291
1996,Urban regions,East,Yes,0.11397,83,638,0.08929,0.13864
1996,Urban regions,East,No,0.88603,555,638,0.86136,0.91071
1996,Rural regions,West,Yes,0.07285,88,1023,0.05691,0.08878
1996,Rural regions,West,No,0.92715,935,1023,0.91122,0.94309
1996,Rural regions,East,Yes,0.09642,146,1200,0.07971,0.11312
1996,Rural regions,East,No,0.90358,1054,1200,0.88688,0.92029
2001,Urban regions,West,Yes,0.06328,496,6828,0.05751,0.06906
2001,Urban regions,West,No,0.93672,6332,6828,0.93094,0.94249
2001,Urban regions,East,Yes,0.09736,106,955,0.07855,0.11617
2001,Urban regions,East,No,0.90264,849,955,0.88383,0.92145
2001,Rural regions,West,Yes,0.08922,199,2009,0.07675,0.10169
2001,Rural regions,West,No,0.91078,1810,2009,0.89831,0.92325
2001,Rural regions,East,Yes,0.12318,263,1888,0.10835,0.13801
2001,Rural regions,East,No,0.87682,1625,1888,0.86199,0.89165
2006,Urban regions,West,Yes,0.06919,583,7176,0.06332,0.07506
2006,Urban regions,West,No,0.93081,6593,7176,0.92494,0.93668
2006,Urban regions,East,Yes,0.07093,87,992,0.05495,0.08691
2006,Urban regions,East,No,0.92907,905,992,0.91309,0.94505
2006,Rural regions,West,Yes,0.09726,237,2161,0.08477,0.10976
2006,Rural regions,West,No,0.90274,1924,2161,0.89024,0.91523
2006,Rural regions,East,Yes,0.11717,260,1936,0.10284,0.13150
2006,Rural regions,East,No,0.88283,1676,1936,0.86850,0.89716
2011,Urban regions,West,Yes,0.05302,488,6851,0.04771,0.05833
2011,Urban regions,West,No,0.94698,6363,6851,0.94167,0.95229
2011,Urban regions,East,Yes,0.07728,101,1022,0.06090,0.09366
2011,Urban regions,East,No,0.92272,921,1022,0.90634,0.93910
2011,Rural regions,West,Yes,0.07251,217,2341,0.06200,0.08301
2011,Rural regions,West,No,0.92749,2124,2341,0.91699,0.93800
2011,Rural regions,East,Yes,0.11366,230,1870,0.09927,0.12805
2011,Rural regions,East,No,0.88634,1640,1870,0.87195,0.90073
2016,Urban regions,West,Yes,0.01748,201,8254,0.01465,0.02030
2016,Urban regions,West,No,0.98252,8053,8254,0.97970,0.98535
2016,Urban regions,East,Yes,0.02749,36,1122,0.01792,0.03707
2016,Urban regions,East,No,0.97251,1086,1122,0.96293,0.98208
2016,Rural regions,West,Yes,0.02217,90,2973,0.01687,0.02746
2016,Rural regions,West,No,0.97783,2883,2973,0.97254,0.98313
2016,Rural regions,East,Yes,0.05827,114,1952,0.04788,0.06867
2016,Rural regions,East,No,0.94173,1838,1952,0.93133,0.95212
2021,Urban regions,West,Yes,0.02246,183,6511,0.01886,0.02606
2021,Urban regions,West,No,0.97754,6328,6511,0.97394,0.98114
2021,Urban regions,East,No,0.97432,868,868,0.96379,0.98485
2021,Rural regions,West,Yes,0.02940,89,2153,0.02226,0.03653
2021,Rural regions,West,No,0.97060,2064,2153,0.96347,0.97774
2021,Rural regions,East,Yes,0.05966,96,1493,0.04764,0.07168
2021,Rural regions,East,No,0.94034,1397,1493,0.92832,0.95236
