,Unnamed: 0,year,regtyp,pet_other,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Urban regions,Yes,0.06973,351,6630,0.06461,0.07564
1,1,1996,Urban regions,No,0.93027,4045,6630,0.90883,0.95176
2,2,1996,Rural regions,Yes,0.08151,234,6630,0.07526,0.08913
3,3,1996,Rural regions,No,0.91849,2000,6630,0.89004,0.94804
4,4,2001,Urban regions,Yes,0.0665,601,11680,0.06304,0.0699
5,5,2001,Urban regions,No,0.9335,7166,11680,0.92215,0.94684
6,6,2001,Rural regions,Yes,0.10257,463,11680,0.09768,0.10814
7,7,2001,Rural regions,No,0.89743,3450,11680,0.88015,0.91437
8,8,2006,Urban regions,Yes,0.06955,670,12265,0.06487,0.07417
9,9,2006,Urban regions,No,0.93045,7476,12265,0.91483,0.9457
10,10,2006,Rural regions,Yes,0.10451,497,12265,0.09717,0.11293
11,11,2006,Rural regions,No,0.89549,3622,12265,0.87531,0.91822
12,12,2011,Urban regions,Yes,0.05553,589,12084,0.0511,0.06046
13,13,2011,Urban regions,No,0.94447,7270,12084,0.92476,0.96039
14,14,2011,Rural regions,Yes,0.08772,447,12084,0.08068,0.09678
15,15,2011,Rural regions,No,0.91228,3778,12084,0.88786,0.9353
16,16,2016,Urban regions,Yes,0.01837,237,14301,0.01521,0.02119
17,17,2016,Urban regions,No,0.98163,9127,14301,0.95925,1.00232
18,18,2016,Rural regions,Yes,0.03533,204,14301,0.02998,0.04103
19,19,2016,Rural regions,No,0.96467,4733,14301,0.93489,0.99802
20,20,2021,Urban regions,Yes,0.02262,212,11055,0.019,0.02695
21,21,2021,Urban regions,No,0.97738,7188,11055,0.95015,1.00574
22,22,2021,Rural regions,Yes,0.04118,186,11055,0.03405,0.04842
23,23,2021,Rural regions,No,0.95882,3469,11055,0.91519,1.00037
