,Unnamed: 0,year,hhtyp,sampreg,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,West,No,1.0,1073,6516,0.9677,1.03434
1,1,1996,Single-person household,East,No,1.0,336,6516,0.96101,1.04086
2,2,1996,Couple without children,West,Yes,0.03527,52,6516,0.03002,0.04185
3,3,1996,Couple without children,West,No,0.96473,1254,6516,0.92935,0.99502
4,4,1996,Couple without children,East,No,1.0,509,6516,0.95255,1.04189
5,5,1996,Single parent,West,No,1.0,263,6516,0.9303,1.08413
6,6,1996,Single parent,East,No,1.0,99,6516,0.91478,1.08829
7,7,1996,Couple with children,West,Yes,0.0742,138,6516,0.06624,0.08184
8,8,1996,Couple with children,West,No,0.9258,1784,6516,0.89244,0.95717
9,9,1996,Couple with children,East,Yes,0.10914,84,6516,0.09543,0.12507
10,10,1996,Couple with children,East,No,0.89086,680,6516,0.85526,0.93299
11,11,1996,Multi-generational household,West,No,1.0,94,6516,0.83398,1.18845
12,12,1996,Other Combinations,West,No,1.0,97,6516,0.85658,1.12931
13,13,1996,Other Combinations,East,No,1.0,53,6516,0.81728,1.16662
14,14,2001,Single-person household,West,Yes,0.01595,39,11557,0.01381,0.01783
15,15,2001,Single-person household,West,No,0.98405,2181,11557,0.9654,1.00177
16,16,2001,Single-person household,East,No,1.0,689,11557,0.97002,1.02478
17,17,2001,Couple without children,West,Yes,0.04152,112,11557,0.03873,0.04512
18,18,2001,Couple without children,West,No,0.95848,2552,11557,0.93813,0.97702
19,19,2001,Couple without children,East,Yes,0.06811,65,11557,0.05886,0.07655
20,20,2001,Couple without children,East,No,0.93189,860,11557,0.90216,0.96316
21,21,2001,Single parent,West,No,1.0,489,11557,0.94459,1.05864
22,22,2001,Single parent,East,No,1.0,177,11557,0.91756,1.09162
23,23,2001,Couple with children,West,Yes,0.09979,305,11557,0.09232,0.10686
24,24,2001,Couple with children,West,No,0.90021,2903,11557,0.87993,0.91871
25,25,2001,Couple with children,East,Yes,0.15229,138,11557,0.13931,0.16848
26,26,2001,Couple with children,East,No,0.84771,829,11557,0.81297,0.88366
27,27,2001,Multi-generational household,West,No,1.0,125,11557,0.90003,1.09821
28,28,2001,Other Combinations,West,No,1.0,93,11557,0.89638,1.09955
29,29,2006,Single-person household,West,Yes,0.01822,54,12172,0.01574,0.02087
30,30,2006,Single-person household,West,No,0.98178,2418,12172,0.9583,1.00365
31,31,2006,Single-person household,East,Yes,0.03099,31,12172,0.02398,0.03841
32,32,2006,Single-person household,East,No,0.96901,785,12172,0.92678,1.00463
33,33,2006,Couple without children,West,Yes,0.04917,162,12172,0.04396,0.05507
34,34,2006,Couple without children,West,No,0.95083,2970,12172,0.92147,0.97925
35,35,2006,Couple without children,East,Yes,0.07139,66,12172,0.05887,0.08728
36,36,2006,Couple without children,East,No,0.92861,960,12172,0.88647,0.97466
37,37,2006,Single parent,West,No,1.0,562,12172,0.94019,1.05271
38,38,2006,Single parent,East,No,1.0,170,12172,0.89984,1.09696
39,39,2006,Couple with children,West,Yes,0.09902,294,12172,0.09021,0.1083
40,40,2006,Couple with children,West,No,0.90098,2690,12172,0.87731,0.92949
41,41,2006,Couple with children,East,Yes,0.17774,126,12172,0.1538,0.21133
42,42,2006,Couple with children,East,No,0.82226,727,12172,0.77221,0.87726
43,43,2006,Multi-generational household,West,No,1.0,75,12172,0.83094,1.21109
44,44,2006,Other Combinations,West,No,1.0,82,12172,0.81653,1.17925
45,45,2011,Single-person household,West,Yes,0.021,59,11974,0.01811,0.02443
46,46,2011,Single-person household,West,No,0.979,2563,11974,0.95488,1.00099
47,47,2011,Single-person household,East,No,1.0,865,11974,0.95253,1.03887
48,48,2011,Couple without children,West,Yes,0.04374,157,11974,0.03726,0.04876
49,49,2011,Couple without children,West,No,0.95626,3124,11974,0.9288,0.98661
50,50,2011,Couple without children,East,Yes,0.07182,76,11974,0.05978,0.08435
51,51,2011,Couple without children,East,No,0.92818,1014,11974,0.88352,0.98194
52,52,2011,Single parent,West,No,1.0,561,11974,0.91284,1.09295
53,53,2011,Single parent,East,No,1.0,183,11974,0.89624,1.15036
54,54,2011,Couple with children,West,Yes,0.10167,269,11974,0.08703,0.11673
55,55,2011,Couple with children,West,No,0.89833,2297,11974,0.85755,0.94233
56,56,2011,Couple with children,East,Yes,0.14229,94,11974,0.11208,0.17396
57,57,2011,Couple with children,East,No,0.85771,580,11974,0.78511,0.94057
58,58,2011,Multi-generational household,West,No,1.0,60,11974,0.77607,1.29625
59,59,2011,Other Combinations,West,No,1.0,72,11974,0.83549,1.24194
60,60,2016,Single-person household,West,No,1.0,2508,14198,0.96942,1.02942
61,61,2016,Single-person household,East,No,1.0,837,14198,0.92725,1.05222
62,62,2016,Couple without children,West,Yes,0.02947,99,14198,0.02394,0.03536
63,63,2016,Couple without children,West,No,0.97053,2986,14198,0.9374,1.00125
64,64,2016,Couple without children,East,Yes,0.0558,61,14198,0.04519,0.072
65,65,2016,Couple without children,East,No,0.9442,951,14198,0.88511,1.01175
66,66,2016,Single parent,West,Yes,0.02867,42,14198,0.02165,0.03742
67,67,2016,Single parent,West,No,0.97133,1146,14198,0.90965,1.03827
68,68,2016,Single parent,East,Yes,0.0895,31,14198,0.05892,0.12237
