year,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Yes,0.04283,364,6631,0.03796,0.04770
1996,No,0.95717,6267,6631,0.95230,0.96204
2001,Yes,0.05270,732,11680,0.04865,0.05675
2001,No,0.94730,10948,11680,0.94325,0.95135
2006,Yes,0.05426,786,12265,0.05025,0.05827
2006,No,0.94574,11479,12265,0.94173,0.94975
2011,Yes,0.04860,725,12084,0.04477,0.05243
2011,No,0.95140,11359,12084,0.94757,0.95523
2016,Yes,0.03574,687,14302,0.03270,0.03878
2016,No,0.96426,13615,14302,0.96122,0.96730
2021,Yes,0.03292,469,11056,0.02959,0.03625
2021,No,0.96708,10587,11056,0.96375,0.97041
