year,bula_h,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,West,No,0.99487,148,148,0.98331,1.00642
1996,Lower Saxony,West,No,0.95367,502,502,0.93526,0.97207
1996,Bremen,West,No,0.97276,51,51,0.92763,1.01788
1996,North Rhine-Westphalia,West,Yes,0.03805,56,1289,0.02760,0.04850
1996,North Rhine-Westphalia,West,No,0.96195,1233,1289,0.95150,0.97240
1996,Hesse,West,No,0.96972,448,448,0.95383,0.98560
1996,"Rhineland-Palatinate, Saarland",West,No,0.95526,330,330,0.93291,0.97760
1996,Baden-Wuerttemberg,West,Yes,0.03112,38,840,0.01937,0.04287
1996,Baden-Wuerttemberg,West,No,0.96888,802,840,0.95713,0.98063
1996,Bavaria,West,Yes,0.05223,51,861,0.03736,0.06710
1996,Bavaria,West,No,0.94777,810,861,0.93290,0.96264
1996,Berlin,West,No,0.92881,160,160,0.88884,0.96878
1996,Berlin,East,No,0.92388,124,124,0.87701,0.97075
1996,Brandenburg,East,No,0.94341,280,280,0.91629,0.97052
1996,Mecklenburg-Western Pomerania,East,No,0.96296,189,189,0.93597,0.98996
1996,Saxony,East,Yes,0.06714,41,548,0.04617,0.08811
1996,Saxony,East,No,0.93286,507,548,0.91189,0.95383
1996,Saxony-Anhalt,East,No,0.93640,304,304,0.90893,0.96388
1996,Thuringa,East,No,0.94330,298,298,0.91700,0.96960
2001,Schleswig-Holstein,West,No,0.96376,349,349,0.94413,0.98340
2001,Hamburg,West,No,0.98939,178,178,0.97429,1.00448
2001,Lower Saxony,West,Yes,0.06728,63,961,0.05143,0.08312
2001,Lower Saxony,West,No,0.93272,898,961,0.91688,0.94857
2001,Bremen,West,No,0.96098,93,93,0.92141,1.00055
2001,North Rhine-Westphalia,West,Yes,0.05188,144,2485,0.04316,0.06061
2001,North Rhine-Westphalia,West,No,0.94812,2341,2485,0.93939,0.95684
2001,Hesse,West,Yes,0.04660,45,779,0.03179,0.06141
