year,hhtyp,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,1st Quintile,No,0.98803,418,418,0.97759,0.99847
1996,Single-person household,2nd Quintile,No,0.98952,289,289,0.97775,1.00128
1996,Single-person household,3rd Quintile,No,0.98954,271,271,0.97740,1.00168
1996,Single-person household,4th Quintile,No,0.98194,240,240,0.96506,0.99882
1996,Single-person household,5th Quintile,No,0.98804,187,187,0.97241,1.00366
1996,Couple without children,1st Quintile,No,0.97513,217,217,0.95436,0.99590
1996,Couple without children,2nd Quintile,No,0.95568,303,303,0.93247,0.97889
1996,Couple without children,3rd Quintile,No,0.96569,369,369,0.94709,0.98429
1996,Couple without children,4th Quintile,No,0.95640,409,409,0.93658,0.97621
1996,Couple without children,5th Quintile,No,0.96480,464,464,0.94802,0.98159
1996,Single parent,1st Quintile,No,0.96071,156,156,0.93013,0.99130
1996,Single parent,2nd Quintile,No,0.95243,77,77,0.90457,1.00028
1996,Single parent,3rd Quintile,No,0.94669,52,52,0.88503,1.00835
1996,Single parent,4th Quintile,No,0.89423,45,45,0.80336,0.98510
1996,Single parent,5th Quintile,No,0.90048,32,32,0.79510,1.00586
1996,Couple with children,1st Quintile,Yes,0.06452,40,541,0.04380,0.08524
1996,Couple with children,1st Quintile,No,0.93548,501,541,0.91476,0.95620
1996,Couple with children,2nd Quintile,Yes,0.11064,70,659,0.08667,0.13461
1996,Couple with children,2nd Quintile,No,0.88936,589,659,0.86539,0.91333
1996,Couple with children,3rd Quintile,Yes,0.08500,48,613,0.06290,0.10709
1996,Couple with children,3rd Quintile,No,0.91500,565,613,0.89291,0.93710
1996,Couple with children,4th Quintile,Yes,0.06613,35,505,0.04443,0.08782
1996,Couple with children,4th Quintile,No,0.93387,470,505,0.91218,0.95557
1996,Couple with children,5th Quintile,No,0.92926,339,339,0.90192,0.95659
1996,Multi-generational household,2nd Quintile,No,0.92245,31,31,0.82673,1.01816
1996,Other Combinations,3rd Quintile,No,0.96743,37,37,0.90944,1.02542
1996,Other Combinations,4th Quintile,No,0.90525,35,35,0.80680,1.00369
1996,Other Combinations,5th Quintile,No,0.90993,31,31,0.80749,1.01237
2001,Single-person household,1st Quintile,No,0.98737,814,814,0.97970,0.99505
2001,Single-person household,2nd Quintile,No,0.98747,595,595,0.97852,0.99641
2001,Single-person household,3rd Quintile,No,0.97416,530,530,0.96064,0.98768
2001,Single-person household,4th Quintile,No,0.97560,482,482,0.96181,0.98939
2001,Single-person household,5th Quintile,No,0.98933,446,446,0.97979,0.99888
2001,Couple without children,1st Quintile,No,0.97499,400,400,0.95967,0.99031
2001,Couple without children,2nd Quintile,Yes,0.06372,42,624,0.04454,0.08290
2001,Couple without children,2nd Quintile,No,0.93628,582,624,0.91710,0.95546
2001,Couple without children,3rd Quintile,Yes,0.04391,33,732,0.02906,0.05876
2001,Couple without children,3rd Quintile,No,0.95609,699,732,0.94124,0.97094
2001,Couple without children,4th Quintile,Yes,0.05807,53,843,0.04227,0.07387
2001,Couple without children,4th Quintile,No,0.94193,790,843,0.92613,0.95773
2001,Couple without children,5th Quintile,Yes,0.03851,39,980,0.02646,0.05057
2001,Couple without children,5th Quintile,No,0.96149,941,980,0.94943,0.97354
2001,Single parent,1st Quintile,No,0.93444,276,276,0.90518,0.96369
2001,Single parent,2nd Quintile,No,0.97367,167,167,0.94931,0.99803
2001,Single parent,3rd Quintile,No,0.95251,105,105,0.91164,0.99339
2001,Single parent,4th Quintile,No,0.93581,69,69,0.87755,0.99406
2001,Single parent,5th Quintile,No,0.99193,49,49,0.96662,1.01724
2001,Couple with children,1st Quintile,Yes,0.12480,70,642,0.09922,0.15039
2001,Couple with children,1st Quintile,No,0.87520,572,642,0.84961,0.90078
2001,Couple with children,2nd Quintile,Yes,0.11260,115,995,0.09295,0.13225
2001,Couple with children,2nd Quintile,No,0.88740,880,995,0.86775,0.90705
2001,Couple with children,3rd Quintile,Yes,0.11670,119,996,0.09675,0.13665
2001,Couple with children,3rd Quintile,No,0.88330,877,996,0.86335,0.90325
2001,Couple with children,4th Quintile,Yes,0.10376,85,896,0.08378,0.12373
2001,Couple with children,4th Quintile,No,0.89624,811,896,0.87627,0.91622
2001,Couple with children,5th Quintile,Yes,0.08652,54,646,0.06482,0.10822
2001,Couple with children,5th Quintile,No,0.91348,592,646,0.89178,0.93518
2001,Multi-generational household,2nd Quintile,No,0.92500,41,41,0.84337,1.00663
2006,Single-person household,1st Quintile,No,0.98133,825,825,0.97209,0.99057
2006,Single-person household,2nd Quintile,No,0.98617,635,635,0.97708,0.99526
2006,Single-person household,3rd Quintile,No,0.97171,586,586,0.95828,0.98515
2006,Single-person household,4th Quintile,No,0.96877,569,569,0.95447,0.98308
2006,Single-person household,5th Quintile,No,0.98747,584,584,0.97844,0.99650
2006,Couple without children,1st Quintile,No,0.96055,406,406,0.94159,0.97951
2006,Couple without children,2nd Quintile,No,0.96150,639,639,0.94657,0.97643
