,Unnamed: 0,year,bula_h,hhtyp,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,Single-person household,No,1.0,38,5788,0.85911,1.13411
1,1,1996,Schleswig-Holstein,Couple without children,No,1.0,43,5788,0.85964,1.1703
2,2,1996,Schleswig-Holstein,Couple with children,No,1.0,55,5788,0.86212,1.14996
3,3,1996,Hamburg,Single-person household,No,1.0,43,5788,0.85376,1.1322
4,4,1996,Lower Saxony,Single-person household,No,1.0,112,5788,0.91518,1.11991
5,5,1996,Lower Saxony,Couple without children,No,1.0,150,5788,0.91702,1.06371
6,6,1996,Lower Saxony,Single parent,No,1.0,31,5788,0.77982,1.22634
7,7,1996,Lower Saxony,Couple with children,No,1.0,183,5788,0.91642,1.10349
8,8,1996,North Rhine-Westphalia,Single-person household,No,1.0,286,5788,0.94367,1.05759
9,9,1996,North Rhine-Westphalia,Couple without children,No,1.0,326,5788,0.90869,1.0826
10,10,1996,North Rhine-Westphalia,Single parent,No,1.0,75,5788,0.82982,1.17467
11,11,1996,North Rhine-Westphalia,Couple with children,Yes,0.08208,39,5788,0.06584,0.10027
12,12,1996,North Rhine-Westphalia,Couple with children,No,0.91792,501,5788,0.86638,0.98305
13,13,1996,Hesse,Single-person household,No,1.0,99,5788,0.87442,1.11974
14,14,1996,Hesse,Couple without children,No,1.0,141,5788,0.88733,1.12263
15,15,1996,Hesse,Couple with children,No,1.0,172,5788,0.86685,1.11285
16,16,1996,"Rhineland-Palatinate, Saarland",Single-person household,No,1.0,62,5788,0.88309,1.14459
17,17,1996,"Rhineland-Palatinate, Saarland",Couple without children,No,1.0,96,5788,0.87329,1.10723
18,18,1996,"Rhineland-Palatinate, Saarland",Couple with children,No,1.0,132,5788,0.89616,1.11419
19,19,1996,Baden-Wuerttemberg,Single-person household,No,1.0,170,5788,0.90196,1.10045
20,20,1996,Baden-Wuerttemberg,Couple without children,No,1.0,206,5788,0.91033,1.09051
21,21,1996,Baden-Wuerttemberg,Single parent,No,1.0,41,5788,0.78893,1.23806
22,22,1996,Baden-Wuerttemberg,Couple with children,No,1.0,343,5788,0.89797,1.10837
23,23,1996,Bavaria,Single-person household,No,1.0,193,5788,0.92671,1.08701
24,24,1996,Bavaria,Couple without children,No,1.0,217,5788,0.90816,1.08932
25,25,1996,Bavaria,Single parent,No,1.0,46,5788,0.79563,1.22799
26,26,1996,Bavaria,Couple with children,No,1.0,321,5788,0.92189,1.07638
27,27,1996,Berlin,Single-person household,No,1.0,86,5788,0.90031,1.1221
28,28,1996,Berlin,Couple without children,No,1.0,73,5788,0.86758,1.13371
29,29,1996,Berlin,Couple with children,No,1.0,95,5788,0.83793,1.1682
30,30,1996,Brandenburg,Single-person household,No,1.0,59,5788,0.88718,1.10101
31,31,1996,Brandenburg,Couple without children,No,1.0,82,5788,0.91392,1.09126
32,32,1996,Brandenburg,Couple with children,No,1.0,102,5788,0.90778,1.09934
33,33,1996,Mecklenburg-Western Pomerania,Single-person household,No,1.0,36,5788,0.87664,1.1297
34,34,1996,Mecklenburg-Western Pomerania,Couple without children,No,1.0,57,5788,0.8871,1.12317
35,35,1996,Mecklenburg-Western Pomerania,Couple with children,No,1.0,80,5788,0.90039,1.11002
