,Unnamed: 0,year,hhtyp,regtyp,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,Urban regions,No,1.0,992,6567,0.96913,1.03659
1,1,1996,Single-person household,Rural regions,No,1.0,417,6567,0.94232,1.0637
2,2,1996,Couple without children,Urban regions,Yes,0.03295,47,6567,0.02773,0.03789
3,3,1996,Couple without children,Urban regions,No,0.96705,1184,6567,0.92966,0.99849
4,4,1996,Couple without children,Rural regions,Yes,0.04708,31,6567,0.03736,0.06039
5,5,1996,Couple without children,Rural regions,No,0.95292,579,6567,0.9055,1.00621
6,6,1996,Single parent,Urban regions,No,1.0,243,6567,0.91163,1.08843
7,7,1996,Single parent,Rural regions,No,1.0,119,6567,0.90358,1.12975
8,8,1996,Couple with children,Urban regions,Yes,0.07699,130,6567,0.06955,0.08636
9,9,1996,Couple with children,Urban regions,No,0.92301,1597,6567,0.88636,0.95721
10,10,1996,Couple with children,Rural regions,Yes,0.08871,92,6567,0.07809,0.10334
11,11,1996,Couple with children,Rural regions,No,0.91129,867,6567,0.85796,0.95744
12,12,1996,Multi-generational household,Urban regions,No,1.0,74,6567,0.81116,1.26422
13,13,1996,Multi-generational household,Rural regions,No,1.0,45,6567,0.75227,1.26756
14,14,1996,Other Combinations,Urban regions,No,1.0,89,6567,0.86936,1.12694
15,15,1996,Other Combinations,Rural regions,No,1.0,61,6567,0.82637,1.18643
16,16,2001,Single-person household,Urban regions,Yes,0.01803,41,11609,0.01579,0.02071
17,17,2001,Single-person household,Urban regions,No,0.98197,2018,11609,0.96293,1.00024
18,18,2001,Single-person household,Rural regions,No,1.0,852,11609,0.97191,1.03357
19,19,2001,Couple without children,Urban regions,Yes,0.04676,115,11609,0.04198,0.05154
20,20,2001,Couple without children,Urban regions,No,0.95324,2259,11609,0.93492,0.97517
21,21,2001,Couple without children,Rural regions,Yes,0.04616,62,11609,0.0412,0.05123
22,22,2001,Couple without children,Rural regions,No,0.95384,1153,11609,0.92071,0.98793
23,23,2001,Single parent,Urban regions,No,1.0,442,11609,0.95384,1.05794
24,24,2001,Single parent,Rural regions,No,1.0,224,11609,0.9124,1.09625
25,25,2001,Couple with children,Urban regions,Yes,0.09998,255,11609,0.09294,0.1065
26,26,2001,Couple with children,Urban regions,No,0.90002,2425,11609,0.87516,0.92347
27,27,2001,Couple with children,Rural regions,Yes,0.12719,188,11609,0.11502,0.13998
28,28,2001,Couple with children,Rural regions,No,0.87281,1307,11609,0.84873,0.90342
29,29,2001,Multi-generational household,Urban regions,No,1.0,100,11609,0.90937,1.11892
30,30,2001,Multi-generational household,Rural regions,No,1.0,48,11609,0.83845,1.19396
31,31,2001,Other Combinations,Urban regions,No,1.0,80,11609,0.88978,1.11532
32,32,2001,Other Combinations,Rural regions,No,1.0,40,11609,0.83898,1.23288
33,33,2006,Single-person household,Urban regions,Yes,0.01485,42,12212,0.01179,0.01744
34,34,2006,Single-person household,Urban regions,No,0.98515,2215,12212,0.96029,1.00632
35,35,2006,Single-person household,Rural regions,Yes,0.03522,43,12212,0.02983,0.04139
36,36,2006,Single-person household,Rural regions,No,0.96478,988,12212,0.92915,0.99672
37,37,2006,Couple without children,Urban regions,Yes,0.05029,149,12212,0.0442,0.05654
