year,quintil_oecd_hh,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,2nd Quintile,Tenant,No,0.97164,1439,1503,0.96324,0.98003
2021,3rd Quintile,Owner,Yes,0.05817,53,927,0.04309,0.07324
2021,3rd Quintile,Owner,No,0.94183,874,927,0.92676,0.95691
2021,3rd Quintile,Tenant,Yes,0.03031,37,1097,0.02016,0.04046
2021,3rd Quintile,Tenant,No,0.96969,1060,1097,0.95954,0.97984
2021,4th Quintile,Owner,Yes,0.04237,61,1211,0.03102,0.05372
2021,4th Quintile,Owner,No,0.95763,1150,1211,0.94628,0.96898
2021,4th Quintile,Tenant,No,0.98373,841,841,0.97518,0.99229
2021,5th Quintile,Owner,Yes,0.04328,102,1988,0.03433,0.05223
2021,5th Quintile,Owner,No,0.95672,1886,1988,0.94777,0.96567
2021,5th Quintile,Tenant,No,0.98753,700,700,0.97930,0.99576
