year,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.03889,228,4793,0.03341,0.04436
1996,West,No,0.96111,4565,4793,0.95564,0.96659
1996,East,Yes,0.06054,136,1838,0.04963,0.07144
1996,East,No,0.93946,1702,1838,0.92856,0.95037
2001,West,Yes,0.04820,494,8837,0.04373,0.05266
2001,West,No,0.95180,8343,8837,0.94734,0.95627
2001,East,Yes,0.07236,238,2843,0.06284,0.08189
2001,East,No,0.92764,2605,2843,0.91811,0.93716
2006,West,Yes,0.04836,540,9337,0.04401,0.05271
2006,West,No,0.95164,8797,9337,0.94729,0.95599
2006,East,Yes,0.07986,246,2928,0.07004,0.08968
2006,East,No,0.92014,2682,2928,0.91032,0.92996
2011,West,Yes,0.04186,515,9192,0.03777,0.04596
2011,West,No,0.88043,8677,9192,0.87380,0.88707
2011,East,Yes,0.05834,210,2892,0.04979,0.06688
2011,East,No,0.87019,2682,2892,0.85793,0.88244
2016,West,Yes,0.03110,478,11228,0.02789,0.03431
2016,West,No,0.96364,10750,11228,0.96017,0.96710
2016,East,Yes,0.05587,209,3074,0.04775,0.06399
2016,East,No,0.93868,2865,3074,0.93019,0.94716
2021,West,Yes,0.02906,326,8665,0.02552,0.03259
2021,West,No,0.95929,8339,8665,0.95512,0.96345
2021,East,Yes,0.04919,143,2391,0.04052,0.05786
2021,East,No,0.94128,2248,2391,0.93186,0.95071
