,Unnamed: 0,year,regtyp,sampreg,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Urban regions,West,Yes,0.03666,169,6631,0.03357,0.04
1,1,1996,Urban regions,West,No,0.96334,3590,6631,0.93776,0.98639
2,2,1996,Urban regions,East,Yes,0.06733,49,6631,0.05693,0.07925
3,3,1996,Urban regions,East,No,0.93267,589,6631,0.88713,0.97201
4,4,1996,Rural regions,West,Yes,0.04642,59,6631,0.03889,0.05576
5,5,1996,Rural regions,West,No,0.95358,975,6631,0.91787,0.99741
6,6,1996,Rural regions,East,Yes,0.05668,87,6631,0.05008,0.06379
7,7,1996,Rural regions,East,No,0.94332,1113,6631,0.90628,0.97264
8,8,2001,Urban regions,West,Yes,0.04764,373,11680,0.04441,0.05064
9,9,2001,Urban regions,West,No,0.95236,6439,11680,0.93817,0.96501
10,10,2001,Urban regions,East,Yes,0.06409,70,11680,0.05496,0.0722
11,11,2001,Urban regions,East,No,0.93591,885,11680,0.89964,0.96659
12,12,2001,Rural regions,West,Yes,0.05006,121,11680,0.04473,0.05676
13,13,2001,Rural regions,West,No,0.94994,1904,11680,0.92818,0.97558
14,14,2001,Rural regions,East,Yes,0.0767,168,11680,0.07149,0.08286
15,15,2001,Rural regions,East,No,0.9233,1720,11680,0.89866,0.94951
16,16,2006,Urban regions,West,Yes,0.04543,398,12265,0.04142,0.04928
17,17,2006,Urban regions,West,No,0.95457,6756,12265,0.93771,0.97113
18,18,2006,Urban regions,East,Yes,0.054,62,12265,0.04356,0.06659
19,19,2006,Urban regions,East,No,0.946,930,12265,0.90183,0.98715
20,20,2006,Rural regions,West,Yes,0.05794,142,12265,0.05195,0.0652
21,21,2006,Rural regions,West,No,0.94206,2041,12265,0.91466,0.97001
22,22,2006,Rural regions,East,Yes,0.09357,184,12265,0.08363,0.10456
23,23,2006,Rural regions,East,No,0.90643,1752,12265,0.87462,0.93675
24,24,2011,Urban regions,West,Yes,0.04587,375,12084,0.04124,0.05034
25,25,2011,Urban regions,West,No,0.95413,6462,12084,0.93578,0.97608
26,26,2011,Urban regions,East,Yes,0.05252,68,12084,0.04109,0.06344
27,27,2011,Urban regions,East,No,0.94748,954,12084,0.89177,0.99926
28,28,2011,Rural regions,West,Yes,0.04418,140,12084,0.03837,0.05254
29,29,2011,Rural regions,West,No,0.95582,2215,12084,0.91603,0.98986
30,30,2011,Rural regions,East,Yes,0.06888,142,12084,0.05954,0.07969
31,31,2011,Rural regions,East,No,0.93112,1728,12084,0.89337,0.97132
32,32,2016,Urban regions,West,Yes,0.02737,321,14302,0.02395,0.03085
33,33,2016,Urban regions,West,No,0.97263,7922,14302,0.94794,0.99601
34,34,2016,Urban regions,East,Yes,0.03658,60,14302,0.02357,0.05091
35,35,2016,Urban regions,East,No,0.96342,1062,14302,0.90606,1.01968
36,36,2016,Rural regions,West,Yes,0.04351,157,14302,0.03582,0.05323
37,37,2016,Rural regions,West,No,0.95649,2828,14302,0.91908,0.99573
38,38,2016,Rural regions,East,Yes,0.06761,149,14302,0.05689,0.0783
39,39,2016,Rural regions,East,No,0.93239,1803,14302,0.88185,0.9769
40,40,2021,Urban regions,West,Yes,0.02567,234,11055,0.02212,0.02986
41,41,2021,Urban regions,West,No,0.97433,6268,11055,0.94684,1.005
42,42,2021,Urban regions,East,Yes,0.03387,34,11055,0.02457,0.04761
43,43,2021,Urban regions,East,No,0.96613,864,11055,0.88377,1.05361
44,44,2021,Rural regions,West,Yes,0.04073,92,11055,0.02963,0.05191
45,45,2021,Rural regions,West,No,0.95927,2070,11055,0.90857,1.01198
46,46,2021,Rural regions,East,Yes,0.0591,109,11055,0.04769,0.07139
47,47,2021,Rural regions,East,No,0.9409,1384,11055,0.8761,1.00574
