,Unnamed: 0,year,hhtyp,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Single-person household,No,1.0,1409,6567,0.97075,1.02428
1,1,1996,Couple without children,Yes,0.03713,78,6567,0.03262,0.04217
2,2,1996,Couple without children,No,0.96287,1763,6567,0.93159,0.99646
3,3,1996,Single parent,No,1.0,362,6567,0.92912,1.08045
4,4,1996,Couple with children,Yes,0.08083,222,6567,0.07487,0.08744
5,5,1996,Couple with children,No,0.91917,2464,6567,0.89253,0.95056
6,6,1996,Multi-generational household,No,1.0,119,6567,0.85417,1.18563
7,7,1996,Other Combinations,No,1.0,150,6567,0.89152,1.1151
8,8,2001,Single-person household,Yes,0.01673,56,11664,0.0145,0.01873
9,9,2001,Single-person household,No,0.98327,2870,11664,0.96714,1.00027
10,10,2001,Couple without children,Yes,0.04657,177,11664,0.04274,0.05108
11,11,2001,Couple without children,No,0.95343,3412,11664,0.93491,0.97271
12,12,2001,Single parent,Yes,0.04881,40,11664,0.04139,0.05539
13,13,2001,Single parent,No,0.95119,666,11664,0.90738,0.98964
14,14,2001,Couple with children,Yes,0.10904,443,11664,0.10282,0.11675
15,15,2001,Couple with children,No,0.89096,3732,11664,0.87337,0.90825
16,16,2001,Multi-generational household,No,1.0,148,11664,0.8933,1.09034
17,17,2001,Other Combinations,No,1.0,120,11664,0.89688,1.11333
18,18,2006,Single-person household,Yes,0.0207,85,12252,0.0184,0.02346
19,19,2006,Single-person household,No,0.9793,3203,12252,0.95857,0.99836
20,20,2006,Couple without children,Yes,0.05357,228,12252,0.04798,0.05873
21,21,2006,Couple without children,No,0.94643,3930,12252,0.92374,0.97249
22,22,2006,Single parent,Yes,0.04642,40,12252,0.03661,0.0576
23,23,2006,Single parent,No,0.95358,732,12252,0.90646,0.99491
24,24,2006,Couple with children,Yes,0.11212,420,12252,0.10367,0.12367
25,25,2006,Couple with children,No,0.88788,3417,12252,0.86104,0.91557
26,26,2006,Multi-generational household,No,1.0,95,12252,0.846,1.22964
27,27,2006,Other Combinations,No,1.0,102,12252,0.85079,1.19165
28,28,2011,Single-person household,Yes,0.02241,82,12077,0.01978,0.0258
29,29,2011,Single-person household,No,0.97759,3428,12077,0.95848,1.00358
30,30,2011,Couple without children,Yes,0.04909,233,12077,0.04385,0.0535
31,31,2011,Couple without children,No,0.95091,4138,12077,0.92525,0.97883
32,32,2011,Single parent,Yes,0.04821,40,12077,0.03189,0.06386
33,33,2011,Single parent,No,0.95179,744,12077,0.88611,1.03437
34,34,2011,Couple with children,Yes,0.10782,363,12077,0.095,0.12065
35,35,2011,Couple with children,No,0.89218,2877,12077,0.85542,0.92526
36,36,2011,Multi-generational household,No,1.0,79,12077,0.80634,1.26501
37,37,2011,Other Combinations,No,1.0,93,12077,0.84638,1.18148
38,38,2016,Single-person household,Yes,0.01392,43,14291,0.01153,0.0165
39,39,2016,Single-person household,No,0.98608,3345,14291,0.96008,1.01004
40,40,2016,Couple without children,Yes,0.03421,160,14291,0.02882,0.0398
41,41,2016,Couple without children,No,0.96579,3937,14291,0.93736,0.99957
42,42,2016,Single parent,Yes,0.03941,73,14291,0.03215,0.04642
43,43,2016,Single parent,No,0.96059,1451,14291,0.90574,1.01773
44,44,2016,Couple with children,Yes,0.07828,400,14291,0.06734,0.08715
45,45,2016,Couple with children,No,0.92172,4590,14291,0.88625,0.95684
46,46,2016,Multi-generational household,No,1.0,102,14291,0.76215,1.23699
47,47,2016,Other Combinations,No,1.0,190,14291,0.85137,1.14701
48,48,2021,Single-person household,Yes,0.01469,50,10938,0.01056,0.01867
49,49,2021,Single-person household,No,0.98531,3144,10938,0.95495,1.02228
50,50,2021,Couple without children,Yes,0.02885,121,10938,0.02343,0.03491
51,51,2021,Couple without children,No,0.97115,3277,10938,0.93832,1.00839
52,52,2021,Single parent,Yes,0.06307,57,10938,0.04482,0.08098
53,53,2021,Single parent,No,0.93693,837,10938,0.86193,1.01759
54,54,2021,Couple with children,Yes,0.06699,220,10938,0.05537,0.07947
55,55,2021,Couple with children,No,0.93301,2919,10938,0.88124,0.98316
56,56,2021,Multi-generational household,No,1.0,72,10938,0.679,1.45578
57,57,2021,Other Combinations,No,1.0,241,10938,0.86533,1.17425
