,Unnamed: 0,year,age_gr,regtyp,plb0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1994,17-29 y.,Urban regions,Earn money,0.3614,274,1973,0.32745,0.39697
1,1,1994,17-29 y.,Urban regions,Other reasons,0.05526,37,1973,0.04419,0.06636
2,2,1994,17-29 y.,Urban regions,Both equally,0.58333,397,1973,0.54719,0.62819
3,3,1994,17-29 y.,Rural regions,Earn money,0.51313,156,1973,0.45312,0.57923
4,4,1994,17-29 y.,Rural regions,Both equally,0.48687,160,1973,0.43798,0.55033
5,5,1994,30-45 y.,Urban regions,Earn money,0.36587,158,1973,0.32237,0.42384
6,6,1994,30-45 y.,Urban regions,Other reasons,0.14742,47,1973,0.12068,0.17066
7,7,1994,30-45 y.,Urban regions,Both equally,0.48671,216,1973,0.44555,0.52663
8,8,1994,30-45 y.,Rural regions,Earn money,0.52957,124,1973,0.46539,0.60072
9,9,1994,30-45 y.,Rural regions,Both equally,0.47043,104,1973,0.39276,0.55275
10,10,1994,46-65 y.,Urban regions,Earn money,0.46656,77,1973,0.38652,0.56169
11,11,1994,46-65 y.,Urban regions,Both equally,0.53344,93,1973,0.45397,0.60631
12,12,1994,46-65 y.,Rural regions,Earn money,0.52488,65,1973,0.45515,0.61873
13,13,1994,46-65 y.,Rural regions,Both equally,0.47512,65,1973,0.39355,0.5942
14,14,1995,17-29 y.,Urban regions,Earn money,0.37324,279,2092,0.33521,0.41023
15,15,1995,17-29 y.,Urban regions,Other reasons,0.04282,36,2092,0.03246,0.05158
16,16,1995,17-29 y.,Urban regions,Both equally,0.58395,419,2092,0.54273,0.63046
17,17,1995,17-29 y.,Rural regions,Earn money,0.42292,137,2092,0.37391,0.4851
18,18,1995,17-29 y.,Rural regions,Both equally,0.57708,179,2092,0.50819,0.64466
19,19,1995,30-45 y.,Urban regions,Earn money,0.34263,190,2092,0.31004,0.37813
20,20,1995,30-45 y.,Urban regions,Other reasons,0.09177,39,2092,0.0801,0.10356
21,21,1995,30-45 y.,Urban regions,Both equally,0.5656,244,2092,0.51152,0.61383
22,22,1995,30-45 y.,Rural regions,Earn money,0.42004,110,2092,0.36395,0.51252
23,23,1995,30-45 y.,Rural regions,Both equally,0.57996,137,2092,0.49105,0.66146
24,24,1995,46-65 y.,Urban regions,Earn money,0.47073,87,2092,0.39796,0.56361
25,25,1995,46-65 y.,Urban regions,Both equally,0.52927,96,2092,0.45521,0.60219
26,26,1995,46-65 y.,Rural regions,Earn money,0.40814,63,2092,0.34663,0.47889
27,27,1995,46-65 y.,Rural regions,Both equally,0.59186,76,2092,0.47219,0.7033
28,28,1996,17-29 y.,Urban regions,Earn money,0.35352,254,2082,0.31456,0.39432
29,29,1996,17-29 y.,Urban regions,Other reasons,0.04827,36,2082,0.03954,0.05767
30,30,1996,17-29 y.,Urban regions,Both equally,0.59821,405,2082,0.55947,0.65074
31,31,1996,17-29 y.,Rural regions,Earn money,0.45424,151,2082,0.39538,0.51135
32,32,1996,17-29 y.,Rural regions,Both equally,0.54576,178,2082,0.49083,0.60291
33,33,1996,30-45 y.,Urban regions,Earn money,0.36463,185,2082,0.32481,0.41044
34,34,1996,30-45 y.,Urban regions,Other reasons,0.09345,39,2082,0.07152,0.11753
35,35,1996,30-45 y.,Urban regions,Both equally,0.54192,252,2082,0.49081,0.59301
36,36,1996,30-45 y.,Rural regions,Earn money,0.42572,118,2082,0.36589,0.49388
37,37,1996,30-45 y.,Rural regions,Both equally,0.57428,133,2082,0.49542,0.63817
38,38,1996,46-65 y.,Urban regions,Earn money,0.52353,107,2082,0.42486,0.61544
39,39,1996,46-65 y.,Urban regions,Both equally,0.47647,84,2082,0.39915,0.55867
