year,migback,pgisced97,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Pre-primary Level,Earn money,0.26699,37,116,0.18614,0.34785
1994,No migration background,Pre-primary Level,Both equally,0.66335,79,116,0.57698,0.74972
1994,No migration background,Lower Secondary Level,Earn money,0.49808,111,212,0.43061,0.56554
1994,No migration background,Lower Secondary Level,Both equally,0.47095,101,212,0.40360,0.53831
1994,No migration background,Upper Secondary Level,Earn money,0.42975,386,886,0.39713,0.46236
1994,No migration background,Upper Secondary Level,Other reasons,0.07288,50,886,0.05575,0.09000
1994,No migration background,Upper Secondary Level,Both equally,0.49737,450,886,0.46443,0.53032
1994,No migration background,Post-secondary Non-tertiary Level,Both equally,0.48431,34,34,0.31380,0.65483
1994,No migration background,First Stage of Tertiary Education,Both equally,0.50600,33,33,0.33277,0.67923
1994,No migration background,Second Stage of Tertiary Education,Earn money,0.26815,35,123,0.18954,0.34676
1994,No migration background,Second Stage of Tertiary Education,Both equally,0.58198,88,123,0.49446,0.66951
1994,Direct migration background,Lower Secondary Level,Earn money,0.49677,59,105,0.40068,0.59287
1994,Direct migration background,Lower Secondary Level,Both equally,0.44626,46,105,0.35072,0.54180
1994,Direct migration background,Upper Secondary Level,Earn money,0.45135,52,100,0.35333,0.54938
1994,Direct migration background,Upper Secondary Level,Both equally,0.48638,48,100,0.38792,0.58484
1995,No migration background,Pre-primary Level,Earn money,0.30117,45,150,0.22750,0.37483
1995,No migration background,Pre-primary Level,Both equally,0.68740,105,150,0.61297,0.76183
1995,No migration background,Lower Secondary Level,Earn money,0.50945,111,207,0.44118,0.57771
1995,No migration background,Lower Secondary Level,Both equally,0.44572,96,207,0.37784,0.51359
1995,No migration background,Upper Secondary Level,Earn money,0.35470,334,845,0.32243,0.38698
1995,No migration background,Upper Secondary Level,Other reasons,0.08619,56,845,0.06726,0.10512
1995,No migration background,Upper Secondary Level,Both equally,0.55911,455,845,0.52561,0.59260
1995,No migration background,Post-secondary Non-tertiary Level,Both equally,0.55097,39,39,0.39282,0.70912
1995,No migration background,First Stage of Tertiary Education,Both equally,0.56710,31,31,0.38980,0.74440
1995,No migration background,Second Stage of Tertiary Education,Both equally,0.76825,81,81,0.67579,0.86071
1995,Direct migration background,Primary Level,Earn money,0.65725,38,38,0.50431,0.81019
1995,Direct migration background,Lower Secondary Level,Earn money,0.55174,71,122,0.46312,0.64035
1995,Direct migration background,Lower Secondary Level,Both equally,0.42855,51,122,0.34038,0.51673
1995,Direct migration background,Upper Secondary Level,Earn money,0.43018,75,162,0.35370,0.50666
1995,Direct migration background,Upper Secondary Level,Both equally,0.53216,87,162,0.45509,0.60924
1996,No migration background,Pre-primary Level,Earn money,0.34004,58,160,0.26641,0.41367
1996,No migration background,Pre-primary Level,Both equally,0.60150,102,160,0.52540,0.67760
1996,No migration background,Lower Secondary Level,Earn money,0.50140,107,190,0.43012,0.57268
1996,No migration background,Lower Secondary Level,Both equally,0.41595,83,190,0.34568,0.48622
1996,No migration background,Upper Secondary Level,Earn money,0.39003,349,834,0.35690,0.42315
1996,No migration background,Upper Secondary Level,Other reasons,0.06480,41,834,0.04808,0.08152
1996,No migration background,Upper Secondary Level,Both equally,0.54517,444,834,0.51136,0.57899
1996,No migration background,Post-secondary Non-tertiary Level,Both equally,0.68187,48,48,0.54872,0.81503
1996,No migration background,First Stage of Tertiary Education,Both equally,0.47892,31,31,0.30015,0.65768
1996,No migration background,Second Stage of Tertiary Education,Both equally,0.66529,94,94,0.56938,0.76120
1996,Direct migration background,Primary Level,Earn money,0.66797,39,39,0.51823,0.81771
1996,Direct migration background,Lower Secondary Level,Earn money,0.37776,55,110,0.28674,0.46878
1996,Direct migration background,Lower Secondary Level,Both equally,0.56273,55,110,0.46960,0.65585
1996,Direct migration background,Upper Secondary Level,Earn money,0.55957,80,151,0.48012,0.63902
1996,Direct migration background,Upper Secondary Level,Both equally,0.39266,71,151,0.31451,0.47081
1996,Indirect migration background,Lower Secondary Level,Both equally,0.61861,34,34,0.45288,0.78434
1997,No migration background,Pre-primary Level,Earn money,0.28461,56,170,0.21658,0.35264
1997,No migration background,Pre-primary Level,Both equally,0.67150,114,170,0.60069,0.74231
1997,No migration background,Lower Secondary Level,Earn money,0.43396,94,197,0.36457,0.50335
1997,No migration background,Lower Secondary Level,Both equally,0.50029,103,197,0.43029,0.57029
1997,No migration background,Upper Secondary Level,Earn money,0.39705,334,821,0.36356,0.43054
1997,No migration background,Upper Secondary Level,Other reasons,0.04670,32,821,0.03226,0.06114
1997,No migration background,Upper Secondary Level,Both equally,0.55625,455,821,0.52225,0.59026
1997,No migration background,Post-secondary Non-tertiary Level,Both equally,0.63445,40,40,0.48330,0.78560
1997,No migration background,First Stage of Tertiary Education,Both equally,0.64662,43,43,0.50205,0.79119
1997,No migration background,Second Stage of Tertiary Education,Earn money,0.30588,39,109,0.21898,0.39278
1997,No migration background,Second Stage of Tertiary Education,Both equally,0.58468,70,109,0.49174,0.67762
1997,Direct migration background,Primary Level,Earn money,0.53583,33,33,0.36304,0.70863
1997,Direct migration background,Lower Secondary Level,Earn money,0.55089,80,135,0.46667,0.63511
1997,Direct migration background,Lower Secondary Level,Both equally,0.43580,55,135,0.35184,0.51976
1997,Direct migration background,Upper Secondary Level,Earn money,0.39742,72,151,0.31911,0.47574
1997,Direct migration background,Upper Secondary Level,Both equally,0.57450,79,151,0.49538,0.65363
1997,Indirect migration background,Pre-primary Level,Both equally,0.76054,33,33,0.61268,0.90840
1997,Indirect migration background,Lower Secondary Level,Both equally,0.63272,36,36,0.47302,0.79243
1998,No migration background,Pre-primary Level,Earn money,0.35454,64,171,0.28263,0.42646
1998,No migration background,Pre-primary Level,Both equally,0.60152,107,171,0.52792,0.67511
1998,No migration background,Lower Secondary Level,Earn money,0.41305,100,223,0.34828,0.47783
1998,No migration background,Lower Secondary Level,Both equally,0.50664,123,223,0.44087,0.57240
1998,No migration background,Upper Secondary Level,Earn money,0.40294,361,890,0.37070,0.43518
1998,No migration background,Upper Secondary Level,Other reasons,0.06507,49,890,0.04885,0.08128
1998,No migration background,Upper Secondary Level,Both equally,0.53200,480,890,0.49920,0.56480
1998,No migration background,Post-secondary Non-tertiary Level,Both equally,0.69514,37,37,0.54476,0.84552
1998,No migration background,First Stage of Tertiary Education,Both equally,0.51551,41,41,0.36064,0.67039
1998,No migration background,Second Stage of Tertiary Education,Earn money,0.30043,40,135,0.22281,0.37805
1998,No migration background,Second Stage of Tertiary Education,Both equally,0.58131,95,135,0.49778,0.66484
1998,Direct migration background,Lower Secondary Level,Earn money,0.58136,69,111,0.48916,0.67355
1998,Direct migration background,Lower Secondary Level,Both equally,0.39007,42,111,0.29892,0.48123
1998,Direct migration background,Upper Secondary Level,Earn money,0.51378,72,134,0.42884,0.59873
1998,Direct migration background,Upper Secondary Level,Both equally,0.46959,62,134,0.38477,0.55441
1999,No migration background,Pre-primary Level,Earn money,0.35351,59,169,0.28122,0.42580
1999,No migration background,Pre-primary Level,Both equally,0.60072,110,169,0.52666,0.67478
1999,No migration background,Lower Secondary Level,Earn money,0.46346,104,199,0.39401,0.53292
1999,No migration background,Lower Secondary Level,Both equally,0.47337,95,199,0.40382,0.54291
1999,No migration background,Upper Secondary Level,Earn money,0.34915,278,774,0.31554,0.38275
1999,No migration background,Upper Secondary Level,Other reasons,0.05071,36,774,0.03524,0.06617
1999,No migration background,Upper Secondary Level,Both equally,0.60014,460,774,0.56561,0.63468
1999,No migration background,Post-secondary Non-tertiary Level,Both equally,0.77272,41,41,0.64285,0.90259
1999,No migration background,Second Stage of Tertiary Education,Both equally,0.69369,86,86,0.59569,0.79169
1999,Direct migration background,Lower Secondary Level,Earn money,0.59387,50,91,0.49241,0.69534
1999,Direct migration background,Lower Secondary Level,Both equally,0.39819,41,91,0.29705,0.49933
1999,Direct migration background,Upper Secondary Level,Earn money,0.43298,51,106,0.33821,0.52776
1999,Direct migration background,Upper Secondary Level,Both equally,0.50219,55,106,0.40655,0.59782
2000,No migration background,Pre-primary Level,Earn money,0.37929,100,256,0.31973,0.43884
2000,No migration background,Pre-primary Level,Both equally,0.58438,156,256,0.52390,0.64487
2000,No migration background,Lower Secondary Level,Earn money,0.45799,151,314,0.40279,0.51318
2000,No migration background,Lower Secondary Level,Both equally,0.50897,163,314,0.45359,0.56436
2000,No migration background,Upper Secondary Level,Earn money,0.37544,558,1424,0.35028,0.40060
2000,No migration background,Upper Secondary Level,Other reasons,0.07666,105,1424,0.06283,0.09048
2000,No migration background,Upper Secondary Level,Both equally,0.54791,761,1424,0.52205,0.57377
