year,age_gr,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,male,Earn money,0.43464,208,424,0.38740,0.48188
1994,17-29 y.,male,Both equally,0.51819,216,424,0.47057,0.56580
1994,17-29 y.,female,Earn money,0.37224,222,597,0.33343,0.41105
1994,17-29 y.,female,Other reasons,0.05176,34,597,0.03397,0.06955
1994,17-29 y.,female,Both equally,0.57600,341,597,0.53633,0.61568
1994,30-45 y.,male,Earn money,0.59758,91,152,0.51936,0.67580
1994,30-45 y.,male,Both equally,0.36404,61,152,0.28730,0.44079
1994,30-45 y.,female,Earn money,0.35177,191,502,0.30996,0.39359
1994,30-45 y.,female,Other reasons,0.13451,52,502,0.10463,0.16439
1994,30-45 y.,female,Both equally,0.51372,259,502,0.46995,0.55748
1994,46-65 y.,male,Earn money,0.53838,65,124,0.45028,0.62649
1994,46-65 y.,male,Both equally,0.42768,59,124,0.34025,0.51512
1994,46-65 y.,female,Earn money,0.40779,77,176,0.33498,0.48060
1994,46-65 y.,female,Both equally,0.51356,99,176,0.43951,0.58762
1995,17-29 y.,male,Earn money,0.43629,203,436,0.38968,0.48289
1995,17-29 y.,male,Both equally,0.53196,233,436,0.48507,0.57885
1995,17-29 y.,female,Earn money,0.33809,213,612,0.30058,0.37560
1995,17-29 y.,female,Other reasons,0.04626,34,612,0.02961,0.06292
1995,17-29 y.,female,Both equally,0.61565,365,612,0.57708,0.65422
1995,30-45 y.,male,Earn money,0.49826,86,158,0.42005,0.57647
1995,30-45 y.,male,Both equally,0.49034,72,158,0.41215,0.56854
1995,30-45 y.,female,Earn money,0.32283,214,569,0.28437,0.36128
1995,30-45 y.,female,Other reasons,0.09740,46,569,0.07301,0.12178
1995,30-45 y.,female,Both equally,0.57978,309,569,0.53918,0.62037
1995,46-65 y.,male,Earn money,0.43410,66,139,0.35140,0.51679
1995,46-65 y.,male,Both equally,0.49566,73,139,0.41224,0.57908
1995,46-65 y.,female,Earn money,0.37001,84,183,0.29987,0.44016
1995,46-65 y.,female,Both equally,0.49457,99,183,0.42193,0.56721
1996,17-29 y.,male,Earn money,0.40908,188,431,0.36261,0.45555
1996,17-29 y.,male,Both equally,0.55373,243,431,0.50674,0.60071
1996,17-29 y.,female,Earn money,0.35324,217,590,0.31463,0.39184
1996,17-29 y.,female,Other reasons,0.05479,33,590,0.03641,0.07316
1996,17-29 y.,female,Both equally,0.59198,340,590,0.55229,0.63167
1996,30-45 y.,male,Earn money,0.54571,99,174,0.47151,0.61990
1996,30-45 y.,male,Both equally,0.42372,75,174,0.35009,0.49736
1996,30-45 y.,female,Earn money,0.31782,204,564,0.27935,0.35628
1996,30-45 y.,female,Other reasons,0.11285,50,564,0.08671,0.13898
1996,30-45 y.,female,Both equally,0.56934,310,564,0.52843,0.61024
1996,46-65 y.,male,Earn money,0.47747,76,144,0.39560,0.55934
1996,46-65 y.,male,Both equally,0.47240,68,144,0.39058,0.55423
1996,46-65 y.,female,Earn money,0.44615,97,187,0.37471,0.51759
1996,46-65 y.,female,Both equally,0.42019,90,187,0.34926,0.49113
1997,17-29 y.,male,Earn money,0.42438,183,409,0.37643,0.47234
1997,17-29 y.,male,Both equally,0.55109,226,409,0.50283,0.59935
1997,17-29 y.,female,Earn money,0.33900,204,544,0.29918,0.37881
1997,17-29 y.,female,Both equally,0.61014,340,544,0.56911,0.65116
1997,30-45 y.,male,Earn money,0.49930,98,186,0.42725,0.57135
1997,30-45 y.,male,Both equally,0.44969,88,186,0.37801,0.52138
1997,30-45 y.,female,Earn money,0.31274,187,557,0.27421,0.35128
1997,30-45 y.,female,Other reasons,0.07130,33,557,0.04991,0.09269
1997,30-45 y.,female,Both equally,0.61595,337,557,0.57552,0.65638
1997,46-65 y.,male,Earn money,0.43479,89,171,0.36026,0.50931
1997,46-65 y.,male,Both equally,0.55704,82,171,0.48237,0.63171
1997,46-65 y.,female,Earn money,0.36561,85,184,0.29583,0.43539
1997,46-65 y.,female,Both equally,0.51430,99,184,0.44188,0.58671
1998,17-29 y.,male,Earn money,0.41645,192,434,0.37001,0.46288
1998,17-29 y.,male,Both equally,0.52055,242,434,0.47349,0.56760
1998,17-29 y.,female,Earn money,0.36728,206,577,0.32791,0.40664
1998,17-29 y.,female,Other reasons,0.05938,32,577,0.04008,0.07868
1998,17-29 y.,female,Both equally,0.57335,339,577,0.53295,0.61374
1998,30-45 y.,male,Earn money,0.61677,133,200,0.54922,0.68432
1998,30-45 y.,male,Both equally,0.36357,67,200,0.29673,0.43040
1998,30-45 y.,female,Earn money,0.33215,211,604,0.29456,0.36974
1998,30-45 y.,female,Other reasons,0.09639,51,604,0.07283,0.11994
1998,30-45 y.,female,Both equally,0.57146,342,604,0.53196,0.61096
1998,46-65 y.,male,Earn money,0.49756,98,183,0.42492,0.57020
1998,46-65 y.,male,Both equally,0.48213,85,183,0.40953,0.55473
1998,46-65 y.,female,Earn money,0.42357,78,175,0.35015,0.49699
1998,46-65 y.,female,Both equally,0.44390,97,175,0.37008,0.51772
1999,17-29 y.,male,Earn money,0.43209,175,388,0.38273,0.48144
1999,17-29 y.,male,Both equally,0.51418,213,388,0.46438,0.56397
1999,17-29 y.,female,Earn money,0.34063,196,519,0.29982,0.38144
1999,17-29 y.,female,Both equally,0.63152,323,519,0.58997,0.67306
1999,30-45 y.,male,Earn money,0.55735,92,160,0.48015,0.63456
1999,30-45 y.,male,Both equally,0.42946,68,160,0.35252,0.50640
1999,30-45 y.,female,Earn money,0.32909,170,519,0.28862,0.36955
1999,30-45 y.,female,Other reasons,0.06454,32,519,0.04338,0.08570
1999,30-45 y.,female,Both equally,0.60637,317,519,0.56430,0.64844
1999,46-65 y.,male,Earn money,0.39223,60,128,0.30731,0.47715
1999,46-65 y.,male,Both equally,0.59146,68,128,0.50597,0.67695
1999,46-65 y.,female,Earn money,0.29907,53,152,0.22604,0.37210
1999,46-65 y.,female,Both equally,0.58956,99,152,0.51110,0.66802
2000,17-29 y.,male,Earn money,0.43380,292,645,0.39552,0.47207
2000,17-29 y.,male,Both equally,0.53492,353,645,0.49640,0.57344
2000,17-29 y.,female,Earn money,0.35588,306,863,0.32392,0.38784
2000,17-29 y.,female,Other reasons,0.04983,40,863,0.03531,0.06436
2000,17-29 y.,female,Both equally,0.59429,517,863,0.56151,0.62707
2000,30-45 y.,male,Earn money,0.50977,153,283,0.45142,0.56812
2000,30-45 y.,male,Both equally,0.46623,130,283,0.40800,0.52445
2000,30-45 y.,female,Earn money,0.32196,334,981,0.29271,0.35122
2000,30-45 y.,female,Other reasons,0.10591,99,981,0.08664,0.12517
