year,pgisced97,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,Earn money,0.30932,59,166,0.23880,0.37985
1994,Pre-primary Level,Both equally,0.62885,107,166,0.55513,0.70257
1994,Primary Level,Earn money,0.72440,49,49,0.59799,0.85080
1994,Lower Secondary Level,Earn money,0.48776,195,372,0.43689,0.53862
1994,Lower Secondary Level,Both equally,0.47871,177,372,0.42788,0.52954
1994,Upper Secondary Level,Earn money,0.42708,445,1023,0.39675,0.45741
1994,Upper Secondary Level,Other reasons,0.07127,57,1023,0.05549,0.08704
1994,Upper Secondary Level,Both equally,0.50165,521,1023,0.47100,0.53231
1994,Post-secondary Non-tertiary Level,Earn money,0.39063,34,81,0.28371,0.49754
1994,Post-secondary Non-tertiary Level,Both equally,0.52567,47,81,0.41625,0.63510
1994,First Stage of Tertiary Education,Both equally,0.50883,35,35,0.34078,0.67687
1994,Second Stage of Tertiary Education,Earn money,0.26043,39,136,0.18639,0.33446
1994,Second Stage of Tertiary Education,Both equally,0.59369,97,136,0.51084,0.67654
1995,No answer / don't know,Both equally,0.59215,38,38,0.43380,0.75050
1995,Pre-primary Level,Earn money,0.30092,73,210,0.23874,0.36310
1995,Pre-primary Level,Both equally,0.67131,137,210,0.60763,0.73500
1995,Primary Level,Earn money,0.69089,50,50,0.56150,0.82029
1995,Lower Secondary Level,Earn money,0.52065,199,375,0.47002,0.57129
1995,Lower Secondary Level,Both equally,0.43859,176,375,0.38830,0.48888
1995,Upper Secondary Level,Earn money,0.36197,425,1059,0.33301,0.39092
1995,Upper Secondary Level,Other reasons,0.07923,63,1059,0.06296,0.09551
1995,Upper Secondary Level,Both equally,0.55880,571,1059,0.52888,0.58872
1995,Post-secondary Non-tertiary Level,Earn money,0.37263,41,102,0.27833,0.46692
1995,Post-secondary Non-tertiary Level,Both equally,0.55104,61,102,0.45404,0.64805
1995,First Stage of Tertiary Education,Both equally,0.57962,34,34,0.41120,0.74804
1995,Second Stage of Tertiary Education,Earn money,0.20843,33,138,0.14041,0.27644
1995,Second Stage of Tertiary Education,Both equally,0.72616,105,138,0.65148,0.80083
