year,regtyp,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Urban regions,male,Earn money,0.44765,218,445,0.40140,0.49390
1994,Urban regions,male,Both equally,0.49952,227,445,0.45301,0.54602
1994,Urban regions,female,Earn money,0.33379,296,851,0.30209,0.36549
1994,Urban regions,female,Other reasons,0.10586,74,851,0.08518,0.12654
1994,Urban regions,female,Both equally,0.56035,481,851,0.52699,0.59372
1994,Rural regions,male,Earn money,0.56156,148,259,0.50102,0.62211
1994,Rural regions,male,Both equally,0.40369,111,259,0.34383,0.46356
1994,Rural regions,female,Earn money,0.45028,194,412,0.40218,0.49838
1994,Rural regions,female,Both equally,0.49540,218,412,0.44707,0.54374
1995,Urban regions,male,Earn money,0.42603,217,469,0.38123,0.47083
1995,Urban regions,male,Both equally,0.53990,252,469,0.49474,0.58505
1995,Urban regions,female,Earn money,0.33735,341,928,0.30691,0.36778
1995,Urban regions,female,Other reasons,0.09294,79,928,0.07425,0.11163
1995,Urban regions,female,Both equally,0.56971,508,928,0.53784,0.60159
1995,Rural regions,male,Earn money,0.48925,138,265,0.42895,0.54955
1995,Rural regions,male,Both equally,0.47380,127,265,0.41357,0.53403
1995,Rural regions,female,Earn money,0.33586,171,436,0.29148,0.38024
1995,Rural regions,female,Both equally,0.60116,265,436,0.55515,0.64718
1996,Urban regions,male,Earn money,0.43468,210,461,0.38938,0.47998
1996,Urban regions,male,Both equally,0.51891,251,461,0.47325,0.56457
1996,Urban regions,female,Earn money,0.34634,337,902,0.31528,0.37741
1996,Urban regions,female,Other reasons,0.09029,72,902,0.07158,0.10901
1996,Urban regions,female,Both equally,0.56336,493,902,0.53098,0.59575
1996,Rural regions,male,Earn money,0.48050,153,292,0.42310,0.53791
1996,Rural regions,male,Both equally,0.49565,139,292,0.43820,0.55309
1996,Rural regions,female,Earn money,0.37703,182,429,0.33112,0.42295
1996,Rural regions,female,Both equally,0.52268,247,429,0.47536,0.57001
1997,Urban regions,male,Earn money,0.41360,232,495,0.37017,0.45703
1997,Urban regions,male,Both equally,0.55114,263,495,0.50728,0.59500
1997,Urban regions,female,Earn money,0.29649,281,855,0.26586,0.32712
1997,Urban regions,female,Other reasons,0.07499,53,855,0.05733,0.09266
1997,Urban regions,female,Both equally,0.62852,521,855,0.59611,0.66093
1997,Rural regions,male,Earn money,0.50644,138,273,0.44703,0.56586
1997,Rural regions,male,Both equally,0.48034,135,273,0.42096,0.53971
1997,Rural regions,female,Earn money,0.41526,196,451,0.36973,0.46078
1997,Rural regions,female,Both equally,0.52483,255,451,0.47869,0.57097
1998,Urban regions,male,Earn money,0.46158,253,507,0.41814,0.50502
1998,Urban regions,male,Both equally,0.49411,254,507,0.45055,0.53768
1998,Urban regions,female,Earn money,0.35684,308,868,0.32495,0.38873
1998,Urban regions,female,Other reasons,0.09325,69,868,0.07390,0.11261
1998,Urban regions,female,Both equally,0.54991,491,868,0.51679,0.58302
1998,Rural regions,male,Earn money,0.53904,170,310,0.48346,0.59462
1998,Rural regions,male,Both equally,0.42484,140,310,0.36973,0.47996
1998,Rural regions,female,Earn money,0.36747,187,508,0.32550,0.40944
1998,Rural regions,female,Other reasons,0.08124,34,508,0.05746,0.10502
1998,Rural regions,female,Both equally,0.55129,287,508,0.50800,0.59459
1999,Urban regions,male,Earn money,0.46176,198,419,0.41397,0.50956
1999,Urban regions,male,Both equally,0.50360,221,419,0.45567,0.55153
1999,Urban regions,female,Earn money,0.32020,266,781,0.28746,0.35294
1999,Urban regions,female,Other reasons,0.06769,51,781,0.05006,0.08532
1999,Urban regions,female,Both equally,0.61211,464,781,0.57791,0.64630
1999,Rural regions,male,Earn money,0.43219,129,259,0.37174,0.49264
1999,Rural regions,male,Both equally,0.52779,130,259,0.46687,0.58871
1999,Rural regions,female,Earn money,0.34331,153,429,0.29832,0.38829
1999,Rural regions,female,Both equally,0.61583,276,429,0.56975,0.66191
2000,Urban regions,male,Earn money,0.42549,321,748,0.39003,0.46095
2000,Urban regions,male,Other reasons,0.04530,33,748,0.03038,0.06021
2000,Urban regions,male,Both equally,0.52921,394,748,0.49342,0.56501
2000,Urban regions,female,Earn money,0.32180,462,1389,0.29723,0.34638
2000,Urban regions,female,Other reasons,0.10409,136,1389,0.08802,0.12015
2000,Urban regions,female,Both equally,0.57411,791,1389,0.54810,0.60013
2000,Rural regions,male,Earn money,0.51528,236,440,0.46853,0.56203
2000,Rural regions,male,Both equally,0.46154,204,440,0.41490,0.50817
2000,Rural regions,female,Earn money,0.38271,295,770,0.34835,0.41706
2000,Rural regions,female,Other reasons,0.07265,50,770,0.05431,0.09100
2000,Rural regions,female,Both equally,0.54464,425,770,0.50944,0.57984
2001,Urban regions,male,Earn money,0.46559,280,621,0.42633,0.50486
2001,Urban regions,male,Both equally,0.50568,341,621,0.46632,0.54503
2001,Urban regions,female,Earn money,0.32534,391,1232,0.29917,0.35151
2001,Urban regions,female,Other reasons,0.07750,91,1232,0.06256,0.09243
2001,Urban regions,female,Both equally,0.59716,750,1232,0.56976,0.62456
2001,Rural regions,male,Earn money,0.46636,221,436,0.41948,0.51324
2001,Rural regions,male,Both equally,0.50531,215,436,0.45833,0.55230
2001,Rural regions,female,Earn money,0.38283,255,680,0.34627,0.41940
2001,Rural regions,female,Other reasons,0.06028,34,680,0.04238,0.07819
2001,Rural regions,female,Both equally,0.55688,391,680,0.51952,0.59425
2003,Urban regions,male,Earn money,0.47521,361,774,0.44000,0.51041
