year,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Earn money,0.04550,856,2014,0.03640,0.05461
1994,Other reasons,0.00807,121,2014,0.00416,0.01198
1994,Both equally,0.05624,1037,2014,0.04617,0.06630
1995,Earn money,0.04214,867,2140,0.03363,0.05066
1995,Other reasons,0.00740,121,2140,0.00377,0.01103
1995,Both equally,0.06222,1152,2140,0.05198,0.07245
1996,Earn money,0.04479,882,2138,0.03602,0.05356
1996,Other reasons,0.00839,126,2138,0.00453,0.01226
1996,Both equally,0.06159,1130,2138,0.05140,0.07179
1997,Earn money,0.04382,847,2117,0.03510,0.05254
1997,Other reasons,0.00643,96,2117,0.00302,0.00983
1997,Both equally,0.06627,1174,2117,0.05567,0.07687
1998,Earn money,0.04575,918,2223,0.03706,0.05443
1998,Other reasons,0.00791,133,2223,0.00423,0.01160
1998,Both equally,0.05807,1172,2223,0.04834,0.06779
1999,Earn money,0.03727,746,1924,0.02881,0.04574
1999,Other reasons,0.00501,87,1924,0.00185,0.00816
1999,Both equally,0.05719,1091,1924,0.04681,0.06757
2000,Earn money,0.03816,1314,3357,0.03168,0.04464
2000,Other reasons,0.00720,229,3357,0.00434,0.01006
2000,Both equally,0.05375,1814,3357,0.04612,0.06138
2001,Earn money,0.03886,1147,2999,0.03194,0.04578
2001,Other reasons,0.00548,155,2999,0.00284,0.00813
2001,Both equally,0.05503,1697,2999,0.04687,0.06319
2003,Earn money,0.04757,1291,3098,0.04008,0.05507
2003,Other reasons,0.00443,147,3098,0.00209,0.00676
2003,Both equally,0.05712,1660,3098,0.04894,0.06529
2005,Earn money,0.04212,1031,2574,0.03436,0.04989
2005,Other reasons,0.00349,103,2574,0.00121,0.00576
2005,Both equally,0.05725,1440,2574,0.04827,0.06622
2007,Earn money,0.04183,981,2558,0.03407,0.04958
2007,Other reasons,0.00460,113,2558,0.00198,0.00723
2007,Both equally,0.05864,1464,2558,0.04953,0.06774
2009,Earn money,0.04306,878,2057,0.03428,0.05183
2009,Other reasons,0.00472,100,2057,0.00176,0.00768
2009,Both equally,0.04866,1079,2057,0.03936,0.05796
2011,Earn money,0.02155,623,1607,0.01445,0.02865
2011,Other reasons,0.00261,76,1607,0.00011,0.00510
2011,Both equally,0.02647,908,1607,0.01862,0.03432
2013,Earn money,0.02713,787,1974,0.01996,0.03429
2013,Other reasons,0.00592,155,1974,0.00254,0.00931
2013,Both equally,0.03304,1032,1974,0.02516,0.04093
2017,Earn money,0.03365,1286,3409,0.02760,0.03971
2017,Other reasons,0.00741,293,3409,0.00453,0.01029
2017,Both equally,0.04952,1830,3409,0.04224,0.05680
