year,migback,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,No migration background,Earn money,0.41347,633,1535,0.38882,0.43811
1994,No migration background,Other reasons,0.07788,98,1535,0.06447,0.09129
1994,No migration background,Both equally,0.50865,804,1535,0.48363,0.53367
1994,Direct migration background,Earn money,0.45070,165,307,0.39495,0.50645
1994,Direct migration background,Both equally,0.48830,142,307,0.43229,0.54431
1994,Indirect migration background,Earn money,0.34264,58,149,0.26618,0.41911
1994,Indirect migration background,Both equally,0.63389,91,149,0.55627,0.71150
1995,No migration background,Earn money,0.36075,573,1496,0.33640,0.38509
1995,No migration background,Other reasons,0.07446,98,1496,0.06116,0.08777
1995,No migration background,Both equally,0.56479,825,1496,0.53966,0.58992
1995,Direct migration background,Earn money,0.44105,233,476,0.39639,0.48570
1995,Direct migration background,Both equally,0.52841,243,476,0.48351,0.57330
1995,Indirect migration background,Earn money,0.41872,61,145,0.33814,0.49930
1995,Indirect migration background,Both equally,0.52187,84,145,0.44028,0.60346
1996,No migration background,Earn money,0.38445,601,1511,0.35991,0.40898
1996,No migration background,Other reasons,0.07395,91,1511,0.06075,0.08715
1996,No migration background,Both equally,0.54161,819,1511,0.51647,0.56674
1996,Direct migration background,Earn money,0.42536,214,422,0.37813,0.47259
1996,Direct migration background,Both equally,0.50311,208,422,0.45534,0.55087
1996,Indirect migration background,Earn money,0.35726,67,170,0.28501,0.42951
1996,Indirect migration background,Both equally,0.57742,103,170,0.50294,0.65189
1997,No migration background,Earn money,0.37351,573,1493,0.34897,0.39806
1997,No migration background,Other reasons,0.05561,68,1493,0.04398,0.06724
1997,No migration background,Both equally,0.57087,852,1493,0.54576,0.59599
1997,Direct migration background,Earn money,0.40726,213,429,0.36071,0.45381
1997,Direct migration background,Both equally,0.54003,216,429,0.49282,0.58725
1997,Indirect migration background,Earn money,0.31271,61,167,0.24218,0.38323
1997,Indirect migration background,Both equally,0.63120,106,167,0.55781,0.70460
1998,No migration background,Earn money,0.38406,631,1649,0.36057,0.40754
1998,No migration background,Other reasons,0.07910,107,1649,0.06607,0.09213
1998,No migration background,Both equally,0.53685,911,1649,0.51277,0.56092
1998,Direct migration background,Earn money,0.52417,213,382,0.47402,0.57431
1998,Direct migration background,Both equally,0.44994,169,382,0.39999,0.49990
1998,Indirect migration background,Earn money,0.43528,74,166,0.35963,0.51093
1998,Indirect migration background,Both equally,0.48229,92,166,0.40605,0.55854
1999,No migration background,Earn money,0.35675,523,1441,0.33201,0.38150
1999,No migration background,Other reasons,0.05307,71,1441,0.04149,0.06464
1999,No migration background,Both equally,0.59018,847,1441,0.56478,0.61558
1999,Direct migration background,Earn money,0.47733,155,308,0.42146,0.53321
1999,Direct migration background,Both equally,0.49651,153,308,0.44058,0.55244
1999,Indirect migration background,Earn money,0.36678,68,159,0.29164,0.44193
1999,Indirect migration background,Both equally,0.56258,91,159,0.48523,0.63993
2000,No migration background,Earn money,0.36524,952,2548,0.34654,0.38394
2000,No migration background,Other reasons,0.07822,190,2548,0.06779,0.08865
2000,No migration background,Both equally,0.55654,1406,2548,0.53725,0.57583
2000,Direct migration background,Earn money,0.47110,259,524,0.42832,0.51388
2000,Direct migration background,Both equally,0.46976,265,524,0.42699,0.51254
2000,Indirect migration background,Earn money,0.39435,103,246,0.33316,0.45555
2000,Indirect migration background,Both equally,0.56194,143,246,0.49982,0.62407
2001,No migration background,Earn money,0.37874,852,2305,0.35893,0.39855
2001,No migration background,Other reasons,0.06277,136,2305,0.05287,0.07268
2001,No migration background,Both equally,0.55848,1317,2305,0.53821,0.57876
2001,Direct migration background,Earn money,0.46345,210,437,0.41664,0.51026
2001,Direct migration background,Both equally,0.51211,227,437,0.46519,0.55903
2001,Indirect migration background,Earn money,0.34838,85,238,0.28772,0.40904
2001,Indirect migration background,Both equally,0.60553,153,238,0.54331,0.66775
2003,No migration background,Earn money,0.41943,993,2450,0.39989,0.43897
2003,No migration background,Other reasons,0.04579,126,2450,0.03751,0.05407
2003,No migration background,Both equally,0.53478,1331,2450,0.51503,0.55454
2003,Direct migration background,Earn money,0.49556,205,405,0.44680,0.54431
2003,Direct migration background,Both equally,0.48108,200,405,0.43235,0.52980
2003,Indirect migration background,Earn money,0.47327,93,222,0.40744,0.53910
2003,Indirect migration background,Both equally,0.50250,129,222,0.43658,0.56842
2005,No migration background,Earn money,0.40194,800,2034,0.38063,0.42325
2005,No migration background,Other reasons,0.03789,87,2034,0.02959,0.04619
2005,No migration background,Both equally,0.56017,1147,2034,0.53859,0.58174
2005,Direct migration background,Earn money,0.45188,153,319,0.39718,0.50658
2005,Direct migration background,Both equally,0.53157,166,319,0.47673,0.58642
2005,Indirect migration background,Earn money,0.39581,78,205,0.32870,0.46291
2005,Indirect migration background,Both equally,0.57418,127,205,0.50632,0.64203
2007,No migration background,Earn money,0.39226,752,2020,0.37096,0.41356
2007,No migration background,Other reasons,0.04320,91,2020,0.03433,0.05207
2007,No migration background,Both equally,0.56454,1177,2020,0.54292,0.58617
2007,Direct migration background,Earn money,0.41044,141,318,0.35629,0.46460
2007,Direct migration background,Both equally,0.55128,177,318,0.49653,0.60603
2007,Indirect migration background,Earn money,0.41892,88,198,0.35002,0.48782
2007,Indirect migration background,Both equally,0.52059,110,198,0.45082,0.59035
2009,No migration background,Earn money,0.43466,679,1644,0.41069,0.45863
2009,No migration background,Other reasons,0.05822,88,1644,0.04690,0.06954
2009,No migration background,Both equally,0.50712,877,1644,0.48295,0.53130
2009,Direct migration background,Earn money,0.51615,115,220,0.44996,0.58234
2009,Direct migration background,Both equally,0.46449,105,220,0.39844,0.53055
2009,Indirect migration background,Earn money,0.42538,84,181,0.35315,0.49760
2009,Indirect migration background,Both equally,0.54672,97,181,0.47400,0.61945
2011,No migration background,Earn money,0.42487,505,1284,0.39782,0.45192
2011,No migration background,Other reasons,0.04474,55,1284,0.03343,0.05605
2011,No migration background,Both equally,0.53040,724,1284,0.50309,0.55771
2011,Direct migration background,Earn money,0.43676,69,165,0.36085,0.51268
2011,Direct migration background,Both equally,0.50892,96,165,0.43240,0.58543
2011,Indirect migration background,Earn money,0.41052,49,137,0.32785,0.49320
2011,Indirect migration background,Both equally,0.48556,88,137,0.40156,0.56956
2013,No migration background,Earn money,0.42165,622,1567,0.39719,0.44611
2013,No migration background,Other reasons,0.09163,127,1567,0.07734,0.10592
2013,No migration background,Both equally,0.48672,818,1567,0.46196,0.51147
2013,Direct migration background,Earn money,0.34577,106,228,0.28390,0.40764
2013,Direct migration background,Both equally,0.56166,122,228,0.49711,0.62621
2013,Indirect migration background,Earn money,0.36600,59,151,0.28891,0.44309
2013,Indirect migration background,Both equally,0.57622,92,151,0.49713,0.65530
2017,No migration background,Earn money,0.36656,735,2026,0.34557,0.38755
2017,No migration background,Other reasons,0.09626,205,2026,0.08341,0.10910
2017,No migration background,Both equally,0.53719,1086,2026,0.51547,0.55890
2017,Direct migration background,Earn money,0.37601,374,940,0.34503,0.40699
2017,Direct migration background,Other reasons,0.05088,61,940,0.03683,0.06494
2017,Direct migration background,Both equally,0.57311,505,940,0.54147,0.60474
2017,Indirect migration background,Earn money,0.38967,177,416,0.34275,0.43659
2017,Indirect migration background,Both equally,0.54954,239,416,0.50167,0.59741
