year,pgisced97,regtyp,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Pre-primary Level,Urban regions,Earn money,0.30044,42,122,0.21875,0.38212
1994,Pre-primary Level,Urban regions,Both equally,0.63889,80,122,0.55330,0.72447
1994,Primary Level,Urban regions,Earn money,0.75365,43,43,0.62334,0.88397
1994,Lower Secondary Level,Urban regions,Earn money,0.43362,132,274,0.37483,0.49240
1994,Lower Secondary Level,Urban regions,Both equally,0.52779,142,274,0.46857,0.58701
1994,Lower Secondary Level,Rural regions,Earn money,0.65303,63,98,0.55830,0.74776
1994,Lower Secondary Level,Rural regions,Both equally,0.32890,35,98,0.23540,0.42240
1994,Upper Secondary Level,Urban regions,Earn money,0.36258,225,601,0.32412,0.40105
1994,Upper Secondary Level,Urban regions,Other reasons,0.09286,46,601,0.06964,0.11608
1994,Upper Secondary Level,Urban regions,Both equally,0.54456,330,601,0.50471,0.58441
1994,Upper Secondary Level,Rural regions,Earn money,0.53041,220,411,0.48210,0.57872
1994,Upper Secondary Level,Rural regions,Both equally,0.43292,191,411,0.38496,0.48088
1994,Post-secondary Non-tertiary Level,Urban regions,Both equally,0.54965,36,36,0.38482,0.71448
1994,Second Stage of Tertiary Education,Urban regions,Both equally,0.52854,60,60,0.40116,0.65591
1994,Second Stage of Tertiary Education,Rural regions,Both equally,0.74557,37,37,0.60329,0.88785
1995,Pre-primary Level,Urban regions,Earn money,0.31179,47,140,0.23478,0.38880
1995,Pre-primary Level,Urban regions,Both equally,0.65533,93,140,0.57633,0.73434
1995,Pre-primary Level,Rural regions,Both equally,0.71196,44,44,0.57661,0.84732
1995,Primary Level,Urban regions,Earn money,0.71344,41,41,0.57332,0.85357
1995,Lower Secondary Level,Urban regions,Earn money,0.49588,135,262,0.43523,0.55654
1995,Lower Secondary Level,Urban regions,Both equally,0.45574,127,262,0.39532,0.51616
1995,Lower Secondary Level,Rural regions,Earn money,0.57604,64,113,0.48452,0.66756
1995,Lower Secondary Level,Rural regions,Both equally,0.40024,49,113,0.30950,0.49098
1995,Upper Secondary Level,Urban regions,Earn money,0.34719,254,655,0.31070,0.38368
1995,Upper Secondary Level,Urban regions,Other reasons,0.09046,47,655,0.06847,0.11244
1995,Upper Secondary Level,Urban regions,Both equally,0.56235,354,655,0.52433,0.60037
1995,Upper Secondary Level,Rural regions,Earn money,0.38996,171,388,0.34137,0.43856
1995,Upper Secondary Level,Rural regions,Both equally,0.55207,217,388,0.50253,0.60162
1995,Post-secondary Non-tertiary Level,Urban regions,Both equally,0.56836,47,47,0.42523,0.71150
1995,Second Stage of Tertiary Education,Urban regions,Both equally,0.69937,68,68,0.58957,0.80917
1995,Second Stage of Tertiary Education,Rural regions,Both equally,0.78983,37,37,0.65674,0.92292
1996,Pre-primary Level,Urban regions,Earn money,0.28662,44,144,0.21251,0.36074
1996,Pre-primary Level,Urban regions,Both equally,0.64487,100,144,0.56643,0.72331
1996,Pre-primary Level,Rural regions,Earn money,0.43204,31,74,0.31840,0.54568
1996,Pre-primary Level,Rural regions,Both equally,0.53240,43,74,0.41794,0.64686
1996,Primary Level,Urban regions,Earn money,0.68389,38,38,0.53407,0.83371
1996,Lower Secondary Level,Urban regions,Earn money,0.44470,125,253,0.38334,0.50606
1996,Lower Secondary Level,Urban regions,Both equally,0.48059,128,253,0.41890,0.54228
1996,Lower Secondary Level,Rural regions,Earn money,0.50792,57,101,0.40993,0.60591
1996,Lower Secondary Level,Rural regions,Both equally,0.42168,44,101,0.32489,0.51847
1996,Upper Secondary Level,Urban regions,Earn money,0.39322,259,621,0.35477,0.43167
1996,Upper Secondary Level,Urban regions,Other reasons,0.07622,39,621,0.05533,0.09711
1996,Upper Secondary Level,Urban regions,Both equally,0.53056,323,621,0.49127,0.56984
1996,Upper Secondary Level,Rural regions,Earn money,0.44113,191,408,0.39289,0.48937
1996,Upper Secondary Level,Rural regions,Both equally,0.51762,217,408,0.46907,0.56617
1996,Post-secondary Non-tertiary Level,Urban regions,Both equally,0.67281,52,52,0.54404,0.80158
1996,Second Stage of Tertiary Education,Urban regions,Both equally,0.67969,80,80,0.57680,0.78259
1996,Second Stage of Tertiary Education,Rural regions,Both equally,0.72319,42,42,0.58623,0.86014
1997,Pre-primary Level,Urban regions,Earn money,0.20637,39,156,0.14265,0.27008
1997,Pre-primary Level,Urban regions,Both equally,0.74104,117,156,0.67207,0.81000
1997,Pre-primary Level,Rural regions,Earn money,0.38331,32,81,0.27677,0.48985
1997,Pre-primary Level,Rural regions,Both equally,0.58479,49,81,0.47681,0.69277
1997,Primary Level,Urban regions,Earn money,0.58191,38,38,0.42298,0.74085
1997,Lower Secondary Level,Urban regions,Earn money,0.43163,134,275,0.37299,0.49028
1997,Lower Secondary Level,Urban regions,Both equally,0.51615,141,275,0.45698,0.57532
1997,Lower Secondary Level,Rural regions,Earn money,0.50196,60,113,0.40936,0.59456
1997,Lower Secondary Level,Rural regions,Both equally,0.45137,53,113,0.35921,0.54353
1997,Upper Secondary Level,Urban regions,Earn money,0.34365,228,608,0.30587,0.38143
1997,Upper Secondary Level,Urban regions,Other reasons,0.05300,31,608,0.03518,0.07082
1997,Upper Secondary Level,Urban regions,Both equally,0.60335,349,608,0.56443,0.64227
1997,Upper Secondary Level,Rural regions,Earn money,0.47427,192,406,0.42564,0.52291
1997,Upper Secondary Level,Rural regions,Both equally,0.49792,214,406,0.44922,0.54661
1997,Post-secondary Non-tertiary Level,Urban regions,Both equally,0.65935,41,41,0.51248,0.80623
1997,First Stage of Tertiary Education,Urban regions,Both equally,0.64180,31,31,0.47022,0.81337
1997,Second Stage of Tertiary Education,Urban regions,Both equally,0.62619,57,57,0.49948,0.75291
1998,Pre-primary Level,Urban regions,Earn money,0.33696,53,148,0.26055,0.41337
1998,Pre-primary Level,Urban regions,Both equally,0.63145,95,148,0.55346,0.70943
1998,Pre-primary Level,Rural regions,Earn money,0.40647,34,84,0.30080,0.51214
1998,Pre-primary Level,Rural regions,Both equally,0.51532,50,84,0.40780,0.62284
1998,Primary Level,Urban regions,Earn money,0.70759,36,36,0.55689,0.85829
1998,Lower Secondary Level,Urban regions,Earn money,0.42171,132,274,0.36313,0.48029
1998,Lower Secondary Level,Urban regions,Both equally,0.51626,142,274,0.45698,0.57554
1998,Lower Secondary Level,Rural regions,Earn money,0.52096,62,114,0.42885,0.61307
1998,Lower Secondary Level,Rural regions,Both equally,0.40748,52,114,0.31689,0.49808
1998,Upper Secondary Level,Urban regions,Earn money,0.41144,251,616,0.37255,0.45033
1998,Upper Secondary Level,Urban regions,Other reasons,0.07039,38,616,0.05017,0.09061
1998,Upper Secondary Level,Urban regions,Both equally,0.51817,327,616,0.47868,0.55766
1998,Upper Secondary Level,Rural regions,Earn money,0.42331,198,435,0.37682,0.46979
1998,Upper Secondary Level,Rural regions,Both equally,0.52251,237,435,0.47552,0.56951
1998,Post-secondary Non-tertiary Level,Urban regions,Both equally,0.59933,41,41,0.44747,0.75119
1998,First Stage of Tertiary Education,Urban regions,Both equally,0.52284,33,33,0.34978,0.69590
1998,Second Stage of Tertiary Education,Urban regions,Both equally,0.61569,67,67,0.49833,0.73304
1998,Second Stage of Tertiary Education,Rural regions,Both equally,0.54316,47,47,0.39921,0.68711
1999,No answer / don't know,Urban regions,Earn money,0.61332,34,34,0.44716,0.77947
1999,Pre-primary Level,Urban regions,Earn money,0.34989,53,149,0.27305,0.42673
1999,Pre-primary Level,Urban regions,Both equally,0.60345,96,149,0.52464,0.68227
