year,pgisced97,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,No,0.99446,93,93,0.97929,1.00963
1984,Pre-primary Level,female,No,0.98517,91,91,0.96020,1.01014
1984,Primary Level,male,Yes,0.13213,32,407,0.09919,0.16507
1984,Primary Level,male,No,0.86787,375,407,0.83493,0.90081
1984,Primary Level,female,Yes,0.08197,32,585,0.05972,0.10422
1984,Primary Level,female,No,0.91803,553,585,0.89578,0.94028
1984,Lower Secondary Level,male,Yes,0.15816,118,1133,0.13691,0.17942
1984,Lower Secondary Level,male,No,0.84184,1015,1133,0.82058,0.86309
1984,Lower Secondary Level,female,Yes,0.10701,187,2294,0.09436,0.11967
1984,Lower Secondary Level,female,No,0.89299,2107,2294,0.88033,0.90564
1984,Upper Secondary Level,male,Yes,0.15162,396,3147,0.13908,0.16415
1984,Upper Secondary Level,male,No,0.84838,2751,3147,0.83585,0.86092
1984,Upper Secondary Level,female,Yes,0.09698,200,2527,0.08544,0.10852
1984,Upper Secondary Level,female,No,0.90302,2327,2527,0.89148,0.91456
1984,Post-secondary Non-tertiary Level,male,No,0.86385,173,173,0.81260,0.91511
1984,Post-secondary Non-tertiary Level,female,No,0.96221,110,110,0.92642,0.99801
1984,First Stage of Tertiary Education,male,Yes,0.17954,64,383,0.14105,0.21802
1984,First Stage of Tertiary Education,male,No,0.82046,319,383,0.78198,0.85895
1984,First Stage of Tertiary Education,female,No,0.89669,252,252,0.85904,0.93435
1984,Second Stage of Tertiary Education,male,Yes,0.12513,58,530,0.09693,0.15332
1984,Second Stage of Tertiary Education,male,No,0.87487,472,530,0.84668,0.90307
1984,Second Stage of Tertiary Education,female,No,0.93736,242,242,0.90677,0.96796
1985,No answer / don't know,male,No,0.93592,45,45,0.86355,1.00828
1985,No answer / don't know,female,No,0.80861,60,60,0.70823,0.90899
1985,Pre-primary Level,male,No,0.99526,110,110,0.98236,1.00816
1985,Primary Level,male,Yes,0.20002,35,343,0.15763,0.24242
1985,Primary Level,male,No,0.79998,308,343,0.75758,0.84237
1985,Primary Level,female,No,0.91860,461,461,0.89361,0.94359
1985,Lower Secondary Level,male,Yes,0.15030,103,1020,0.12836,0.17225
1985,Lower Secondary Level,male,No,0.84970,917,1020,0.82775,0.87164
1985,Lower Secondary Level,female,Yes,0.09899,154,2011,0.08593,0.11205
1985,Lower Secondary Level,female,No,0.90101,1857,2011,0.88795,0.91407
1985,Upper Secondary Level,male,Yes,0.15337,353,2828,0.14009,0.16666
1985,Upper Secondary Level,male,No,0.84663,2475,2828,0.83334,0.85991
1985,Upper Secondary Level,female,Yes,0.09313,173,2308,0.08127,0.10499
1985,Upper Secondary Level,female,No,0.90687,2135,2308,0.89501,0.91873
