year,migback,sampreg,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Yes,0.12730,992,8627,0.12026,0.13433
1984,No migration background,West,No,0.87270,7635,8627,0.86567,0.87974
1984,Direct migration background,West,Yes,0.07164,162,3342,0.06289,0.08038
1984,Direct migration background,West,No,0.92836,3180,3342,0.91962,0.93711
1984,Indirect migration background,West,No,0.94596,119,119,0.90517,0.98676
1985,No migration background,West,Yes,0.12446,884,7911,0.11718,0.13173
1985,No migration background,West,No,0.87554,7027,7911,0.86827,0.88282
1985,Direct migration background,West,Yes,0.08291,141,2888,0.07285,0.09297
1985,Direct migration background,West,No,0.91709,2747,2888,0.90703,0.92715
1985,Indirect migration background,West,No,0.95732,134,134,0.92297,0.99168
1987,No migration background,West,Yes,0.12226,804,7431,0.11482,0.12971
1987,No migration background,West,No,0.87774,6627,7431,0.87029,0.88518
1987,Direct migration background,West,Yes,0.09796,167,2785,0.08691,0.10900
1987,Direct migration background,West,No,0.90204,2618,2785,0.89100,0.91309
1987,Indirect migration background,West,No,0.90694,162,162,0.86206,0.95182
1988,No migration background,West,Yes,0.13488,829,7047,0.12690,0.14286
1988,No migration background,West,No,0.86512,6218,7047,0.85714,0.87310
1988,Direct migration background,West,Yes,0.11317,198,2655,0.10112,0.12522
1988,Direct migration background,West,No,0.88683,2457,2655,0.87478,0.89888
1988,Indirect migration background,West,No,0.91031,208,208,0.87139,0.94924
1989,No migration background,West,Yes,0.14063,824,6779,0.13235,0.14891
1989,No migration background,West,No,0.85937,5955,6779,0.85109,0.86765
1989,Direct migration background,West,Yes,0.10645,187,2579,0.09454,0.11835
1989,Direct migration background,West,No,0.89355,2392,2579,0.88165,0.90546
1989,Indirect migration background,West,No,0.92475,248,248,0.89185,0.95765
1991,No migration background,West,Yes,0.14500,821,6549,0.13647,0.15353
1991,No migration background,West,No,0.85500,5728,6549,0.84647,0.86353
1991,Direct migration background,West,Yes,0.11815,207,2462,0.10540,0.13091
1991,Direct migration background,West,No,0.88185,2255,2462,0.86909,0.89460
1991,Indirect migration background,West,No,0.95279,335,335,0.93004,0.97553
1992,No migration background,West,Yes,0.14888,829,6469,0.14020,0.15755
1992,No migration background,West,No,0.85112,5640,6469,0.84245,0.85980
1992,No migration background,East,Yes,0.08838,281,3765,0.07932,0.09745
1992,No migration background,East,No,0.91162,3484,3765,0.90255,0.92068
1992,Direct migration background,West,Yes,0.12892,223,2359,0.11540,0.14245
1992,Direct migration background,West,No,0.87108,2136,2359,0.85755,0.88460
1992,Direct migration background,East,No,0.84700,123,123,0.78313,0.91088
1992,Indirect migration background,West,No,0.94865,380,380,0.92642,0.97087
1994,No migration background,West,Yes,0.14238,774,6338,0.13377,0.15098
1994,No migration background,West,No,0.85762,5564,6338,0.84902,0.86623
1994,No migration background,East,Yes,0.08371,246,3583,0.07464,0.09278
1994,No migration background,East,No,0.91629,3337,3583,0.90722,0.92536
1994,Direct migration background,West,Yes,0.13558,227,2181,0.12121,0.14995
1994,Direct migration background,West,No,0.86442,1954,2181,0.85005,0.87879
1994,Direct migration background,East,No,0.84384,119,119,0.77835,0.90934
1994,Indirect migration background,West,No,0.96064,459,459,0.94283,0.97845
1995,No migration background,West,Yes,0.15548,818,6390,0.14659,0.16436
1995,No migration background,West,No,0.84452,5572,6390,0.83564,0.85341
1995,No migration background,East,Yes,0.08999,257,3495,0.08050,0.09948
1995,No migration background,East,No,0.91001,3238,3495,0.90052,0.91950
1995,Direct migration background,West,Yes,0.11948,246,2608,0.10703,0.13193
1995,Direct migration background,West,No,0.88052,2362,2608,0.86807,0.89297
1995,Direct migration background,East,No,0.83021,116,116,0.76159,0.89883
1995,Indirect migration background,West,No,0.96417,471,471,0.94736,0.98097
1996,No migration background,West,Yes,0.15408,818,6382,0.14522,0.16293
1996,No migration background,West,No,0.84592,5564,6382,0.83707,0.85478
1996,No migration background,East,Yes,0.09500,274,3491,0.08527,0.10473
1996,No migration background,East,No,0.90500,3217,3491,0.89527,0.91473
1996,Direct migration background,West,Yes,0.12364,235,2454,0.11062,0.13667
1996,Direct migration background,West,No,0.87636,2219,2454,0.86333,0.88938
1996,Direct migration background,East,No,0.80416,113,113,0.73066,0.87766
1996,Indirect migration background,West,No,0.96567,510,510,0.94985,0.98149
1997,No migration background,West,Yes,0.15495,801,6268,0.14599,0.16391
1997,No migration background,West,No,0.84505,5467,6268,0.83609,0.85401
1997,No migration background,East,Yes,0.09508,281,3464,0.08531,0.10485
1997,No migration background,East,No,0.90492,3183,3464,0.89515,0.91469
1997,Direct migration background,West,Yes,0.11872,227,2324,0.10557,0.13187
1997,Direct migration background,West,No,0.88128,2097,2324,0.86813,0.89443
1997,Direct migration background,East,No,0.81896,109,109,0.74634,0.89158
1997,Indirect migration background,West,No,0.95756,527,527,0.94033,0.97478
1998,No migration background,West,Yes,0.15518,969,7445,0.14696,0.16341
1998,No migration background,West,No,0.84482,6476,7445,0.83659,0.85304
1998,No migration background,East,Yes,0.09315,309,3695,0.08378,0.10253
1998,No migration background,East,No,0.90685,3386,3695,0.89747,0.91622
1998,Direct migration background,West,Yes,0.11544,230,2266,0.10228,0.12860
1998,Direct migration background,West,No,0.88456,2036,2266,0.87140,0.89772
1998,Direct migration background,East,No,0.80763,96,96,0.72837,0.88690
1998,Indirect migration background,West,No,0.97858,555,555,0.96652,0.99064
1999,No migration background,West,Yes,0.15650,932,7190,0.14810,0.16490
1999,No migration background,West,No,0.84350,6258,7190,0.83510,0.85190
1999,No migration background,East,Yes,0.09569,313,3649,0.08614,0.10524
1999,No migration background,East,No,0.90431,3336,3649,0.89476,0.91386
1999,Direct migration background,West,Yes,0.12072,217,2087,0.10674,0.13470
1999,Direct migration background,West,No,0.87928,1870,2087,0.86530,0.89326
1999,Direct migration background,East,No,0.83686,93,93,0.76135,0.91236
1999,Indirect migration background,West,No,0.96864,562,562,0.95422,0.98306
2000,No migration background,West,Yes,0.13916,1782,14254,0.13348,0.14484
2000,No migration background,West,No,0.86084,12472,14254,0.85516,0.86652
2000,No migration background,East,Yes,0.10053,516,5657,0.09270,0.10837
2000,No migration background,East,No,0.89947,5141,5657,0.89163,0.90730
2000,Direct migration background,West,Yes,0.09321,275,3147,0.08305,0.10337
2000,Direct migration background,West,No,0.90679,2872,3147,0.89663,0.91695
2000,Direct migration background,East,No,0.86097,131,131,0.80150,0.92045
2000,Indirect migration background,West,No,0.96975,763,763,0.95759,0.98191
2001,No migration background,West,Yes,0.14010,1604,12902,0.13411,0.14609
2001,No migration background,West,No,0.85990,11298,12902,0.85391,0.86589
2001,No migration background,East,Yes,0.10024,479,5270,0.09214,0.10835
2001,No migration background,East,No,0.89976,4791,5270,0.89165,0.90786
2001,Direct migration background,West,Yes,0.09346,248,2774,0.08262,0.10429
2001,Direct migration background,West,No,0.90654,2526,2774,0.89571,0.91738
2001,Direct migration background,East,No,0.86398,105,105,0.79809,0.92987
2001,Indirect migration background,West,Yes,0.04851,33,738,0.03300,0.06402
2001,Indirect migration background,West,No,0.95149,705,738,0.93598,0.96700
2002,No migration background,West,Yes,0.14942,1733,14084,0.14353,0.15531
2002,No migration background,West,No,0.85058,12351,14084,0.84469,0.85647
2002,No migration background,East,Yes,0.11289,521,5265,0.10434,0.12144
2002,No migration background,East,No,0.88711,4744,5265,0.87856,0.89566
2002,Direct migration background,West,Yes,0.09422,239,2669,0.08314,0.10531
2002,Direct migration background,West,No,0.90578,2430,2669,0.89469,0.91686
2002,Direct migration background,East,No,0.78911,91,91,0.70483,0.87340
2002,Indirect migration background,West,No,0.95845,711,711,0.94377,0.97313
2003,No migration background,West,Yes,0.14772,1685,13493,0.14173,0.15371
2003,No migration background,West,No,0.85228,11808,13493,0.84629,0.85827
2003,No migration background,East,Yes,0.11314,515,5185,0.10452,0.12176
2003,No migration background,East,No,0.88686,4670,5185,0.87824,0.89548
2003,Direct migration background,West,Yes,0.09546,236,2500,0.08394,0.10699
2003,Direct migration background,West,No,0.90454,2264,2500,0.89301,0.91606
2003,Direct migration background,East,No,0.83553,86,86,0.75672,0.91434
2003,Indirect migration background,West,No,0.96689,713,713,0.95375,0.98004
2004,No migration background,West,Yes,0.15193,1683,13133,0.14579,0.15807
2004,No migration background,West,No,0.84807,11450,13133,0.84193,0.85421
2004,No migration background,East,Yes,0.11662,521,5068,0.10778,0.12546
2004,No migration background,East,No,0.88338,4547,5068,0.87454,0.89222
2004,Direct migration background,West,Yes,0.10563,247,2428,0.09340,0.11785
2004,Direct migration background,West,No,0.89437,2181,2428,0.88215,0.90660
2004,Direct migration background,East,No,0.81826,81,81,0.73376,0.90277
2004,Indirect migration background,West,No,0.96069,731,731,0.94659,0.97479
2004,Indirect migration background,East,No,0.94062,32,32,0.85743,1.02382
2005,No migration background,West,Yes,0.14910,1650,12531,0.14286,0.15534
2005,No migration background,West,No,0.85090,10881,12531,0.84466,0.85714
2005,No migration background,East,Yes,0.12188,522,4866,0.11268,0.13107
2005,No migration background,East,No,0.87812,4344,4866,0.86893,0.88732
2005,Direct migration background,West,Yes,0.10306,235,2253,0.09050,0.11562
2005,Direct migration background,West,No,0.89694,2018,2253,0.88438,0.90950
2005,Direct migration background,East,No,0.83355,79,79,0.75088,0.91621
2005,Indirect migration background,West,No,0.96832,763,763,0.95589,0.98076
2006,No migration background,West,Yes,0.15100,1827,13611,0.14498,0.15702
2006,No migration background,West,No,0.84900,11784,13611,0.84298,0.85502
2006,No migration background,East,Yes,0.13155,582,5108,0.12228,0.14082
2006,No migration background,East,No,0.86845,4526,5108,0.85918,0.87772
2006,Direct migration background,West,Yes,0.11654,259,2261,0.10331,0.12977
2006,Direct migration background,West,No,0.88346,2002,2261,0.87023,0.89669
2006,Direct migration background,East,No,0.87476,94,94,0.80749,0.94203
2006,Indirect migration background,West,No,0.96625,745,745,0.95328,0.97923
2007,No migration background,West,Yes,0.15280,1740,12671,0.14654,0.15907
2007,No migration background,West,No,0.84720,10931,12671,0.84093,0.85346
2007,No migration background,East,Yes,0.12452,546,4855,0.11523,0.13380
2007,No migration background,East,No,0.87548,4309,4855,0.86620,0.88477
2007,Direct migration background,West,Yes,0.11810,227,2018,0.10402,0.13219
2007,Direct migration background,West,No,0.88190,1791,2018,0.86781,0.89598
2007,Direct migration background,East,No,0.90729,78,78,0.84250,0.97207
2007,Indirect migration background,West,No,0.96988,714,714,0.95733,0.98242
2007,Indirect migration background,East,No,0.86735,38,38,0.75805,0.97664
2008,No migration background,West,Yes,0.15131,1644,11941,0.14488,0.15774
2008,No migration background,West,No,0.84869,10297,11941,0.84226,0.85512
2008,No migration background,East,Yes,0.12382,518,4625,0.11432,0.13331
2008,No migration background,East,No,0.87618,4107,4625,0.86669,0.88568
